2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram
душу а	1	1
имеется еще	1	2
и ночи	1	1
все же	6	9
его в	3	6
уже несомненно	1	1
так например	1	1
на дне	1	1
с полным	4	1
она ни	2	1
и тоже	3	1
вся эта	3	1
или ее	1	1
чем иным	1	2
цели и	1	1
и имеет	1	1
даже в	1	1
но тогда	3	1
из него	2	1
мы имеем	2	2
и к	6	4
всю ее	1	1
как о	5	4
мы читаем	2	6
а есть	1	1
таком случае	4	2
кроме того	3	2
некоторого рода	10	4
глубоко и	1	1
от нее	1	1
то мы	1	1
на существование	1	1
так и	10	7
чем не	3	1
только еще	3	3
и т	13	1
в ту	1	1
символ получает	1	1
является именно	1	1
когда мы	15	1
еще и	7	4
и у	2	5
и справедливости	1	3
у них	2	1
тем самым	5	1
то что	23	18
до некоторой	1	4
не как	1	1
в более	1	1
и от	9	1
с разными	1	1
не прямо	1	2
внутри него	1	1
никак не	9	8
а мы	2	1
мифологии но	1	1
есть символом	1	1
эти мифологические	1	1
от всякого	2	1
отвлечься от	1	1
бы то	4	2
к совершенству	1	1
в одном	1	3
тот факт	1	1
на который	1	1
иное как	4	3
в те	1	2
тому же	1	1
нет никакой	1	3
несмотря на	1	6
а скорее	1	2
нет никакого	4	3
это уже	3	2
говорил о	1	1
связи с	8	7
пока только	2	1
ни в	8	4
этом стихотворении	2	2
необходимо сказать	3	4
то время	4	3
к свободе	1	1
что в	8	5
нас в	4	4
собственно говоря	5	1
однако в	2	3
что их	2	1
в начале	2	3
и они	1	2
а как	2	1
в своей	5	22
как раз	8	5
все в	1	3
на первый	4	1
свой собственный	3	2
тоже имеет	2	2
и миф	1	1
символ здесь	1	2
понятии символа	1	1
как только	3	1
что она	1	1
бы и	1	1
что если	1	1
обратить внимание	1	3
о чем	2	1
себе в	1	1
и что	7	6
и все	3	9
модель и	1	1
никто не	2	1
которое указывает	1	1
и речи	1	2
человеческой жизни	2	2
представляет собою	1	2
и о	5	5
жизни и	6	2
как символа	2	6
но когда	2	1
это у	1	1
себе с	1	1
себя и	1	1
и притом	4	5
из которых	2	1
в них	1	2
образом как	1	2
мере не	1	1
раз только	1	1
не то	2	2
модель эта	1	1
а он	1	1
или иное	2	1
степени он	1	1
не может	7	5
могут быть	2	1
цельном виде	1	1
которого мы	1	2
и за	2	2
если не	3	4
там где	1	1
сказать что	16	9
то есть	34	21
отнюдь не	10	4
того или	6	1
вместе с	2	7
слова но	1	1
такого рода	6	2
в том	21	12
все прочие	1	1
в его	9	12
это просто	1	1
эту проблему	1	1
этот образ	1	2
и прочие	1	2
и земли	1	2
именно о	1	2
разного рода	2	4
сам собою	1	1
личной и	1	1
от того	2	1
о том	6	12
поздней античности	1	1
xx в	2	1
чем он	2	1
на месте	1	2
а никакого	1	1
его не	2	2
самое большее	1	1
то обстоятельство	1	1
в виду	10	3
который и	1	1
на то	3	2
который мы	1	1
на кавказе	1	12
которые здесь	2	1
в самой	2	3
да и	5	2
есть только	4	3
имеется в	4	1
не назвал	1	1
мы и	2	2
об этих	1	1
эта картина	2	1
является символом	3	2
не все	1	2
как мы	8	2
однако не	1	1
от своего	1	1
чтобы этот	1	1
не должен	1	1
находим в	3	2
может быть	28	7
и можно	2	1
то в	3	1
и его	5	6
результате этого	1	1
правда в	1	1
то понимание	1	1
то самое	1	1
только тогда	2	3
как его	1	1
в отношении	2	3
он состоит	1	1
были бы	2	1
и состоит	2	1
от которой	1	1
вовсе не	37	8
она не	3	1
себя самого	1	2
была бы	1	2
возражать против	1	1
для мифа	1	1
в тех	3	1
в виде	6	10
не на	1	1
с тем	5	5
стороны это	1	2
настоящее время	2	3
который в	2	9
ни было	3	1
мы встречаем	1	1
из этого	3	4
том смысле	3	1
и мощь	1	1
по всему	1	2
них мы	1	1
в символе	13	2
здесь не	8	7
он сначала	1	1
даже если	2	1
этот поэт	1	1
той или	12	1
от тех	2	1
бы в	2	1
ни о	3	1
другой же	1	1
и нет	2	2
иным как	1	2
это конечно	1	2
для них	2	3
же мы	1	1
и других	1	1
сравнении с	2	3
являются и	1	1
то чтобы	1	1
состоит из	5	1
i у	1	1
здесь были	1	1
есть с	2	1
в таком	5	2
нас к	2	1
что здесь	5	2
в частности	2	4
с которой	2	1
менее в	1	1
то он	2	1
не обладает	1	1
здесь можно	1	1
к самой	1	1
и даже	14	14
не было	5	1
и очень	3	1
значение но	2	1
и тем	9	3
того чтобы	1	2
и при	2	1
души и	1	1
в своих	1	1
только в	19	9
в античной	1	2
тоже не	5	2
в этой	3	10
другой стороны	5	6
после этого	1	1
живые существа	1	1
когда она	2	1
и никогда	1	3
то и	5	2
необходимо будет	1	1
всяком случае	6	2
античной мифологии	1	2
свидетельствует о	1	2
к этому	1	2
есть самый	1	1
и вполне	5	4
но для	1	2
даже до	1	1
и сама	2	2
как в	5	2
от этого	1	3
во всяком	9	2
говорит не	1	1
и не	35	12
что у	3	5
мы уже	4	1
себе а	3	2
со всеми	1	2
и вообще	8	9
таким образом	9	13
тем более	3	1
свое значение	3	1
о той	1	1
же оказывается	2	1
вместе со	1	1
и слишком	2	1
говорить об	1	1
а вовсе	2	1
тогда когда	1	4
тем что	4	2
хотелось бы	1	1
уже в	3	2
с теми	2	1
и после	2	3
трактуется как	2	1
это и	7	1
и дает	1	1
для получения	1	1
и общественной	1	1
также между	1	1
не только	14	18
он не	8	3
отличать от	1	1
он хочет	1	2
но у	1	1
все эти	7	2
только путем	3	1
у человека	2	1
есть он	2	1
в данном	9	2
тем же	2	3
кавказе и	1	3
рассказ о	1	1
бы от	1	1
к своим	1	1
нас и	2	2
он вовсе	1	1
в литературе	1	1
и потому	7	1
которая по	1	1
содержит в	3	1
в их	2	1
со своим	2	1
перед собой	1	1
т д	13	1
мы находим	7	7
то все	1	1
черты в	1	1
что бы	1	1
в себе	8	4
и он	1	4
на его	1	2
некоторой степени	1	4
но оно	3	1
к тому	3	2
те времена	1	2
перед нами	8	1
у греков	2	1
одной стороны	1	3
только как	1	1
вопрос а	1	1
бы не	1	3
не выражает	1	1
из них	2	2
мысли в	1	1
ничем не	2	1
для их	1	1
что никакой	2	1
античности и	1	1
и для	2	6
остается на	1	2
что только	1	2
в сравнении	2	3
читаем о	1	1
до конца	1	1
но даже	4	4
начала до	1	1
обстоятельство что	1	2
является весьма	1	1
на создание	1	1
и художественный	1	1
земли и	1	2
в душе	1	1
по пути	1	1
по себе	25	2
даже и	16	4
и является	4	2
не менее	10	5
еще не	5	3
на первом	1	3
он сам	4	3
с ним	7	3
не столько	2	1
заметим что	1	1
без всяких	1	1
вместо этого	1	1
но на	1	1
дня и	1	1
в конце	5	8
о каком	2	1
не вполне	1	1
среди которых	1	1
а в	5	6
тому что	4	1
эта последняя	2	1
он только	2	1
такого же	2	3
тех или	5	2
и более	2	2
первый взгляд	2	1
и тогда	3	2
просто художественное	1	1
одним и	1	1
а во-вторых	1	1
дело в	4	2
поэтому и	2	2
то уже	1	1
в своем	5	11
у н	1	2
в нашем	5	1
наша не	1	1
порождающая модель	5	1
что поэт	1	1
но с	2	1
и без	4	2
и на	1	6
имеет очень	1	1
вплоть до	1	1
у платона	1	1
есть уже	3	1
от него	2	1
по крайней	5	4
это возможно	1	1
нет совершенно	1	1
в одно	1	1
для тех	1	1
так или	1	1
вообще не	1	1
то или	3	1
для того	1	3
нужно считать	1	1
все такого	2	1
факт что	1	2
как и	10	7
но еще	1	2
потому что	25	13
не имеется	1	1
нуждается в	1	1
или иную	1	1
в бесконечный	7	2
на котором	2	1
что для	3	1
древних греков	1	1
но вот	3	1
у которого	1	2
в самом	3	5
к самым	1	1
возможно было	1	1
только и	8	3
дается в	1	1
смысле что	3	1
в то	9	4
поэтому в	1	1
и то	14	5
никогда не	6	7
героев и	1	1
всех этих	2	1
можно ли	4	1
конца xix	2	1
и в	44	30
все время	1	3
в эпоху	1	3
так же	5	5
как некоторого	1	1
поскольку она	1	1
без всякого	3	2
так что	12	11
получает свое	1	1
этого достаточно	1	1
не просто	23	5
другое что	2	1
нам представляется	2	1
так как	9	6
и только	6	2
и образа	1	1
значение в	3	1
но не	3	7
же рода	2	3
ни стало	1	1
не в	13	7
возможно и	2	1
сведений о	1	1
как будто	3	3
для нас	16	10
даже не	2	1
сама же	3	1
которая может	1	1
истории вообще	1	1
для всех	1	1
всего прочего	1	1
чем это	1	1
по мнению	2	2
есть в	3	2
было только	1	1
дело здесь	4	1
орел и	1	1
мы должны	7	1
этого мифа	1	2
не могут	1	2
бросается в	1	2
по существу	2	2
мы выше	4	2
человеческого общества	1	1
и об	1	1
и до	2	2
на нее	1	1
как она	2	1
же она	1	1
орла как	1	1
раз и	4	2
в таких	3	2
как это	2	1
только ради	1	1
из себя	3	1
все указанные	1	1
или какие-нибудь	1	1
то этот	1	1
с этим	2	1
есть принцип	2	1
тоже представляет	1	1
к мифологии	1	1
не за	1	2
и с	9	5
больше чем	1	2
но это	8	1
только чистым	1	1
смысле слова	8	3
мере в	1	2
в него	1	1
в природе	2	1
древние мифы	1	1
это в	2	1
и всякий	1	1
когда он	2	2
во что	1	1
одному тому	1	1
ее в	1	2
вполне отчетливо	1	1
же в	3	3
в брак	1	2
и хотя	1	1
просто о	2	1
и самого	1	3
у ломоносова	1	1
тут же	4	6
здесь только	7	1
также и	16	12
на тот	1	2
в заключение	3	2
это не	9	2
и образ	2	1
с другой	7	6
и как	3	6
вещей с	2	1
иной раз	3	2
а если	1	1
здесь в	3	2
нас как	1	1
необходимо обратить	1	1
бы ни	1	1
но он	1	5
далеко не	1	4
искусства и	2	1
в чем	4	2
было бы	8	4
зрения в	1	1
что такое	3	1
как бы	9	6
из всех	1	2
об его	4	2
имеет значение	6	1
в первой	1	2
в глаза	1	2
него с	2	1
прежде всего	3	6
указывает на	7	3
точки зрения	5	10
всей его	2	1
что от	1	3
а с	2	4
ничего кроме	2	1
что именно	1	2
видно что	1	1
уже по	1	1
мы понимаем	1	1
у нас	10	7
но и	10	13
к своему	1	1
у того	1	1
в ее	4	3
именно в	2	3
и что-нибудь	2	1
до сих	2	2
в очень	1	1
я на	1	1
не знали	2	1
будто бы	3	5
это тоже	2	1
том чтобы	1	1
хотели бы	1	1
себе но	1	1
мы не	7	2
как символ	1	9
по одному	1	1
только тем	1	1
мы можем	6	5
образом если	1	1
во всем	1	1
и свое	1	2
тоже можно	1	1
только для	1	2
впоследствии в	1	1
здесь мы	1	1
действительность в	1	1
наконец и	1	1
в результате	2	7
совершенно ничего	1	1
ли в	1	2
на самом	7	1
совершенно никак	2	1
их с	1	1
не был	2	1
зависит от	1	1
этой точки	2	1
не к	1	2
символа которое	2	1
и вовсе	4	1
i в	1	1
что не	1	2
с большим	2	1
а не	18	5
не что	4	3
этот вопрос	3	1
здесь перед	2	1
гораздо более	5	4
с этой	3	2
с одной	2	3
крайней мере	5	4
в этом	17	17
если мы	16	1
время как	4	3
подобного рода	3	7
человека но	3	2
почему же	1	1
об этом	3	4
не столь	1	3
точно так	3	3
в образе	1	1
и ее	3	1
том как	2	1
между собою	2	1
он говорит	1	2
не нужным	1	1
для себя	2	5
длинный ряд	1	1
в поисках	2	1
на него	1	2
вовсе и	1	1
самые разнообразные	1	1
нем не	1	1
а только	5	1
и самой	4	1
оказывается что	1	4
до того	1	1
что хотя	1	1
из этих	1	1
очень много	3	1
поскольку в	1	3
находим и	1	2
виде все	1	1
совсем другое	4	1
все это	5	1
не чем	1	2
в качестве	3	4
же раз	1	1
в стихотворении	2	14
ведь не	2	1
и есть	5	1
едва ли	5	4
что об	1	1
и смерть	1	1
самом деле	3	2
обращается к	1	1
и когда	1	1
мы будем	2	2
могли бы	4	1
в целях	1	2
он и	2	5
именно что	1	1
хотя и	5	8
не так	3	4
с ее	2	1
тот момент	1	1
и другое	1	3
только на	5	1
