4gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_4gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_4gram
заключается в том что	13	4
том виде в каком	1	1
нечто такое что может	1	1
друг с другом в	1	2
окружающих его взрослых людей	1	1
в том что в	1	1
с этой точки зрения	4	1
в том числе и	2	1
мы могли бы сказать	2	2
собственном смысле этого слова	4	3
слово почти всегда готово	1	1
существенным с точки зрения	1	1
в то время как	1	4
с генетической точки зрения	1	3
но вместе с тем	2	4
как мы постараемся показать	1	1
почти всегда непонятно не	1	1
между тем и другим	1	2
целого на отдельные элементы	1	1
в том виде в	1	1
детского мышления и в	1	1
истинном значении этого слова	1	1
все более и более	2	2
если бы мы хотели	1	1
к все более и	1	1
все больше и больше	1	1
в процессе детского развития	1	1
в собственном смысле этого	4	3
мы видим таким образом	4	3
до самого последнего времени	1	1
ответа на вопрос о	1	1
точно так же как	1	1
видим таким образом что	4	3
на первый план выступает	1	1
целую эпоху в развитии	1	1
в собственном смысле слова	1	1
с одной стороны и	2	1
почти всегда готово когда	1	1
пути развития научных понятий	2	1
одной и той же	4	2
одном и том же	1	1
в том что развитие	1	1
но для того чтобы	1	1
значения слов развиваются в	1	1
так же как и	4	4
того в чем именно	1	1
ступени в развитии мышления	1	1
которая в свою очередь	1	2
в школьном возрасте в	1	1
одно и то же	6	2
по сравнению с тем	1	1
виде в каком их	1	1
что с точки зрения	1	1
готово когда готово понятие	1	1
приходит к выводу что	1	3
а с другой стороны	1	2
он приходит к выводу	1	1
понятий в детском возрасте	2	1
в том что мы	1	1
таким же образом как	1	1
исследовании мышления и речи	1	1
представляет собой обобщение но	1	1
в такой же мере	1	3
в развитии детского мышления	8	2
всегда готово когда готово	1	1
в истории развития мышления	1	1
можно было бы назвать	2	1
заключается в том чтобы	1	1
и в отношении всякого	1	1
о котором мы говорили	1	1
в том что он	1	1
могли бы сказать что	2	2
мы должны сказать что	1	1
