3gram	Vinokur_KulturaYazyka_partition_part2_wordlist_3gram	Vinokur_KulturaYazyka_partition_part1_wordlist_3gram
не только в	1	4
вовсе не потому	1	1
не может уже	1	1
себя ниц по	1	1
то во всяком	1	1
и пр и	1	1
сошлюсь хотя бы	1	1
обстоятельство что не	1	1
в европе и	1	1
можно было бы	3	9
во всяком случае	5	5
т е как	4	1
и т п.	1	1
в том чтобы	8	1
для того чтобы	15	8
в наше время	1	2
о том что	5	1
смысл может иметь	1	1
на то что	2	2
вместе с тем	3	2
этой точки зрения	2	2
что иное как	1	1
в этом случае	2	2
в этом роде	1	2
этот не нов	1	1
все же приходится	1	1
в большинстве случаев	1	1
на самом деле	2	2
не находится в	1	1
имею в виду	1	1
самом деле так	1	1
хочу сказать что	1	1
дело не в	1	2
что все это	1	1
в таких словах	1	1
языке с его	1	1
в первую очередь	2	1
приемов и пр	1	1
потому что они	1	1
с помощью которого	1	1
от этого не	1	2
была бы уже	1	1
не говоря уже	1	2
и потому что	2	2
в иных случаях	2	1
нужно было бы	2	1
в свое время	2	2
что-либо в этом	1	2
к тому что	2	1
в зависимости от	5	4
п и т	1	1
письменной речи не	1	1
в противоречии с	1	1
в том смысле	1	1
что не все	1	1
лишь в том	1	1
он должен быть	1	1
должен предупредить что	1	1
потому что не	2	1
в противном случае	1	1
по сравнению со	1	1
в русском языке	4	9
то обстоятельство что	8	7
нормального слова но	1	1
пр и пр	1	1
смысл лишь в	1	1
и вовсе не	2	2
не что иное	1	1
в том и	2	1
самом широком смысле	1	1
стоит того чтобы	1	1
е как раз	2	1
т е то	1	1
в том что	15	10
но в том-то	1	1
именно в силу	1	2
не потому что	3	1
и если мы	1	1
понятие для лингвиста	1	1
и он тоже	1	1
то же время	2	3
и не в	1	1
мы говорим о	1	2
и т п	18	24
в прямой связи	1	1
отношений в языке	1	1
тем не менее	4	5
т д это	1	1
в таких случаях	1	2
в соответствии с	3	2
как не трудно	1	1
тот или иной	1	1
так же как	1	2
в связи с	3	3
иметь в виду	1	1
в своей брошюре	1	1
то же в	2	1
по крайней мере	5	6
в свою очередь	3	2
чтобы показать что	1	1
и то обстоятельство	1	1
с другой стороны	6	7
ни в каком	1	1
таким образом в	1	1
лишь в той	1	1
хотя бы на	1	1
является утверждение что	1	1
новые составные элементы	1	2
еще один пример	1	1
в данный момент	1	1
всего тем что	1	1
идет у нас	1	1
свое выражение в	1	1
в отличие от	1	2
что слово это	1	2
только для того	1	1
большую роль в	1	1
в данном отношении	2	2
в самом процессе	1	1
я уже упоминал	1	1
смысле этого слова	1	1
но с другой	1	1
в наших газетах	1	1
в области языка	2	2
что целый ряд	1	1
к вопросу о	1	2
но все же	2	2
постановка вопроса о	1	1
и не на	1	1
в обычном понимании	1	1
как нельзя более	1	1
какой смысл может	1	1
смысле этого термина	2	1
организующей роли в	1	1
вовсе не парадоксом	1	1
с течением времени	1	1
с одной стороны	1	1
вместо того чтобы	1	1
в то же	2	3
в этом отношении	5	3
все же и	1	2
в области сокращений	1	1
и с этой	1	1
находится в противоречии	1	1
состоит не в	1	1
т е в	2	1
точно так же	1	3
языка и что	1	1
только потому что	6	6
что в языке	1	1
того или иного	3	2
темы т е	1	1
в виду не	1	1
что мы имеем	1	1
к языку как	1	1
можно говорить о	1	1
нужна была бы	1	1
элементы темы т	1	1
примером может служить	1	1
что-либо в роде	1	1
я имею в	1	1
в самом деле	7	7
зам зав проф	1	1
потому что он	1	2
в той мере	5	1
т е такие	2	2
в речи оратора	1	2
тех или иных	1	1
к тому чтобы	1	1
уже из предыдущего	1	2
до сих пор	4	1
то только потому	1	1
едва ли не	1	1
обстоятельство что в	2	1
п т е	1	1
и правильное применение	1	1
и дело что	1	1
речи так как	1	1
ничего общего с	1	1
так или иначе	2	2
т е не	1	1
можно ли в	1	1
сплошь да рядом	1	2
с точки зрения	9	8
речь идет о	2	1
и там где	1	1
было бы сказать	1	1
в общем случае	1	1
полное материальное значение	1	1
кстати и некстати	1	2
в этом смысле	3	5
принял радио вследствие	2	1
после того как	1	1
потому что оно	1	1
и в самом	2	2
той мере в	5	1
языковой традиции в	1	1
как зам зав	1	1
те или иные	1	1
что же до	2	1
locutions toutes faites	1	1
в совершенно ином	1	1
в письменной речи	1	1
на этот вопрос	1	2
ясно что в	1	1
что именно этот	1	1
не принял радио	2	1
мы приходим к	1	1
мере в какой	5	1
т д не	1	1
том случае если	1	2
только в том	3	2
или что-либо в	1	1
но слово это	1	1
это все же	1	1
язык дворянской интеллигенции	1	1
духу русского языка	1	1
т п т	1	1
в настоящее время	1	1
вопроса о пуризме	1	1
идет речь в	1	1
вследствие того что	1	1
с этой точки	1	2
т п и	1	2
о котором идет	2	1
не может быть	3	4
широком смысле этого	1	2
именно этот оттенок	1	1
не только потому	1	2
в самом широком	1	1
не в том	4	1
и русский язык	1	1
само по себе	1	5
в том случае	1	2
сами по себе	1	1
чуть ли не	2	1
состоит в том	3	1
д и т	2	1
потому что она	1	1
и т д	14	14
это на примере	1	1
не то что	1	1
заключается в том	2	1
хотя бы и	2	2
только тогда когда	1	1
этого слова и	1	1
т д и	2	1
т п все	1	1
частью нормального слова	1	1
к нашей теме	1	1
