2gram	Vinokur_KulturaYazyka_partition_part1_wordlist_2gram	Vinokur_KulturaYazyka_partition_part2_wordlist_2gram
п и	2	1
форма слова	1	1
все же	7	12
речи и	5	5
в область	1	1
все дело	2	1
к тем	1	1
так например	1	2
сплошь да	2	1
с полным	1	1
не следует	5	1
основании что	1	1
нас совершенно	1	1
недостаточно для	1	1
том и	1	2
коллектива к	1	1
в точности	1	1
выражение в	3	1
она есть	1	1
зам зав	1	1
языка можно	1	1
общего с	1	1
язык лишен	1	1
слова и	5	4
даже в	1	3
в прямой	1	1
мы имеем	5	6
проще всего	2	1
языка поскольку	1	1
с языком	1	2
в наших	1	1
с такими	1	1
кроме того	1	1
принципиально представляется	1	1
падежные формы	1	1
и далее	2	1
быть понятен	1	1
иначе как	1	2
свой язык	1	3
на язык	1	4
действительно в	1	1
то мы	1	3
его и	1	1
связан с	1	1
так и	4	7
общем случае	1	1
конечно нужно	1	1
в иных	2	2
и т	39	33
как нельзя	1	1
не нов	1	1
когда мы	1	2
еще и	2	5
и у	2	1
как зам	1	1
языкового выражения	6	1
ораторской речи	4	3
есть нечто	1	1
мы с	2	1
в известном	1	1
тем самым	2	4
первая же	1	1
то что	9	9
но как	1	1
примером может	1	1
всегда в	1	1
в каком	4	2
и от	2	1
имеет смысл	1	1
устной речи	1	2
часто и	1	1
который будучи	1	1
никак не	3	2
слово извиняюсь	1	2
строго и	1	1
и некстати	2	1
наряду с	1	1
в особенности	4	3
самый факт	1	1
должна быть	5	3
в одном	1	3
а главное	3	1
в свою	2	3
речи можно	1	4
какой смысл	2	2
языка так	1	1
иное как	1	2
котором идет	1	2
тому же	1	1
что-либо в	3	2
который уже	1	1
прямой связи	1	1
несмотря на	5	3
той же	2	3
обратно в	1	1
от себя	1	2
в обычном	2	1
если бы	12	9
связи с	3	7
может иметь	1	2
ни в	4	2
к одному	1	1
что в	10	17
как не	3	1
речи к	1	1
о таком	1	1
что целый	1	1
нас в	1	1
однако в	1	1
языка не	2	3
которая находит	1	1
бы часть	1	1
в своей	2	2
к сожалению	1	1
как раз	3	8
или же	2	1
которое было	2	1
сказал бы	1	1
что можно	3	2
но дело	1	1
с его	1	4
в противоречии	1	1
как только	1	1
