3gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_3gram
несколько слов о	1	1
его работе над	1	1
не только в	4	3
представляется своего рода	1	1
доходят до меня	1	1
в прямом смысле	1	1
каждом отдельном случае	1	1
ни для кого	1	1
можно было бы	8	1
в той или	1	1
во всяком случае	6	4
ответ на эти	1	1
у пушкина но	2	1
в том чтобы	1	2
не может не	1	1
для того чтобы	10	1
чем у пушкина	2	1
в наше время	1	1
о том что	11	4
на то что	4	3
нет ни одного	1	1
в пушкинское время	2	1
и xix в	1	1
т п но	1	1
пир во время	1	2
если не считать	1	1
и в этих	1	2
на самом деле	6	1
первому из этих	1	1
имею в виду	1	1
вопрос о том	2	1
более раннего времени	1	1
и мн др	3	1
дело не в	2	1
на эти темы	1	1
кукиш в кармане	1	1
начале xix века	1	3
бориса годунова является	1	1
отношение пушкина к	1	2
не говоря уже	1	1
что в россии	1	1
но и это	1	1
и у пушкина	1	1
объясняется тем что	1	1
бориса годунова и	1	3
том что здесь	2	2
ответ на вопрос	1	1
пушкина как на	1	1
в своей статье	4	1
той или иной	1	1
могло бы показаться	1	1
на эти вопросы	3	1
автографа бориса годунова	2	1
при его жизни	2	1
в свое время	2	1
как раз в	2	1
в целом это	1	1
в своей трагедии	1	2
к тому что	1	2
ср с другой	2	1
пушкина у нас	1	1
и в этом	3	2
в том смысле	2	2
говорит что он	1	2
россии никогда не	1	1
но и в	2	2
то обстоятельство что	2	5
как можно было	1	1
собрание сочинений пушкина	1	1
но то что	1	1
грубыми и примитивными	1	1
академического издания сочинений	1	1
истории государства российского	1	1
тем или иным	3	1
в том что	17	11
в то время	2	4
но это не	1	3
отметить что в	1	1
к борису годунову	2	2
в начале xix	1	3
и не в	1	2
то же время	4	3
и тех же	1	1
во время чумы	2	2
и т п	9	6
г д д	1	2
в печатном тексте	1	2
одних и тех	1	1
тем не менее	2	2
я думаю что	4	1
говорит о том	2	1
по тем или	1	1
по крайней мере	2	4
в том же	1	1
указания на то	1	1
т д разумеется	1	1
и то обстоятельство	1	1
говорит что пушкин	1	1
с другой стороны	6	4
таким образом в	1	1
тем более что	2	2
на протяжении всей	1	1
в рукописи пушкина	1	2
в том отношении	4	1
здесь дело в	1	1
моцарта и сальери	1	2
пушкина в его	1	2
словаре академии российской	3	1
том что пушкин	3	1
на мой взгляд	1	1
в данном отношении	5	1
в отдельных случаях	1	1
бориса годунова между	1	1
я хотел бы	1	1
два стиха в	1	2
в г д	1	2
в борисе годунове	2	38
в конце первой	2	1
том что он	1	1
должно было бы	1	1
том что этот	1	1
в одном из	1	1
но все же	3	2
из современников пушкина	1	2
как и вообще	1	1
а не на	1	1
в россии никогда	1	1
целиком совпадает с	1	1
издании бориса годунова	2	1
во всех этих	1	2
ни в малой	1	1
он должен был	2	1
тем что это	1	1
с одной стороны	2	2
в применении к	3	1
т п в	3	1
в то же	4	3
вещей в этом	1	1
в этом отношении	7	4
является не только	1	1
виде в каком	1	1
об этом не	1	1
как в наше	1	1
в каждом отдельном	1	1
прежде всего необходимо	1	1
в печатном издании	1	2
так как в	2	1
а не в	1	1
в малой мере	1	1
в его работе	1	2
том смысле что	1	1
я имею в	1	1
а сверх того	1	1
том отношении что	2	1
в самом деле	5	1
потому что он	1	2
за рамки его	1	1
пушкина может быть	1	1
было бы совершенно	1	2
до сих пор	7	2
а иногда и	2	1
но в целом	2	1
обстоятельство что в	1	1
и разумеется совершенно	1	1
по этому пути	1	1
на вопрос о	2	1
так или иначе	2	1
т е не	1	1
объясняется и то	1	1
с точки зрения	8	4
но я считаю	1	1
к vii тому	1	1
речь идет о	2	1
в г в	1	3
говоря уже о	1	1
в этом смысле	1	4
в одно целое	1	1
пушкина это в	1	1
в одних и	1	1
это слово в	1	2
и в самом	3	1
биографии пушкина это	1	1
что же касается	3	1
бориса годунова в	2	2
этой области не	1	1
малой мере не	1	1
вовсе не является	1	1
то было бы	1	1
укажу еще на	1	1
в лучшем случае	1	1
и в других	1	1
вытекает из его	1	1
в статье о	2	1
в одной из	1	1
бориса годунова а	1	3
в конце концов	1	3
во многих случаях	2	1
то время как	1	4
у пушкина в	1	1
по этому поводу	2	2
у пушкина этот	1	1
издания сочинений пушкина	6	1
пушкина как и	1	1
пушкина таким образом	1	1
не может быть	5	5
не в том	2	3
в словаре академии	3	1
нет никакого сомнения	1	1
что в этой	2	2
слов доходят до	1	1
в какой степени	1	1
на тему о	1	2
пушкина в этом	1	1
это объясняется тем	1	1
и т д	21	2
которая была бы	1	1
в этой области	5	2
заключается в том	3	2
должна была бы	3	2
только у нас	1	1
то что он	1	1
проявляется в том	1	1
тем что в	2	2
а с другой	1	2
из этих двух	2	1
у нас не	1	1
то что в	2	1
