3gram	Vinokur_KulturaYazyka_partition_part1_wordlist_3gram	Vinokur_KulturaYazyka_partition_part3_wordlist_3gram
не только в	3	1
в первом случае	2	1
вовсе не потому	1	1
мы имеем право	1	1
и пр и	1	1
т п для	1	1
что в ней	1	1
в особую систему	1	1
вовсе еще не	1	1
значении т е	1	1
русского языка и	2	1
можно было бы	10	3
силу того что	1	2
деле в общем	1	1
во всяком случае	1	5
т е как	3	4
и т п.	2	1
в том чтобы	3	8
и того же	2	2
для того чтобы	11	15
что язык есть	1	2
о том что	3	5
этой точки зрения	1	2
самом деле может	1	1
говорить о языке	1	1
понятно при этом	1	1
вместе с тем	1	3
тогда когда он	1	2
а вместе с	1	1
в этом случае	4	2
я хочу сказать	1	1
в этом роде	1	1
можно говорить как	1	1
на самом деле	3	2
лишены внутренней формы?	1	1
со всем тем	1	1
имею в виду	2	1
на наших глазах	1	1
если не ошибаюсь	1	1
самом деле так	1	1
и вместе с	1	1
и литературной речи	1	1
хочу сказать что	1	1
дело не в	2	1
друг от друга	1	1
ответить на этот	1	1
как раз и	2	1
в первую очередь	3	2
которого собственно и	1	1
том чтобы выяснить	1	1
более или менее	2	3
ни в какой	2	1
обратить внимание на	1	2
а вовсе не	1	1
не говоря уже	2	1
с помощью которого	1	1
то же слово	1	1
язык есть язык	1	2
то легко убедиться	1	1
точки зрения как	1	1
той или иной	5	1
себе представить что	1	1
таким образом если	1	1
в иных случаях	1	2
что и в	2	1
и в то	1	1
тех случаях когда	1	2
знание о языке	1	1
т е когда	1	2
в свое время	2	2
мы имеем в	1	1
уже само по	1	1
к тому что	1	2
в зависимости от	7	5
речь здесь идет	1	1
и если бы	1	1
от того что	2	1
п и т	2	1
одного и того	2	2
в том смысле	1	1
лишь в том	2	1
смысл только в	1	1
должен предупредить что	1	1
в противном случае	1	1
в русском языке	2	4
в строгом смысле	1	1
то обстоятельство что	3	8
ничего нельзя возразить	1	1
пр и пр	1	1
что в числе	1	1
как следует из	1	1
когда мы говорим	1	1
в пределах данной	1	1
в том что	8	15
о внутренней форме	1	1
языка как важнейшего	1	1
это не значит	1	1
не потому что	1	3
что слово есть	1	1
должен решаться в	2	1
то же время	1	2
имеется в виду	1	1
может быть предметом	1	1
мы говорим о	1	1
и т п	41	18
т е о	1	2
в прямой связи	1	1
должно быть что	1	1
тем не менее	9	4
как не трудно	1	1
тот или иной	2	1
языка т е	3	1
в связи с	4	3
так же как	1	1
то же в	1	2
по крайней мере	1	5
в свою очередь	1	3
ради которого собственно	1	1
языке т е	1	1
но для этого	1	1
по отношению к	2	8
в ее целом	1	1
с другой стороны	3	6
именно так и	1	1
с тем чтобы	2	1
в отличие от	2	1
тем более что	2	1
как и всякая	1	1
что слово это	1	1
можно себе представить	1	1
при этом что	2	1
можно рассматривать с	1	1
в сущности уже	1	1
только для того	1	1
том-то и дело	1	1
в данном отношении	1	2
в тех случаях	1	2
на мой взгляд	3	2
точно и строго	1	1
языка в его	1	2
я и хочу	1	1
смысле этого слова	2	1
в области языка	2	2
и именно поэтому	1	1
что целый ряд	1	1
слова т е	1	1
язык как на	1	1
или иной литературной	1	1
вовсе не в	1	1
но все же	1	2
лишь после того	1	1
я мог бы	1	1
постановка вопроса о	1	1
как нельзя более	1	1
чтобы эти штампы	1	1
в общем смысле	1	1
так и в	3	2
с одной стороны	4	1
речи и не	1	1
мы увидим что	1	2
в то же	1	2
в известной мере	1	1
того как мы	1	1
собственном смысле слова	1	1
это еще не	1	1
т е в	1	2
де соссюр не	1	2
того или иного	3	3
язык никогда не	1	1
в виду не	1	1
мы сразу же	1	1
связи с общим	1	1
в силу того	1	2
том что на	1	1
в собственном смысле	1	1
том смысле что	1	1
как на язык	1	1
можно говорить о	3	1
я имею в	2	1
в самом деле	11	7
потому что он	1	1
в той мере	1	5
а то и	1	1
тех или иных	1	1
самом деле в	1	1
тот же звук	1	2
с тем что	1	1
до сих пор	8	4
и в лингвистике	1	1
п т е	1	1
и дело что	1	1
в заглавиях и	1	1
на той же	1	1
лингвистики xix века	1	1
сплошь да рядом	2	1
е как бы	1	2
с точки зрения	16	9
именно в том	1	2
а вот и	1	1
было бы сказать	3	1
в общем случае	1	1
по своему содержанию	1	1
в этом смысле	1	3
нельзя возразить против	1	1
легко убедиться что	1	1
только о том	1	1
после того как	4	1
т е с	1	1
той мере в	1	5
и в самом	4	2
звук языка это	1	1
прямой связи с	1	1
те или иные	1	1
что же до	2	2
его грамматическую систему	1	1
в какой мере	2	1
что же касается	1	4
но вернемся к	1	1
о языке как	1	3
на эту сторону	1	1
сих пор сказанного	1	1
в письменной речи	1	1
общем смысле этого	1	1
на этот вопрос	1	1
как увидим ниже	1	1
ясно что в	1	1
мере в какой	1	5
мы приходим к	1	1
том что не	2	1
далеко еще не	1	1
механизм языка который	1	1
мы наблюдаем в	1	1
только в том	2	3
ли в этом	1	1
хотя и здесь	1	1
жива еще их	1	1
и в той	1	1
того как они	1	1
тогда когда в	1	1
в том-то и	1	1
эту сторону дела	1	1
язык дворянской интеллигенции	1	1
в научной литературе	1	1
т п т	1	1
а в том	1	2
в стилистическом отношении	1	1
не случайно и	1	1
с этой точки	1	1
т п и	4	1
это потому что	1	1
не может быть	3	3
против того что	1	1
не в том	2	4
на литературный язык	2	1
а может быть	1	1
само по себе	1	1
в том случае	4	1
мы видели уже	1	1
на первых порах	1	1
но дело не	1	1
чуть ли не	1	2
д и т	1	2
и т д	8	14
не то что	1	1
заключается в том	1	2
т п так	1	2
хотя бы и	1	2
только тогда когда	4	1
т е она	1	1
заинтересован в том	1	1
а с другой	3	3
т п все	2	1
т д и	1	2
к нашей теме	1	1
