2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_2gram
а напротив	2	2
его в	1	3
все же	4	4
художественную реальность	2	1
печорина в	3	1
от луки	1	2
эстетического отношения	8	3
связь с	1	2
словами гегеля	1	1
между которыми	1	1
и всякого	1	1
не следует	4	1
субъективной стороной	1	1
текста полностью	1	1
часть третья	2	1
подобно тому	3	3
не от	1	2
известном смысле	1	1
при известии	1	1
даже в	3	2
этом как	1	2
покойного ивана	1	4
а от	1	1
мы имеем	6	5
и к	3	4
и четвертой	1	1
эстетической модальности	1	5
с языком	1	1
конечном счете	4	2
не становится	2	1
в притче	1	4
независимо от	1	1
таком случае	3	1
текста но	3	1
автора не	1	1
его и	2	1
быть признано	1	1
так и	4	14
евангелия от	1	2
этому пути	1	1
целого как	2	2
не является	2	5
как было	1	1
за пределы	2	1
и авторской	1	1
один и	1	1
определенного типа	1	1
которыми располагается	1	1
анализ текста	2	1
в известном	1	1
тем самым	7	4
как сам	1	2
я с	1	2
на всех	1	1
но как	1	3
то что	6	2
во-вторых они	1	1
не как	1	2
всякое высказывание	1	2
произведения то	1	1
и от	1	2
и фактически	1	1
как единого	2	1
художественности и	1	1
было показано	1	1
составляет своего	2	1
соответствующую ей	1	1
возвращение в	1	1
его как	1	3
в особенности	1	3
искусства слова	1	1
в точке	1	2
в одном	1	4
в свою	1	5
этой второй	1	1
из первых	1	1
фазы обособления	1	1
иное как	5	1
тому же	4	3
в коммуникативной	1	1
целого или	1	1
несмотря на	2	2
той же	2	5
личность и	1	1
от себя	3	1
если бы	3	1
иначе говоря	9	2
та же	1	1
связи с	1	1
может иметь	2	1
полного текста	1	1
между собой	2	1
и той	1	2
текста с	1	4
что в	5	9
тексте но	1	1
модуса художественности	1	3
однако в	3	5
в начале	2	6
произведением в	1	1
в своей	6	1
как раз	1	7
к числу	1	2
было и	1	1
в основе	6	1
не должно	1	3
эстетический объект	6	1
с его	3	8
читателя не	3	1
этих двух	1	1
речевого общения	1	1
и адресата	2	1
адресата и	1	1
в состав	3	1
как правило	4	5
на наш	6	2
случае его	1	1
в той	8	2
о чем	1	4
по мысли	3	1
себе в	2	1
зависимости от	1	1
произведения со	1	1
ибо он	1	1
фиксации и	1	1
восходящая к	2	3
коммуникативным событием	1	2
и все	3	2
> и	1	1
личности как	1	1
особенности же	1	1
о подлинном	1	1
с иными	1	2
бы мы	1	1
осмеяние и	1	1
фаза обособления	1	1
чего она	1	1
еще одно	1	1
и о	2	1
жизни и	1	1
с целым	1	1
себя и	4	1
ему и	1	1
в противоположность	2	2
и слушающих	1	1
из которых	4	1
в них	1	2
только не	2	3
евангельской притчи	1	1
в.т >	1	1
место в	3	1
заключительной стадии	1	1
типов высказывания	1	1
не есть	8	4
произведение оно	1	1
те же	1	2
основного действия	1	1
сознания с	1	1
без исключения	1	3
не может	22	2
могут быть	4	2
креативная компетенция	1	5
иметь дело	1	2
первых двух	1	1
состоит не	1	2
то есть	11	10
отнюдь не	15	4
того или	3	1
вместе с	4	2
такого рода	5	5
и одновременно	3	1
лиминальная фаза	3	1
в том	27	9
с текстом	3	1
молодого человека	1	1
