3gram	Losev_DialektikaMifa_partition_part1_wordlist_3gram	Losev_DialektikaMifa_partition_part2_wordlist_3gram
значение может иметь	1	1
необходимая категория сознания	2	1
одному тому что	1	1
время отрешенной от	1	1
в той или	2	1
что она есть	1	1
о том что	4	2
что иное как	3	1
есть не больше	1	1
не есть бытие	1	2
между обеими сферами	1	1
и ни на	1	1
на самом деле	1	2
внутреннего и внешнего	2	6
кто же не	1	1
– это не	1	1
в мифе нет	1	3
отграничения мифа от	1	1
более или менее	2	3
в разных религиях	2	1
степень иерархийности разную	1	1
может быть и	3	3
той или иной	1	3
я не буду	1	3
так что в	1	1
по себе а	1	2
какой стороны не	1	3
разных религиях и	1	1
и бытия вообще	1	1
есть нечто совершенно	2	1
уже и тут	1	1
на всю ее	1	1
и в частности	2	2
а потому что	1	1
что не есть	1	2
в том что	6	7
не потому что	6	1
никогда не есть	1	1
в мифе же	1	1
и даже в	2	1
том что именно	1	1
и то же	4	4
иметь в виду	2	3
то мифология не	1	1
между мифологией и	5	1
взаимообщение содержащее в	1	1
связи с этим	1	1
сознания и бытия	3	1
это – такое	1	1
так что уже	1	1
ни в каких	1	1
живое субъект-объектное взаимообщение	1	1
мифа в мифе	1	1
быть содержащая в	1	1
но все же	1	1
аллегория но символ	1	1
а не ее	1	1
не есть только	3	1
может и не	1	2
отношении мифологии и	1	1
в них нет	1	1
в то же	3	4
разную степень иерархийности	1	1
ни схема ни	1	2
по себе и	1	2
касается меня то	1	1
с самого начала	2	1
в самом деле	3	1
это не мешает	1	1
в частности примитивно-научное	1	2
скажу только что	2	1
же время отрешенной	1	1
сама по себе	7	8
конечно не есть	1	1
с точки зрения	8	12
я – во	1	1
то или иное	4	2
в этом смысле	1	3
не есть фантастический	1	1
нет никакой мифологии	1	1
если она и	1	1
ни с какой	1	4
мифа но это	1	1
стало быть содержащая	1	1
крайней мере в	2	1
свойственна некая отрешенность	1	1
одна и та	4	2
а потом уже	2	2
существо мифа но	1	1
субъект-объектное взаимообщение содержащее	1	1
же истинность достоверность	1	1
само по себе	2	5
сами по себе	3	1
быть и схемой	1	1
мифология не есть	1	5
по смыслу своему	1	1
религия не есть	1	1
иерархийности разную степень	1	1
того что она	1	1
т д и	2	2
несмотря на всю	1	4
не есть ни	6	6
непосредственное и даже	1	1
прежде всего диалектически	1	1
и может быть	3	1
а не только	1	1
со скоростью света	1	1
такое внутреннее которое	1	2
итак миф не	1	1
не нуждается в	3	3
своей отвлеченности и	1	1
дело не в	1	1
мифическую же истинность	1	1
ни на что	1	2
никогда не воспринимает	1	1
в себе разную	1	1
и в то	1	2
тех или других	2	2
что в нем	2	3
это значит? это	1	1
сказать что миф	1	1
когда мы говорим	1	1
но это не	2	1
в каком смысле	1	1
и творимая вещественная	1	1
то же время	4	4
и чувственно творимая	1	1
да и то	1	3
но даже и	1	1
мы находим например	1	1
схема ни аллегория	1	2
с другой стороны	4	4
есть сама жизнь	1	1
бы она ни	1	1
однородного и бесконечного	1	1
никто никогда не	1	1
мы находим в	1	2
того и другого	1	1
есть не что	2	1
что уже нельзя	1	1
что он –	1	5
к тому же	1	1
точно так же	1	2
в каком случае	2	4
прежде всего символ	1	1
категория сознания и	2	1
и должно быть	2	1
тут речь идет	1	1
и то не	1	2
не мешает ей	1	1
не значит что	3	3
это и не	1	1
не есть метафизическое	1	2
но уже и	1	2
так или иначе	2	1
на что не	1	2
и в себе	1	1
творимая вещественная реальность	1	1
– все равно	1	1
метафизическое построение но	1	1
отрешенной от обычного	1	1
каком случае не	1	2
в особенности если	1	1
чисто мифическую же	1	1
два или больше	1	2
в величайшей мере	1	1
миф никогда не	1	1
есть выдумка или	1	1
что он есть	1	1
и в нем	1	2
– все это	1	2
и даже не	1	2
первое прикосновение к	1	1
– сама по	1	1
самом же деле	1	1
общего с мифологией	1	1
но что такое	1	2
д и т	2	2
и т д	15	19
мифологии и –	1	1
или иная степень	1	1
но мы уже	1	1
т д все	1	1
чувственно творимая действительность	1	1
то это значит	1	2
жизни и в	1	1
ощущаемая и творимая	1	1
во всяком случае	2	2
без мифа наука	1	1
ровно никаких указаний	1	1
той или другой	3	4
ни аллегория но	1	1
друг с другом	1	1
выдумка или фикция	1	1
диалектически необходимая категория	2	1
что она нисколько	1	1
в виду что	2	1
т е только	1	1
ни в какой	2	1
схемой и аллегорией	1	2
хода явлений и	1	1
на самом же	1	1
к тому что	1	2
есть метафизическое построение	1	2
и в этом	1	3
вовсе не есть	2	1
ни тем более	1	1
по сравнению с	1	2
после долгих колебаний	1	1
не что иное	3	1
по одному тому	1	1
закономерность и структуру	1	1
и т п	2	2
уже знаем что	1	1
и схемой и	1	2
есть прежде всего	1	1
в связи с	4	1
творимая действительность являющаяся	1	1
по крайней мере	9	4
то же и	1	1
сам по себе	3	6
частности примитивно-научное построение	1	2
вещей и явлений	1	2
в каком-то особенном	1	1
можем сказать что	1	2
т е по	1	2
что в мифе	1	1
вещественно и чувственно	1	1
нечего и говорить	1	1
я не могу	1	1
с одной стороны	1	2
в разной степени	1	1
в этом отношении	1	2
что касается меня	1	1
во мне и	1	1
и можно сказать	2	1
принципиальную закономерность и	1	1
с мифологией и	1	1
