3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_3gram
уже говорили что	2	2
при этом каждое	1	1
но при этом	2	1
и заставляет его	1	1
как к другому	1	1
и сам знаю	3	3
герой из подполья	1	4
как мы уже	1	1
то ни было	1	4
особенно там где	1	1
его внутренний диалог	1	3
в той или	3	2
во всяком случае	1	5
во внутреннем диалоге	2	2
реального другого в	1	1
иногда до жиль-блаза	1	1
в одном сознании	1	1
носит чрезвычайно напряженный	1	1
далеко не исчерпали	1	1
о том что	1	2
на то что	2	1
друг с другом	4	2
как бы беспрерывно	1	1
мы можем сказать	1	1
этих двух голосов	1	1
его за живое	1	2
что может быть	1	1
с самим собой	3	6
он только так	2	1
из подполья и	1	1
только себя и	1	1
чужого слова с	2	1
на самом деле	1	10
и что он	1	1
слово о себе	3	4
и не хочет	1	1
не то чтоб	1	2
в большей или	1	1
в большинстве случаев	8	2
не только не	1	1
как и в	3	1
не исчерпали всех	1	1
себе и своему	1	4
точки зрения он	1	1
как раз и	2	2
в себе его	1	1
не скупясь на	1	1
слова и мысли	2	1
а вовсе не	1	2
в высшем смысле	1	1
а что если	1	1
о себе героя	1	1
в одном голосе	1	1
может быть и	2	1
диалога с самим	1	2
той или иной	3	2
не входит в	1	2
героя к себе	1	1
прежде всего в	1	1
этими двумя пределами	1	1
в одном романе	1	1
в отношении к	2	7
к своему предмету	1	1
в чужих устах	1	2
он надо мной	1	1
героя и слово	1	2
себе самому он	1	1
для него значит	1	1
как и все	4	2
слово как бы	1	1
боится чтобы не	1	1
прямое интенциональное слово	2	1
что в нем	1	2
цельный и уверенный	1	1
точки зрения его	1	1
свой последний смысл	1	1
в чермашню и	1	1
в его внутренний	1	2
резко отличается от	1	1
и не может	4	2
на свой предмет	6	1
как чужой голос	2	1
ведь и сам	3	2
и резко слово	1	1
его отношения к	1	1
диалог ивана с	1	3
в том и	1	1
за редчайшими исключениями	1	1
в другом человеке	2	1
в пределах одного	9	2
для него и	1	1
налегли друг на	1	1
в том что	1	1
в позднейшем творчестве	1	1
может быть даже	1	3
со смердяковым до	1	2
слова у достоевского	1	1
и в тоне	1	1
голосов и их	1	1
в еще более	1	1
слово с оглядкой	2	1
и не в	1	3
то же время	5	12
авторское слово не	2	1
приносит с собою	1	1
в сущности не	1	2
хотя и не	2	1
того же принципа	1	1
и т п	9	6
дело идет о	1	1
у достоевского нет	1	2
о себе не	1	1
тем не менее	2	2
его второй голос	2	1
и наконец в	1	2
среди них он	1	1
кажется что в	1	1
я ведь и	4	3
достоевского как мы	2	1
и его слово	1	1
и то же	2	1
те же явления	1	1
не может найти	1	1
по крайней мере	1	3
в том же	1	1
бы то ни	1	4
по отношению к	5	5
тему о себе	1	1
с другой стороны	3	3
освободиться от власти	1	1
стиль и тон	1	3
в отличие от	4	2
не подумали что	1	1
двойника т е	1	1
у него нет	1	1
а между тем	1	3
вот как он	1	1
и не принимает	1	1
другие реальные голоса	1	1
себе и не	1	1
смысле этого слова	1	2
можем сказать что	1	1
чрезвычайно напряженный характер	1	1
обращен к герою	1	1
он не принимает	1	1
слова т е	2	1
в нем не	1	1
но все же	2	1
к другому и	1	2
отношение к чужому	1	1
предвосхищаемые чужие реплики	1	1
того и другого	2	1
самим собою и	1	3
диалог с самим	1	2
как бы уже	1	2
еще более резкой	1	1
не в монологическом	1	1
как мы сказали	2	1
что второй голос	1	1
это вовсе не	2	1
его внутреннего диалога	1	3
принцип сочетания голосов	1	1
в узком смысле	2	1
так и в	1	2
мира ибо и	1	1
или иной степени	1	1
можно сказать что	1	1
большей или меньшей	1	1
по замыслу достоевского	1	7
авторское слово или	1	1
или иной форме	1	1
как бы не	1	1
реплики внутреннего диалога	2	1
каждый из них	1	2
но тем не	1	1
подумали что он	1	1
мы увидим что	1	2
в то же	5	12
себя сам и	1	1
так же не	1	1
к тому же	3	2
человека с человеком	1	2
диалогически обращен к	2	1
прежде всего как	1	1
друг к другу	2	1
голосов в одном	2	1
этот тон и	1	1
о себе самом	3	5
оглядкой и с	1	1
между этими двумя	1	1
произведениях достоевского нет	1	1
ни в одном	2	1
не в личном	1	1
по себе и	1	1
оно должно быть	2	1
я как все	1	1
вполне понятно что	1	2
характерный для всего	1	1
обращается к себе	1	2
тон и свой	1	1
его диалог с	1	1
в самом деле	4	3
нет к нему	1	1
в каждом романе	1	1
двух голосов в	1	2
чтобы не подумали	1	1
внутреннего диалога в	1	1
человека из подполья	1	13
на этот раз	1	1
слово героя и	1	2
до сих пор	7	1
так что он	1	1
среди которых он	1	1
сама по себе	4	2
и свой предмет	1	1
в произведениях достоевского	3	2
для него в	1	1
сплошь да рядом	1	1
в творчестве достоевского	2	3
с точки зрения	8	4
может до конца	1	2
сам знаю что	3	2
к себе самому	3	14
мы уже говорили	3	3
среди других слов	1	1
в романах достоевского	2	3
а что он	1	1
не может до	1	2
в этом смысле	2	4
почти никогда не	1	1
в бедных людях	3	1
если бы он	1	1
или меньшей степени	1	1
что он не	1	1
же время не	1	2
свой предмет и	1	1
и со всею	1	1
если б я	1	1
его собственные слова	1	1
остается той же	1	1
в каждом своем	1	1
как мы знаем	1	2
рассказчика и в	1	1
как бы в	4	1
с чужим словом	4	1
чужого слова как	1	1
отношением его к	1	1
и своему предмету	1	5
рано или поздно	1	1
уже сама по	1	1
я вам скажу	1	1
и в других	1	1
себя и свой	1	1
глубины души человеческой	3	1
друг на друга	2	2
никогда не бывает	1	2
но в то	3	3
отношению к чужому	2	1
интенциональное слово слово	1	1
в конце концов	2	3
и свой последний	1	1
и в нем	1	3
в слове рассказчика	1	1
к одному знаменателю	2	1
действующими лицами являются	1	1
с самим собою	5	7
в значительной степени	1	1
и слово рассказа	1	1
что у достоевского	1	2
вы говорите что	1	1
одно и то	2	1
но она не	1	1
в сущности в	1	1
ни одного слова	1	1
ибо и в	1	1
и со всеми	1	1
как если бы	2	1
эта оглядка на	1	1
установка по отношению	1	1
не может быть	4	6
сухость рассказа иногда	1	1
а может быть	1	2
пределах одного сознания	1	1
свой тон и	1	1
на тему о	1	2
независимость от чужого	1	1
и т д	4	2
напряженный характер в	1	1
уст в уста	1	1
за живое и	1	1
и в том	1	1
в самые атомы	1	1
хотя бы и	1	2
с человеком а	1	1
то что он	1	1
оно стремится быть	1	1
рассказа иногда до	1	1
диалог у достоевского	1	2
том и в	1	1
и в другом	1	1
в личном смысле	1	1
как нам кажется	2	1
из уст в	1	1
да что же	1	1
слово рассказа в	1	1
но в этом	1	1
