2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram
своими словами	1	2
во сне	1	1
мы опять	1	1
все же	8	5
его в	3	3
рассказе а	1	1
которые заставляют	1	1
вытекает из	2	1
это совершенно	1	3
устанавливает те	1	1
все дело	1	2
к фабуле	1	1
имели дело	1	1
подходят те	1	1
роль при	1	1
так например	2	4
от действительности	1	3
те достоинства	1	1
не следует	1	1
нас совершенно	3	2
в одну	1	1
том и	2	1
сейчас увидим	1	1
подобно тому	1	1
достаточно сослаться	1	1
чтобы довести	1	1
его силы	1	1
не от	1	1
произведению и	1	1
второй раз	1	1
и каждый	1	1
одной чрезвычайно	1	1
так точно	2	1
зависимость от	1	1
себе ставит	1	1
даже в	1	2
из него	4	1
в поэтический	1	1
и к	3	2
мы имеем	1	2
перед смертью	1	1
прав когда	3	2
и своим	1	1
кульминационный пункт	1	1
независимо от	1	1
с такими	1	1
мы читаем	2	2
в катастрофе	3	1
которое он	1	1
не находим	1	1
что при	1	2
что часто	1	1
иначе как	2	1
то мы	1	1
нашего исследования	1	1
то здесь	1	1
так и	1	3
в другой	1	1
и т	14	6
не является	1	2
характера и	1	8
уже давно	2	1
имеет ли	1	1
как нельзя	1	2
весь рассказ	1	4
при таком	2	3
действующие лица	1	1
когда мы	2	6
и у	1	1
что зритель	1	2
воздух и	1	1
самый рассказ	2	1
предисловии к	1	1
издевательство над	1	1
тем самым	1	3
то что	35	44
но как	2	1
что тут	1	1
нас станет	1	1
самому рассказу	2	1
она превратилась	1	1
никак не	7	6
еще чаще	1	1
на неустойчивом	1	1
бы это	1	3
имеет в	1	1
нашей эстетической	1	2
следовало бы	1	1
по которым	1	2
согласии с	1	1
в одном	8	3
в свою	4	1
многие критики	1	1
тот факт	1	1
тому же	1	3
так много	1	1
который лежит	1	1
правильнее было	1	1
подходят к	1	1
несмотря на	5	1
той же	2	4
мы найдем	2	1
в обычном	1	1
стояли перед	1	1
иначе говоря	5	2
к которому	1	1
мы получим	1	3
та же	3	3
нет никакого	2	1
и такие	1	1
медлительность и	1	1
ни в	3	3
говорил о	2	1
заключенное в	1	1
же точно	2	7
сослаться на	2	1
и той	2	2
то время	2	2
как не	1	1
что в	20	21
совершенно очевидно	1	1
двух противоположных	5	2
было показать	1	1
но совершенно	1	4
за ним	1	1
о самом	1	1
в своей	5	4
который говорит	2	3
как раз	8	9
хотя он	1	1
противоположное и	1	1
но если	4	3
на глазах	1	1
ход событий	1	1
поэзии на	1	1
и другая	1	1
в основе	3	3
напротив того	6	2
очень легко	4	4
другой раз	1	1
для автора	1	1
с его	1	2
этим двум	1	1
что можно	1	1
совершенно иначе	2	3
как только	3	2
в минуту	1	1
что дело	1	1
что она	16	10
бы если	1	1
