3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_3gram
тогда как печорин	1	3
не только в	1	2
ценностного центра этого	1	1
две недели в	1	1
романа в целом	2	3
не о том	2	1
в пустой хате	1	2
от автора и	1	1
я во внешнем	1	1
оставляет желать лучшего	1	1
так и не	1	4
в силу своей	2	1
сотворческого сопереживания актуализация	1	1
в двух проекциях	1	1
дело не с	1	1
как и на	1	1
о том что	3	6
этой точки зрения	1	1
и во вставном	1	1
друг с другом	1	1
мы имеем дело	4	3
что иное как	5	1
всего лишь одна	1	1
с чужих слов	1	1
с самим собой	1	1
субъекта объекта и	1	2
в четыре часа	1	2
как единого высказывания	1	1
выступают не сами	1	1
между тем как	1	1
непосредственно к внутреннему	1	1
не знает категории	1	1
в полной мере	3	1
ключевая роль в	1	1
как и в	1	3
и представляет собой	3	1
мира вокруг я	1	1
произведения архитектоника эстетического	1	1
дело не в	1	1
мне как-то раз	2	2
на этом уровне	1	2
роль здесь принадлежит	1	1
эпизода с настей	1	1
архитектоника эстетического объекта	1	2
при встрече с	2	1
случилось прожить две	1	1
а не с	1	1
более или менее	1	1
на себя внимание	1	3
объективную данность текста	1	1
значении этого слова	6	1
как раз и	1	1
на роду написано	1	2
концентрирует внимание на	1	1
и в случае	1	1
той или иной	6	3
прежде всего в	1	1
же нам дана	1	1
своими неуместными замечаниями	1	1
произведения в сознании	1	1
художественной реальности в	1	2
с максимом максимычем	2	1
в свое время	2	1
к тому что	1	1
объектной организации литературного	1	1
художественного целого но	1	1
том что случилось	1	1
я затворил за	1	2
фаталиста и романа	1	1
но и в	2	1
второй строение литературного	1	1
в противном случае	1	1
и бросив карты	1	1
в пределах текста	1	2
в нулевом эпизоде	1	1
литературе нового времени	1	1
в казачьей станице	1	1
как уже говорилось	1	2
тогда как речь	1	1
в своей эстетической	1	1
вокруг я героя	1	1
в литературном произведении	1	1
эстетический субъект автор	1	1
в любом из	1	1
в этом ряду	2	1
не что иное	4	1
на наш взгляд	6	1
волюнтаризмом и фатализмом	1	1
всё что случилось	1	1
излагается с чужих	1	1
в том что	9	6
не все что	1	1
как-то раз случилось	2	2
как и ее	1	1
таит в себе	1	1
то же время	6	2
следует понимать как	1	1
возвратясь в крепость	1	1
