4gram	Vygotskiy_Psychologia_partition_part2_wordlist_4gram	Vygotskiy_Psychologia_partition_part3_wordlist_4gram
заключается в том что	4	7
в том смысле что	1	1
указывает на то что	3	1
в полном согласии с	1	1
с этой точки зрения	1	1
сколько раз твердили миру	1	1
в то время как	2	2
твердили миру что лесть	1	1
между поэтической и прозаической	2	1
в том что она	1	3
что в этой басне	2	1
к области поэзии и	1	1
все более и более	2	2
указывал на то что	1	1
все больше и больше	2	1
только в том случае	1	4
в том и заключается	1	2
не умели пользоваться басней	1	1
том и заключается что	1	1
что басня применяется к	1	1
что лесть гнусна вредна	3	1
уж сколько раз твердили	1	1
показать это на примере	1	1
он прямо говорит что	1	1
и во всех остальных	1	1
поэтической и прозаической басней	2	1
одной и той же	1	4
согласиться с тем что	1	1
полном согласии с этим	1	1
и в полном согласии	1	1
одно и то же	2	1
и в самом деле	9	4
в самом деле стоит	2	1
у лафонтена и крылова	1	1
миру что лесть гнусна	1	1
один и тот же	1	1
собой напрашивается вывод что	1	2
употребления животных в басне	1	1
раз твердили миру что	1	1
одна и та же	1	1
отсюда сам собой напрашивается	1	1
что с одной стороны	1	1
в самом деле басня	2	1
сам собой напрашивается вывод	1	2
в том случае если	1	4
заключается в том чтобы	1	1
и отсюда сам собой	1	1
указать на то что	1	1
