2gram	Losev_DialektikaMifa_partition_part2_wordlist_2gram	Losev_DialektikaMifa_partition_part3_wordlist_2gram
когда они	1	2
в последнее	1	1
все же	3	4
его в	1	3
значит? это	2	1
об отношении	1	1
– реальное	1	2
поэтического образа	1	2
без поэзии	1	4
себе не	1	3
существует только	1	1
начиная от	1	1
– лик	1	1
что ему	1	1
если нет	4	1
будет значить	4	1
подобно тому	4	1
не кончится	1	1
она есть	10	9
о мире	1	1
не от	1	1
непосредственное и	1	1
миф это	1	1
есть ничто	2	1
слова и	1	1
итак миф	2	2
даже в	1	3
это вовсе	1	2
из него	1	1
мы имеем	1	3
и к	5	7
здесь я	1	1
говорить не	2	1
не меньше	2	1
виду что	1	2
независимо от	1	4
как о	4	1
того и	2	2
планеты и	1	1
таком случае	10	3
кроме того	6	3
и отвлеченное	1	1
себе ни	1	1
от нее	1	1
так и	5	10
время может	1	1
время однако	1	1
вещи и	1	3
восприятие и	1	1
и т	24	17
уже давно	1	1
должна иметь	1	1
когда мы	2	3
еще и	2	1
реальные вещи	2	4
вещь не	2	1
за пределы	3	4
личности с	1	1
они имеют	1	1
есть нечто	23	8
вещь или	2	2
говорим что	1	1
то что	14	14
но как	2	5
всегда в	1	1
не как	1	2
что тут	1	4
в каком	3	4
свободе и	1	1
мифа в	2	4
и от	3	3
есть по	1	1
– на	1	1
или нет?	2	1
мир как	8	1
его как	3	1
ничего специфически	1	1
в особенности	7	1
можно находить	1	1
как таковым	1	2
не будучи	1	2
дело вовсе	1	1
даже чем	1	1
тело и	4	3
бы то	2	1
должна быть	6	5
мифическое представление	1	1
вещь но	3	2
в одном	1	4
творчества и	1	1
иное как	6	3
что обычно	1	1
тому же	2	1
нет никакой	4	4
кончилось а	1	1
сферу которая	1	1
или на	1	2
несмотря на	2	2
личность и	2	2
понимать как	3	3
та же	1	4
к которому	1	1
мы получим	1	1
нет никакого	7	2
связи с	1	4
выйти за	3	1
в мифе	13	16
ни в	9	10
из двух	3	1
сами эти	2	1
и которые	1	1
то время	4	4
как не	2	2
но то	2	1
он с	1	1
– итак	1	2
слова о	1	1
что в	7	7
тоже суть	1	1
нас в	2	1
собственно говоря	4	2
бытие и	3	2
но совершенно	2	1
и они	2	2
может ли	3	1
как раз	7	5
не указывает	1	1
уже и	3	2
но если	6	1
все в	1	2
на первый	4	1
и живого	1	1
в основе	3	1
миф есть	12	6
вещей или	1	1
что можно	2	1
то тут	1	2
тоже проявление	1	1
и миф	3	1
вовсе нет	1	1
исторического бытия	1	1
себя всему	1	1
как только	1	3
истории не	2	1
из ее	1	1
что она	9	14
формы проявления	1	2
никакому сомнению	1	1
и разные	1	1
бы и	1	2
что если	2	3
о чем	1	3
зависимости от	3	2
и что	15	5
вещи не	1	1
только очень	1	1
в мифологии	1	4
личности но	1	2
еще дальше	1	1
и все	6	12
мы говорим	2	3
от всего	6	2
есть тоже	1	1
или менее	1	2
или явление	1	1
спасения и	1	1
бы мы	1	1
есть вообще	1	1
его тела	1	1
мы только	1	2
что на	1	2
которая есть	1	2
и о	3	1
я показал	1	2
мифе нет	1	1
раз навсегда	2	1
и –	6	4
где есть	2	2
что миф	7	5
жизни и	5	6
– можно	1	1
передо мною	1	1
себя и	2	1
не сводима	1	1
антитеза субъекта	1	1
и притом	5	7
из которых	3	1
что эта	1	1
в них	5	1
только не	10	2
или нет	5	3
же самого	1	2
личностного бытия	1	3
не зависит	1	1
на одном	1	1
иметь в	2	2
не есть	54	47
вечности и	1	1
же необходимо	1	1
