3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram
в настоящую минуту	1	1
не только в	1	1
одному тому что	1	1
не больше как	1	1
можно было бы	2	1
что никогда не	1	1
во всяком случае	3	2
мы встречаемся с	1	1
но еще и	1	1
также и то	2	2
для того чтобы	8	2
в других областях	1	1
необходимо сказать что	2	4
как это мы	2	1
а также и	2	1
на то что	8	2
и то что	2	3
о том что	5	9
а есть только	2	1
вместе с тем	1	3
что иное как	2	3
мы должны сказать	2	1
если не считать	1	1
нисколько не больше	2	1
на самом деле	4	1
и никак не	1	2
века однако уже	1	1
вовсе не для	2	1
как раз и	7	1
а еще и	1	1
оставить в стороне	1	1
никак не может	1	2
поскольку в нем	1	1
обратить внимание на	1	3
в результате этого	1	1
чем перейти к	2	1
не говоря уже	2	1
стали понимать не	1	1
должны сказать что	1	1
а вовсе не	1	1
то и другое	2	2
и потому что	1	1
той или иной	4	1
уже содержит в	1	1
но ясно что	1	2
как мы увидим	2	1
как раз в	1	1
есть в данном	1	1
одним и тем	1	1
и в этом	2	1
иным как именно	1	1
и в его	1	1
на первый взгляд	1	1
если оставить в	1	1
чем иным как	1	2
в это время	1	2
то есть как	1	1
и все прочие	1	1
получилось так что	1	1
не что иное	2	3
по одному тому	1	1
может быть это	1	1
в том что	5	8
в то время	1	3
не потому что	2	1
еще и потому	1	1
нам представляется что	1	1
хотя и не	2	1
тем не менее	18	5
только тем что	1	1
но даже и	1	2
необходимо сделать одно	1	1
и как бы	2	1
в связи с	4	7
по крайней мере	2	4
а в дальнейшем	1	1
то есть в	4	1
мы увидим ниже	2	1
бы то ни	1	2
с другой стороны	3	5
в одно единое	1	1
сам по себе	7	1
связи с этим	1	1
и является наиболее	1	1
в дальнейшем и	1	1
и притом в	1	1
также и на	3	1
мы находим в	1	2
с большим трудом	1	1
в бесконечный ряд	11	2
уже не просто	1	1
в данном случае	8	2
то ни стало	1	1
и указание на	1	1
но в ее	1	1
то есть он	1	1
откуда и все	1	1
или вернее сказать	2	1
что если и	1	1
так и в	1	1
можно сказать что	3	3
или по крайней	1	1
в то же	4	1
в этом отношении	1	1
к тому же	1	1
точно так же	4	3
только потому что	2	1
в самом деле	2	1
хотя и в	1	1
тех или иных	2	2
но вместо этого	1	1
что бы то	1	1
до сих пор	3	2
также и в	1	2
свидетельствует о том	2	1
сама по себе	4	1
прежде чем перейти	2	1
не было и	1	1
и о том	3	2
уже по одному	1	1
в таком случае	6	2
так или иначе	2	1
дело в том	3	2
с точки зрения	3	8
а именно в	1	3
то или иное	1	1
и тем же	1	1
говоря уже о	1	1
в этом смысле	6	3
потому что оно	2	1
сказать что здесь	1	1
содержит в себе	7	1
тому что в	1	1
именно как символ	1	1
ни о каком	1	1
как будто бы	1	3
необходимо обратить внимание	1	1
но в силу	1	1
то далеко не	2	1
друг на друга	1	1
но в то	1	1
в которой они	1	1
в конце концов	4	6
то время как	1	3
у древних греков	1	1
здесь перед нами	3	1
в настоящее время	3	3
силу и мощь	1	1
по этому поводу	3	2
во что бы	1	1
указывает на то	3	1
не может быть	2	2
не чем иным	1	2
он стоит и	1	1
вот что пишет	1	1
о том как	2	1
и т д	10	1
сказать что он	1	1
все такого рода	1	1
и в том	1	1
только тогда когда	1	3
в понятии символа	2	1
в сравнении с	1	3
