4gram	Losev_DialektikaMifa_partition_part3_wordlist_4gram	Losev_DialektikaMifa_partition_part2_wordlist_4gram
в том смысле что	3	1
с точки зрения мифического	1	2
дело вовсе не в	1	1
есть не что иное	2	3
в то время как	3	4
но это значит что	1	2
тем не менее в	1	1
и в то же	1	1
не содержит в себе	1	1
ибо никто никогда не	1	1
что это значит? это	1	2
и т д и	2	6
с точки зрения чисто	1	1
за живое существо а	1	1
или по крайней мере	2	1
можно только тогда когда	1	2
д и т д	2	5
точки зрения мифического сознания	1	2
не что иное как	3	6
отрешенность от абстрактно-изолированных вещей	1	1
уже сама по себе	1	1
с одной стороны и	1	1
итак миф не есть	1	2
миф от поэтического образа	1	1
то это значит что	1	3
и т д не	2	1
идея и что такое	1	1
миф не есть догмат	4	2
каком смысле не есть	1	1
не говоря уже о	2	2
ни на что не	1	1
так же как и	1	1
это не значит что	2	1
т д и т	2	5
в связи с этим	1	1
одно и то же	4	2
в то же время	3	1
только тогда когда есть	1	1
по крайней мере в	2	3
это значит? это значит	1	2
в каком смысле не	1	1
одна и та же	4	1
то время как миф	1	1
есть одно и то	1	1
никто никогда не воспринимает	1	1
формы проявления личности в	1	1
от всего прочего и	1	2
ни в каком смысле	1	3
но о том что	1	1
и т д я	1	2
антитеза субъекта и объекта	1	1
если их брать как	1	1
все на свете есть	1	1
что все на свете	1	1
это будет значить что	1	4
одно из двух или	1	2
угодно но только не	1	1
по одному тому что	1	2
с диалектической точки зрения	1	1
значит? это значит что	1	2
