4gram	Vygotskiy_Psychologia_partition_part2_wordlist_4gram	Vygotskiy_Psychologia_partition_part1_wordlist_4gram
заключается в том что	3	7
же как и в	1	1
одного и того же	1	1
указывает на то что	3	1
по самому смыслу этого	1	1
на художественное произведение как	1	1
в полном согласии с	1	1
с этой точки зрения	4	1
случае не может быть	2	1
в то время как	5	2
в произведении искусства и	1	1
исходной точкой для анализа	1	1
задача состоит в том	1	1
бессознательное по самому смыслу	1	1
и тем не менее	1	1
в том что она	2	3
может быть дано только	1	1
указывал на то что	1	1
ничего не потеряет в	1	1
ошибка заключается в том	1	1
все больше и больше	1	1
если мы примем во	1	1
никак не может быть	2	1
только в том случае	1	4
точно так же как	1	2
одни и те же	1	2
не что иное как	1	1
так же точно и	1	2
так же точно нельзя	1	1
от простого к более	1	1
самому смыслу этого слова	1	1
с на такой же	1	1
беда в том что	1	1
примере легче всего показать	1	1
мы примем во внимание	1	1
с так же точно	1	1
на такой же точке	1	1
одной и той же	3	4
что бессознательное по самому	1	1
и т п в	1	1
так же как и	1	1
так же как в	1	1
и в полном согласии	1	1
не может быть объяснено	1	1
все время в виду	1	1
одно и то же	1	1
примем во внимание что	1	1
и в самом деле	2	4
сами нуждаются в объяснении	1	1
с новой точки зрения	1	1
и в процессе восприятия	1	1
приходит к выводу что	1	1
нам приходится иметь дело	1	1
один и тот же	1	1
это когда говорит что	1	1
до тех пор пока	1	1
легче всего показать как	1	1
что в таком случае	1	1
в силу того что	2	1
такой же точке зрения	1	1
лучше всяких теоретических соображений	1	1
этой точки зрения искусство	1	1
этого слова есть нечто	1	1
смыслу этого слова есть	1	1
никогда не может быть	1	1
в том случае если	1	4
совершенно ясно что и	1	1
состоит в том чтобы	1	2
заключается в том чтобы	3	1
художественное произведение как на	1	1
простого к более сложному	1	1
тех пор пока мы	1	1
приходится иметь дело с	1	2
то же самое и	1	1
искусства в конце концов	1	1
