4gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_4gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_4gram
исходит из того что	1	1
в значительной степени смещается	1	1
вовне в знаковом материале	1	1
раздел iii добавления эстетика	1	1
а прежде всего наше	1	1
и адресата эстетического дискурса	1	1
искусство? впервые провозгласившем искусство	1	1
духовным ценностям общечеловеческой глубины	1	1
состоит в том что	4	1
того что произведение искусства	1	1
быть актуализированы в индивидуальном	1	1
события со специфической социальной	1	1
не в одном воображении	1	2
стать самим собою без	1	1
и эстетический адресат осмысливаются	1	1
сознанное и выраженное поэтом	1	1
я говорю мне прости	1	1
в историю литературы под	1	1
и мегатекст о художнике	1	1
это борьба с литературной	1	1
это становится ясным отныне	1	1
элиота традиция и индивидуальный	1	1
самым его кругозор смещая	1	1
его кругозор смещая его	1	1
должно одухотворить пресуществить нашу	1	2
к которой устремляются интенциональные	1	1
миром наедине в жизнь	1	1
прочитав разорви слово как	1	1
о художнике и жизни	1	3
льва толстого что такое	1	1
хлебникова прочитав разорви слово	1	1
художественная культура нашего столетия	1	1
литературы под знаком литературного	1	1
осмысливаются как участники художественного	1	1
в.т и не собирательное	1	1
в одном воображении а	1	2
по характеристике и.п смирнова	1	1
такое искусство? впервые провозгласившем	1	1
в.т а прежде всего	1	1
трактате льва толстого что	1	1
и кризис советской ментальности	1	1
что я говорю мне	1	1
иннокентия анненского о том	1	1
романтиками в.т и не	1	1
мегатекст о художнике и	1	1
могли бы быть актуализированы	1	1
уклада традиции к непосредственному	1	1
художника оказывается не созерцательным	1	1
конструктивных принципов ю.н тынянов	1	1
анненского о том что	1	1
поскольку апеллирует к сотворчеству	1	1
эстетический объект и эстетический	1	1
под знаком литературного изобретательства	1	1
бахтин а произведение в	1	1
эстетической деятельности в значительной	1	1
она поворачивается к наблюдателю	1	1
обычному анализу стихию всеобщего	1	1
форм оскудение мысли засоренный	1	1
наедине в жизнь понятую	1	1
русской литературы хх века	1	1
оскудение мысли засоренный и	1	1
совокупность факторов художественного впечатления	2	1
нетронутую и недоступную обычному	1	1
материале текста и посредством	1	1
жизнь понятую как альтернативу	1	1
деятельности как это становится	1	1
со всеми сообща и	1	1
чужом сознании авангардистское письмо	1	1
как совокупность факторов художественного	2	1
контакту с миром наедине	1	1
ощущение исчерпанности оснований и	1	1
кругозор смещая его интенции	1	1
смещается с объекта на	1	1
эстетический субъект эстетический объект	1	1
эстетического субъекта и эстетического	1	1
эстетический адресат осмысливаются как	1	1
но деятельно побудительным поскольку	1	1
текста в чужом сознании	1	1
сообща и заодно с	1	1
стихи юрия живаго и	1	1
текста и посредством этого	1	1
с этой точки зрения	3	1
начинается и не кончается	1	1
значительной степени смещается с	1	1
юрия живаго и мегатекст	1	1
актуализированы в индивидуальном сознании	1	1
общечеловеческой глубины которые могли	1	1
объекта и адресата эстетического	1	1
из заявки на несостоявшееся	1	1
в филологических изысканиях а.а.потебни	1	1
понятую как альтернативу культуре	1	1
одухотворить пресуществить нашу действительную	1	2
засоренный и неровный слог	1	1
литературного изобретательства и экспериментаторства	1	1
не личное автора как	1	1
этого текста в чужом	1	1
с миром наедине в	1	1
неклассическая художественная культура нашего	1	1
классической эстетики но деятельно	1	1
добавления эстетика адресованности в	1	1
традиции к непосредственному контакту	1	1
в чужом сознании авангардистское	1	1
эту нетронутую и недоступную	1	1
субъект эстетический объект и	1	1
мысли засоренный и неровный	1	1
булат окуджава и кризис	1	1
в знаковом материале текста	2	1
оказывается не созерцательным созерцательность	1	1
во втором лице как	1	1
самоутверждаясь в своей свободе	1	1
изысканиях а.а.потебни в теургической	1	1
крученых и хлебникова прочитав	1	1
культура нашего столетия исходит	1	1
задача это борьба с	1	1
его участников вплоть до	1	1
преобразуя тем самым его	1	1
художественного впечатления бахтин а	1	1
из того что произведение	1	1
впечатления бахтин а произведение	1	1
пространство оставшееся вне человеческого	1	1
бы быть актуализированы в	1	1
тем самым его кругозор	1	1
созерцательным созерцательность уединенного творца	1	1
интенциональные намерения творческих актов	1	1
анализу стихию всеобщего личного	1	1
средством духовного общения людей	1	1
в то же время	5	7
на несостоявшееся издание альманаха	1	1
культурная общность центробежна вследствие	1	1
объект и эстетический адресат	1	1
художественного события со специфической	1	1
стремится утвердить вовне в	1	1
романтической культуры уединенного сознания	1	1
и заодно с правопорядком	1	1
приоритет первочитателя собственного творения	1	1
искусство средством духовного общения	1	1
которые могли бы быть	1	1
как участники художественного события	1	1
к наблюдателю неотождествимыми гранями	1	1
автора как мыслилось романтиками	1	1
филологических изысканиях а.а.потебни в	1	1
живаго и мегатекст о	1	1
распад форм оскудение мысли	1	1
заявки на несостоявшееся издание	1	1
исчерпанности оснований и возможностей	1	1
пределы духовного уклада традиции	1	1
прежде всего наше я	1	1
тихо тихо его мне	1	1
сознании преобразуя тем самым	1	1
мне прости тихо тихо	1	1
основная задача это борьба	1	1
а.а.потебни в теургической эстетике	1	1
адресованности в советской культуре	1	1
субъекта и эстетического адресата	1	1
несостоявшееся издание альманаха ванна	1	1
традиция и индивидуальный талант	1	1
и экспериментаторства его основная	1	1
нашего столетия исходит из	1	1
позволить себе роскошь самоизвращения	1	1
говорю мне прости тихо	1	1
существенно живет на границах	1	1
в жизнь понятую как	1	1
а произведение в целом	1	1
оставшееся вне человеческого опыта	1	1
границей к которой устремляются	1	1
экспериментаторства его основная задача	1	1
издание альманаха ванна архимеда	1	1
мысль иннокентия анненского о	1	1
событие разобщения и безвластия	1	1
как это становится ясным	1	1
историю литературы под знаком	1	1
как мыслилось реалистами в.т	1	1
не начинается и не	1	1
символистского уединенного сознания к	1	1
мышление художника оказывается не	1	1
его основная задача это	1	1
в советской культуре х	1	1
произведение в целом как	1	1
есть не личное автора	1	1
и одно из них	1	1
что такое искусство? впервые	1	1
обнаруживаются в трактате льва	1	1
собирательное героя как мыслилось	1	1
конвергентного сознания с его	1	1
в теургической эстетике владимира	1	1
не говоря уже о	1	3
эстетики но деятельно побудительным	1	1
борьба с литературной рутиной	1	1
эстетического субъекта и его	1	1
два искусства и одно	1	1
искусства и одно из	1	1
может позволить себе роскошь	1	1
реалистами в.т а прежде	1	1
о том что лирическое	1	1
впервые провозгласившем искусство средством	1	1
пресуществить нашу действительную жизнь	1	2
адресат осмысливаются как участники	1	1
мыслилось романтиками в.т и	1	1
речь не идет о	1	1
ценностям общечеловеческой глубины которые	1	1
эстетика адресованности в советской	1	1
безвластия взаимонезависимости его участников	1	1
мыслилось реалистами в.т а	1	1
в трактате льва толстого	1	1
между я и ты	1	1
себе роскошь самоизвращения равную	1	1
со специфической социальной структурой	1	1
провозгласившем искусство средством духовного	1	1
не говоря уже об	1	1
прости тихо тихо его	1	1
то что я говорю	1	2
я только сознанное и	1	1
воспринимающем сознании преобразуя тем	1	1
поворачивается к наблюдателю неотождествимыми	1	1
и посредством этого текста	1	1
как другого среди других	1	1
и недоступную обычному анализу	1	1
побудительным поскольку апеллирует к	1	1
к непосредственному контакту с	1	1
участники художественного события со	1	1
толстого что такое искусство?	1	1
не собирательное героя как	1	1
деятельно побудительным поскольку апеллирует	1	1
окуджава и кризис советской	1	1
есть коммуникативное событие разобщения	1	1
общность центробежна вследствие неоднородности	1	1
коммуникативное событие разобщения и	1	1
знаковом материале текста и	1	1
разорви слово как таковое	1	1
за пределы духовного уклада	1	1
недоступную обычному анализу стихию	1	1
не созерцательным созерцательность уединенного	1	1
с объекта на адресат	1	1
посредством этого текста в	1	1
затронуть эту нетронутую и	1	1
факторов художественного впечатления бахтин	1	1
самим собою без другого	1	1
знаком литературного изобретательства и	1	1
которой устремляются интенциональные намерения	1	1
и не собирательное героя	1	1
духовного уклада традиции к	1	1
коммуникативного события особого рода	1	1
деятельности в значительной степени	1	1
взаимонезависимости его участников вплоть	1	1
советской культуре х годов	1	1
и безвластия взаимонезависимости его	1	1
в воспринимающем сознании преобразуя	1	1
изобретательства и экспериментаторства его	1	1
непосредственному контакту с миром	1	1
задача нового писателя по	1	1
организация коммуникативного события особого	1	1
героя как мыслилось реалистами	1	1
тихо его мне прочти	1	1
