2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part6_wordlist_2gram
сказке он	1	4
случаях герой	1	1
его в	5	9
все же	8	9
в царство	11	2
никем не	1	1
выходит из	1	1
так например	3	2
связь с	11	12
этих случаях	1	8
или другое	2	1
в одну	1	2
есть та	1	1
подобно тому	1	1
в точности	1	5
воззрение что	1	1
не от	1	1
некоторых случаях	2	4
и каждый	1	1
даже в	2	4
эти материалы	6	1
а от	1	1
из него	2	1
в иное	5	7
и к	1	1
мы имеем	14	7
к другому	1	1
герой возвращается	1	1
получает от	1	1
в свой	1	2
но здесь	4	1
в северной	2	2
независимо от	3	1
является и	3	3
мы читаем	1	2
чем речь	1	2
ни взгадать	1	1
этим можно	1	1
волшебного средства	1	1
что при	2	1
религиях но	1	1
с неба	1	1
из таких	1	2
то мы	1	2
не знающих	2	1
его и	1	2
так и	5	10
связан с	6	3
то здесь	1	2
точно таким	1	2
частный случай	1	4
уже давно	2	1
и т	10	27
они дают	1	1
когда мы	2	1
рыб и	1	1
у них	4	1
из пруда	1	1
он же	1	2
д в	1	1
и почему	1	1
то что	6	16
подземный мир	1	2
но как	4	1
тем самым	2	1
не как	1	1
в более	6	1
материалы по	1	2
сидя на	1	1
имеем и	3	2
могут служить	1	1
его как	1	2
на задний	1	2
наряду с	3	3
в особенности	1	2
через воду	1	2
случай показывает	1	2
с падением	1	1
должна быть	3	2
представлением о	2	2
все его	1	1
в русских	1	2
в одном	3	5
идет не	1	1
иное как	1	3
можно найти	1	2
или на	1	2
который уже	1	1
убежден в	1	1
чем к	1	1
через которую	1	1
та же	3	1
в ригведе	4	1
если бы	3	2
в самую	1	2
по линии	1	1
три раза	1	2
один вид	1	1
в мифе	4	2
находится на	2	1
ни в	2	2
хозяина в	1	2
души умерших	1	1
то время	3	1
но то	1	1
только после	1	1
что в	12	14
и сказочный	1	3
в сказке	23	47
он является	1	1
однако в	2	2
в фольклоре	2	2
и они	2	2
а как	1	2
в своей	3	4
интересен тем	1	1
у народов	6	1
или же	2	3
древнее и	1	1
но если	1	1
того кто	1	1
египте в	2	1
на острове	1	2
в основе	1	1
эти же	1	1
предметы которые	1	1
сверхъестественная сила	1	1
и едет	1	1
этих двух	1	1
водой эта	1	1
и деревья	1	1
этом случае	6	3
что она	3	3
на короне	1	1
как правило	1	1
что если	1	1
очень часто	5	1
небом и	1	2
о чем	2	3
зависимости от	2	1
с представлением	2	3
и что	5	5
вар в	2	1
эти три	3	1
еще одну	2	1
на голове	1	1
тридесятое государство	2	1
что представление	1	1
с героем	1	1
на этот	1	2
перед мертвецами	1	1
указать на	1	3
сибирских народов	1	2
он представляется	2	1
переносится на	1	1
они представляют	1	1
что на	1	2
жизни и	2	1
и эту	1	1
его связь	1	1
молодильные яблоки	1	1
ты не	1	1
после того	2	2
уже видели	3	1
или он	2	3
из которых	3	5
стоит на	2	2
в них	3	1
о смерти	9	1
при изучении	1	2
можно возразить	1	1
не есть	2	2
явление и	1	1
те же	1	3
и землей	1	1
которых надо	1	1
чтобы ответить	1	1
или иное	3	1
животное то	1	1
не может	6	6
могут быть	3	6
о связи	1	1
коня он	1	1
