4gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_4gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_4gram
в том отношении что	2	1
заключается в том что	2	2
в том смысле что	1	1
и т д разумеется	1	1
чем у пушкина но	2	1
и т п но	1	1
на то что в	2	1
ответ на эти вопросы	1	1
и то обстоятельство что	1	1
пир во время чумы	1	2
в то время как	1	4
ср с другой стороны	2	1
в малой мере не	1	1
одних и тех же	1	1
академического издания сочинений пушкина	1	1
как в наше время	1	1
я имею в виду	1	1
в начале xix века	1	3
объясняется и то обстоятельство	1	1
по тем или иным	1	1
о том что пушкин	3	1
в том что здесь	2	2
в этой области не	1	1
ни в малой мере	1	1
в словаре академии российской	3	1
в той или иной	1	1
на вопрос о том	1	1
говорит о том что	2	1
в россии никогда не	1	1
и т п в	3	1
не говоря уже о	1	1
указания на то что	1	1
в то же время	4	3
и в самом деле	2	1
в каждом отдельном случае	1	1
в г д д	1	2
слов доходят до меня	1	1
это объясняется тем что	1	1
в его работе над	1	1
в одних и тех	1	1
в том что этот	1	1
