2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram
мы станем	2	1
когда они	1	1
им не	1	1
и действие	1	2
раз наоборот	1	1
все же	7	4
речи и	1	1
времени и	3	1
это совершенно	2	2
самой природе	1	1
смотреть на	3	1
к фабуле	1	1
из основных	1	1
не ту	1	1
себе не	2	1
раз противоположный	1	1
и всякого	1	1
так например	3	1
том и	2	2
в одну	1	1
что ему	2	1
в собственном	1	1
общего с	1	1
в состоянии	3	2
и каждый	1	1
что им	1	1
и вместо	1	1
эмоционального действия	1	1
мы имеем	8	4
и к	4	3
каждый раз	1	1
к другому	2	1
конечном счете	1	3
и оно	1	1
переживания и	1	1
того и	1	2
материал для	2	4
всем его	1	1
выходит так	1	1
при внимательном	1	1
с мы	2	1
мы совершенно	1	1
прямо говорит	1	2
что при	3	9
имеет целью	1	1
таком понимании	1	2
на язык	1	1
восприятия есть	1	1
нашего исследования	1	1
его и	1	1
том виде	1	3
так и	3	3
только совершенно	1	2
что неизмеримо	1	1
частный случай	1	2
и т	7	10
при таком	3	4
психологическая теория	1	1
именно эту	1	1
нас от	1	1
действующие лица	4	1
когда мы	6	2
тому который	4	1
один и	1	1
фантазии и	2	1
у них	1	2
есть нечто	3	2
указывали на	1	1
означает что	1	1
и почему	2	1
самому существу	1	1
то что	37	21
но как	1	3
как бы	19	6
собой напрашивается	1	2
не как	3	3
в каком	3	3
и от	1	2
чтобы сделать	1	1
онегина и	3	2
с в	1	2
из того	3	2
никак не	6	4
тоже исходит	1	1
прямо противоположном	1	1
энергии который	1	1
эти самые	1	1
имеет в	1	1
подход к	1	2
исключительно в	1	1
приложим к	1	1
в одном	2	2
в свою	3	3
тот факт	4	1
иное как	2	1
тому же	1	1
несмотря на	5	4
той же	3	8
не любит	1	2
если бы	11	6
иначе говоря	1	4
та же	1	3
мы получим	2	2
нет никакого	1	1
связи с	2	1
же точно	6	10
и постоянно	1	1
ни в	3	2
человеческого тела	1	2
из двух	3	1
кто не	1	1
и которые	1	2
и той	2	4
то время	1	3
как не	1	2
что в	24	20
совершенно очевидно	5	1
мы указывали	1	1
этом совершенно	1	1
его характер	1	1
этой цели	1	1
принадлежат к	1	2
противоречия и	1	1
двух противоположных	6	1
допустить что	1	2
друг от	2	1
чувства как	2	1
а как	2	1
однако в	1	1
же прием	1	1
к сожалению	1	1
он является	2	1
но совершенно	1	3
как раз	13	5
за ним	1	1
оно конечно	1	2
того кто	1	1
которое было	1	1
друг с	3	1
переживания которые	1	1
к числу	1	1
в основе	7	11
достаточной ясностью	1	1
очень легко	3	1
напротив того	2	1
с его	2	2
с нашими	1	1
этих двух	7	2
как только	4	2
автоматизма и	1	1
для психологии	3	2
этом случае	2	1
вбирает в	1	1
бы если	2	1
что она	6	16
в той	3	1
этот закон	2	1
все более	1	2
тогда мы	1	1
что если	6	6
зависимости от	7	1
и что	23	22
в психологической	1	2
показал что	1	2
эти три	2	1
под этой	1	1
он никогда	1	1
на самый	1	2
и все	4	4
что самое	2	2
содержания и	4	2
бессознательного и	1	2
мы говорим	1	1
или менее	1	1
которое мы	3	1
на этот	3	2
сюжета и	1	1
указать на	1	1
слов то	1	1
бы мы	3	1
они все	1	1
то для	1	1
и заключается	4	3
и другую	1	1
или иные	1	1
что на	3	4
психология искусства	1	2
и о	3	1
абсолютную величину	1	1
и эту	1	1
жизни и	6	4
но когда	1	2
в ритме	2	1
игры и	1	1
себя и	2	1
после того	1	2
и фантазии	1	1
ответ в	1	1
для чего	2	1
имеем совершенно	1	1
из которых	4	2
простейшем виде	1	1
король и	2	1
что эта	4	1
в них	4	2
не имея	1	1
что форма	1	4
только не	5	1
сейчас же	8	5
не хотели	1	1
для понимания	1	1
на деле	8	8
форма является	2	1
не есть	4	1
в основу	4	1
и так	2	3
роман с	1	1
драме мы	1	1
действия и	4	2
как звуки	1	1
не то	1	1
звук и	1	1
или иное	1	1
понятно что	2	2
очень мало	1	1
не может	9	17
могут быть	8	4
которого мы	2	3
это имеет	1	1
и за	1	1
иметь дело	1	4
там где	4	2
связано с	1	1
сказать что	9	7
следующим образом	2	1
мы видели	1	1
ко всем	1	1
то есть	13	21
того или	1	3
произведения искусства	2	4
вместе с	12	2
обратным образом	1	1
он должен	8	1
по тому	1	1
и значит	1	1
слезы и	1	1
в том	27	37
мы знаем	2	7
формы при	1	1
точно и	1	2
наподобие того	1	1
указывал что	1	1
психологии и	1	2
в противоположность	2	1
этого материала	1	2
время с	1	1
в его	4	2
в новой	1	2
верно что	3	1
чтобы наметить	1	1
в нас	13	3
на две	1	1
на всем	1	1
мы имели	1	1
она может	1	1
и другим	1	1
не существует	3	2
и может	1	1
что тот	2	3
надо сказать	1	2
приводит к	2	1
совершенно невозможно	1	1
от того	4	4
