2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_2gram
все же	7	9
его в	4	6
времени и	1	1
слов о	1	1
от всех	1	1
в первых	2	1
себе не	1	1
идеологических воззрений	1	1
том и	1	1
и завершающей	1	1
отдельными элементами	1	1
вся эта	1	1
подобно тому	2	3
о мире	8	6
иной смысл	1	1
менее всего	1	6
слова и	10	1
воли но	1	1
мысли о	2	1
даже в	5	4
ни один	1	3
из него	1	1
и к	12	2
как впрочем	1	1
определение человека	1	1
к другому	20	2
сохранить за	1	1
идея у	1	1
все голоса	1	1
великого инквизитора	2	2
независимо от	1	1
того и	1	1
устойчивое и	1	1
даже там	1	2
голоса в	2	2
и выражаются	1	1
его и	3	2
его нет	1	1
так и	6	7
достоевского это	2	1
сознание и	1	5
дело идет	5	5
девушкина и	1	1
и т	8	4
в другой	2	3
на другого	2	1
достоевского что	2	1
чужие слова	1	1
форма ее	1	1
и у	5	3
за пределы	2	7
идея в	1	1
тон и	2	1
чем бы	1	1
есть нечто	1	1
условии что	1	1
последнее слово	4	8
то что	11	15
объективное определение	1	1
но как	4	3
каждом романе	1	1
не как	3	14
этой мысли	1	1
и от	5	2
в единый	1	1
он строит	1	2
концу даже	1	1
как слово	2	3
никак не	1	2
не появляется	1	1
последним словом	2	2
самого героя	3	8
в особенности	1	1
чужих слов	1	1
является поэтому	1	1
бы то	4	2
у расина	1	1
все его	2	3
об одном	1	1
в одном	5	10
в свою	1	1
достоевского должен	1	1
и изобразить	1	1
на который	2	1
можно найти	1	1
своего образа	1	1
в высшей	3	1
несмотря на	1	6
той же	2	5
самосознание героя	1	5
если бы	4	9
в обычном	2	2
та же	2	1
к которому	2	1
выйти за	1	2
связи с	1	2
ни в	4	3
к одному	3	1
героя к	2	1
принуждены были	1	1
что в	7	8
как не	1	8
слова о	4	1
ивана карамазова	3	4
однако в	2	2
материала но	1	1
в начале	4	1
а как	2	7
за ним	2	3
в своей	3	8
собственного голоса	1	1
как раз	4	6
него нет	2	2
друг с	2	2
все в	1	3
и самая	1	1
в основе	1	4
с его	6	9
в противоречии	1	1
диалоге а	1	1
диалога не	1	1
в районе	1	1
этом случае	2	1
что дело	1	1
и больше	1	1
бы и	4	4
в той	2	2
голоса но	1	1
себе в	1	1
зависимости от	1	5
сказать так	1	1
и что	5	2
нему все	1	1
и все	19	1
и сердце	1	1
эти ваши	1	1
сливается с	3	6
на этот	1	2
как другой	4	3
нам кажется	1	2
замкнуто в	1	1
и о	1	5
жизни и	3	2
себя и	8	2
найти в	1	1
я ты	1	1
из которых	1	2
как можно	3	2
его слово	4	1
в них	2	3
кажется что	2	2
него в	1	2
только не	1	1
не кто	1	1
и весь	1	1
эта особенность	2	4
в замысле	1	1
мне как	1	1
может стать	1	1
слова его	2	1
обычном смысле	2	1
да так	1	1
те же	2	2
и так	5	1
не то	2	1
сам в	2	1
твердым и	1	2
с миром	3	1
говорит сам	1	2
что все	4	1
одном голосе	1	1
и ставит	1	1
не может	19	12
понятно что	2	1
если не	3	1
в чужих	3	1
подполья не	3	1
там где	7	10
сказать что	2	3
его о	1	2
функции в	3	1
мы видели	3	1
лишь с	1	1
дано в	1	3
они согласны	1	1
того или	2	1
он должен	2	1
слова но	1	2
сознания и	3	5
