2gram	Ircho_Komedia_partition_part2_wordlist_2gram	Ircho_Komedia_partition_part3_wordlist_2gram
древнейшему фольклорному	1	1
благополучному концу	2	1
все же	4	4
его в	8	4
времени и	1	1
вскоре же	1	1
было сделать	1	1
№ не	2	1
но об	1	1
отца или	1	1
человека который	2	1
выражение в	1	1
чуть не	1	1
общего с	1	1
в состоянии	1	1
реальной жизни	1	1
был уверен	1	1
современных ей	1	1
цитаты из	3	2
и стрелы	1	1
на основании	2	5
за пределами	2	1
зятя на	1	1
мы имеем	1	2
и к	3	2
конечном счете	2	1
разной степени	1	1
не меньше	1	1
своего отца	1	2
независимо от	1	5
полное право	1	1
в развитии	2	2
богатого молодого	1	1
материал для	1	1
речи о	4	1
имевшие место	1	2
афинской сцене	1	4
надоевшего ему	1	1
драматическом искусстве	1	1
от нее	3	1
при существующем	1	1
комедии iv	1	5
конце iv	1	1
да знаешь	1	1
воина на	1	1
сообщает о	1	1
так и	4	12
сведения о	1	1
степени сохранности	1	1
iv начала	1	2
менандра то	3	1
и т	4	2
не является	4	2
третейского суда	1	1
хитрого раба	1	1
как дочь	1	1
городов и	1	1
внес в	1	1
из остриженной	1	1
события имевшие	1	1
богатого и	1	1
и у	1	2
с какими-нибудь	1	1
до нас	4	4
г и	2	5
и почему	1	2
то что	4	6
стороны он	1	1
в v	1	5
дошедший до	1	1
показательно что	1	3
что последний	1	1
ноги пращи	1	1
голову мы	1	1
и от	1	4
чтобы сделать	1	1
плавтовского пиргополиника	3	2
из того	3	1
никак не	1	1
что комедия	1	1
комедия менандра	4	1
в г	2	17
ничего необычного	1	1
сохранилось от	1	1
представителя новой	1	1
в брюзге	2	11
сцене но	1	1
приводит все	1	1
стихов из	4	1
наряду с	2	6
чтобы дать	1	1
исследователи менандра	1	1
не будучи	1	1
бы то	2	2
с радостью	2	1
все его	1	1
в одном	2	2
аттической комедии	6	15
в свою	7	1
аспект в	1	1
из первых	1	1
действие комедии	1	1
дротики вместо	1	1
тому же	6	11
нам по	1	1
или на	1	2
не похож	1	1
раб приносит	1	1
несмотря на	4	1
той же	1	3
и начало	1	1
если бы	8	9
