2gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_2gram
все же	2	4
его в	2	3
xx века	1	2
советской эпохи	1	1
никем не	2	1
эстетического отношения	2	1
никого не	1	1
но такой	1	1
что ему	2	3
подобно тому	2	2
свое место	3	1
русской и	1	1
в значительной	1	1
согласия бахтин	1	1
общего с	1	2
между я	1	3
толстого что	1	1
мира []	1	3
как совокупность	1	3
целенаправленно провоцирует	1	1
даже в	4	2
в советской	2	1
этом как	1	3
мысль иннокентия	1	1
ни авангардизм	1	1
а от	1	1
экспериментаторства его	1	1
конечном счете	1	4
право на	2	1
общественном сознании	1	1
в филологических	1	1
бахтина автор	1	1
художественное творчество	2	1
начинается и	1	1
жизни здесь	2	1
впрочем в	1	1
как о	2	1
эстетического субъекта	7	9
художественном тексте	1	1
один в	2	1
а жизнь	1	1
или цветаевой	1	1
мыслит себя	1	1
романтической и	1	3
в историческом	1	1
булат окуджава	1	1
в концовке	1	1
для творческого	1	2
от автора	1	2
так и	9	4
йенских романтиков	1	1
и экспериментаторства	1	1
как дискурс	2	2
на другого	1	2
контакту с	1	1
еще и	2	3
для кого	1	1
личности с	3	1
и у	1	1
за пределы	1	2
у них	1	1
нашего столетия	2	3
с читателем	1	2
очень точно	1	1
тем самым	7	5
как сам	1	1
то что	12	10
творческого акта	1	1
эффективность воздействия	1	1
из заявки	1	1
зарождающаяся в	1	1
не как	2	4
и от	1	1
его основная	1	1
его участников	1	1
бытия в	2	1
из того	2	2
и жизни	3	1
лона символизма	1	1
в г	3	1
наблюдателю неотождествимыми	1	1
культурная общность	1	1
по которым	1	1
не будучи	1	1
хх веке	3	5
не удивительно	2	1
задачи кроется	1	1
бы то	2	1
читатель зритель	1	1
но без	2	2
в одном	4	1
в свою	2	1
из первых	1	1
оказывается можно	1	1
альманаха ванна	1	1
своей свободе	1	1
но одновременно	2	2
тому же	5	2
добавления эстетика	1	1
несмотря на	2	3
той же	3	3
мышления и	1	2
стихотворения в	1	1
я когда	1	1
неотрадициональной ориентации	1	1
перекликается с	1	1
кризис советской	1	1
это уже	1	2
от себя	2	2
связи с	2	6
если бы	2	1
из двух	1	1
с литературной	1	1
что в	2	3
задача это	1	1
согласно которой	1	1
жизнь понятую	1	1
на адресата	1	1
собственно говоря	1	1
однако в	4	2
мне прочти	1	1
в начале	4	1
миром наедине	1	2
за ним	2	1
культуре х	1	1
пассивного материала	1	1
в своей	7	4
как раз	2	4
роскошь самоизвращения	1	1
ее адресата	1	1
уже и	1	1
распад форм	1	1
и постромантической	1	3
мне но	1	2
на первый	1	1
означает не	1	1
в основе	5	3
и воспринимающих	1	1
писал в	1	2
эстетический объект	3	3
с его	6	5
состоит как	1	1
и адресата	2	4
постановка проблемы	1	1
все более	2	2
на наш	1	5
в той	1	1
как правило	1	2
согласно р	1	1
по мысли	6	2
фрагменты йенских	1	1
от центра	1	1
у маяковского	2	1
разорви слово	1	1
природы искусства	1	4
в таинственной	1	1
парадигму художественности	1	1
к объективной	1	1
и все	1	1
сферу адресата	2	1
устремляются интенциональные	1	1
духовную сферу	2	1
мыслилось романтиками	1	1
на несостоявшееся	1	1
будь то	1	2
границей к	1	1
говорил он	1	1
стремится утвердить	1	1
бы они	1	1
его действительности	1	1
в жизнь	4	1
и о	1	1
советской культуре	1	1
жизни и	3	3
таково искусство	1	1
себя и	2	1
и кризис	1	1
века к	1	1
бытия которая	1	1
в противоположность	2	1
самоутверждаясь в	1	1
п смирновым	1	1
замечает б	1	1
постсимволизм это	1	1
искусство средством	1	1
в них	1	1
кажется что	1	1
не бывает	1	1
из существеннейших	1	1
другого адресата-собеседника	1	1
мысли засоренный	1	1
по сути	1	1
самым его	1	1
основная задача	1	1
наедине в	1	1
существенно живет	1	1
не есть	1	2
с миром	1	4
раздел iii	1	1
сознания с	2	1
не может	8	5
издание альманаха	1	1
автора как	1	1
и за	1	1
к наблюдателю	1	1
если не	2	1
в целостности	1	1
а прежде	1	1
сказать что	1	1
участников вплоть	1	1
в индивидуальном	1	2
то есть	5	6
отнюдь не	3	2
поэт и	1	1
в значении	1	1
произведения искусства	1	3
вместе с	5	1
жизни к	2	1
отталкиваясь от	1	4
в третьем	3	1
сознания и	2	1
обычному анализу	1	1
такого рода	10	10
общечеловеческой глубины	1	1
художественного сознания	1	3
большей части	2	1
побудительным поскольку	1	1
филологических изысканиях	1	1
сознания для	1	2
в том	12	16
представлений о	1	1
и который	1	1
в кругозоре	2	2
смещается с	1	1
творческих актов	1	1
затронуть эту	1	1
ср у	2	1
себе самой	1	1
в его	6	7
оно в	1	1
недоступную обычному	1	1
и т.п	6	4
участия в	1	1
мой взгляд	1	1
диалога но	1	1
в акте	1	1
дискурс власти	3	1
сообща и	1	1
барахла культуры	1	1
анненского о	1	1
прости тихо	1	1
за автором	1	1
с действительностью	1	2
третьем лице	2	1
общения людей	1	2
и индивидуальный	1	1
о том	6	2
между тем	3	2
и эстетический	1	1
совершается в	1	1
нас самих	2	2
чем он	1	1
отношение к	2	1
осмысливаются как	1	1
ванна архимеда	1	1
с творческой	1	1
на вопрос	1	1
в виду	1	3
с действительной	1	1
на то	2	1
а.а.потебни в	1	1
эстетического дискурса	1	1
с позиции	1	2
во всей	2	1
сознании авангардистское	1	1
другом месте	1	1
еще в	3	4
культурной политики	2	1
уже о	3	1
есть от	1	1
писателя по	1	1
[] в	3	4
индивидуального существования	1	1
имеется в	1	2
именно его	1	1
[] или	1	1
среди других	1	1
которая не	1	2
говоря словами	3	3
быть не	2	1
от своего	1	2
как мы	2	1
однако не	3	1
это борьба	2	1
как я	1	1
особого рода	5	2
романтиками в.т	1	1
и безвластия	1	1
несостоявшееся издание	1	1
внутреннюю свободу	1	1
уже об	1	1
может быть	12	13
не должен	1	3
художественного дискурса	1	1
игровой характер	1	1
и его	6	4
то в	3	1
его мне	1	1
он один	1	2
нужно было	1	1
я как	4	1
х годов	15	2
громко но	1	1
вследствие этого	2	1
с каким	1	1
внутренней маргинальности	1	2
в отношении	1	1
характеристике и.п	1	1
хлебникова прочитав	1	1
и состоит	1	1
вовсе не	1	1
она не	1	1
вспять к	1	1
с ты	1	2
диаметрально противоположный	1	1
между двумя	1	1
себя самого	1	1
есть не	1	1
постсимволистская культурная	1	1
была бы	1	1
искусства в	1	1
литературного изобретательства	1	1
это как	3	2
эстетики адресованности	1	1
ли не	1	3
не на	1	2
с тем	1	1
на смену	3	6
причастность к	2	2
я не	2	7
сам не	1	1
который в	1	1
ни было	2	1
уединенного я-сознания	2	1
за собой	1	1
десятилетий хх	3	1
сознания не	1	1
из этого	1	1
как альтернативу	1	1
мыслилось реалистами	1	1
символистского уединенного	1	1
культура нашего	1	1
так как	1	1
более не	1	2
дискурс ответственности	2	1
как представляется	1	2
как мыслилось	2	2
уклада традиции	1	1
и хлебникова	1	1
вслед за	3	1
к которой	1	1
целом как	1	1
жизненный путь	2	1
классической художественности	1	5
самой жизни	1	1
и ему	1	1
говоря уже	4	2
отличие от	5	5
в теургической	1	1
мыслиться как	1	3
кто подобно	1	1
во главе	1	1
и других	1	1
этом в	1	3
художественности но	1	1
с объекта	1	1
свою собственную	1	1
мира в	3	3
это становится	1	1
со стороны	7	4
не собирательное	1	1
текста и	2	1
обращаясь к	1	2
воспринимающем сознании	1	1
одно из	4	3
тем как	1	1
в глазах	3	1
этой причине	1	2
всеми сообща	1	1
культуры в	1	4
его существования	2	1
во имя	1	2
в общественном	1	1
что вы	1	1
в частности	11	15
нет ничего	1	2
эпохи в	1	1
говорю мне	1	1
не было	1	3
и даже	2	3
модусов сознания	1	2
альтернативность неклассических	1	1
xix веке	1	1
и тем	3	4
самоутверждения не	1	1
заодно с	1	1
под знаком	2	1
то это	2	2
в своих	2	4
только в	7	8
в этой	8	4
другой стороны	2	1
так сказать	1	1
наше я	1	1
отношению к	4	2
льва толстого	1	1
деятельности в	1	4
вовне в	1	1
идет о	1	1
юрия живаго	10	1
два искусства	1	1
то и	1	2
крученых и	1	2
свидетельствует о	1	1
приоритет первочитателя	1	1
принципов ю.н	1	1
уединенной личности	1	1
к этому	2	1
логика конвергентного	1	1
самим собою	1	2
теперь уже	1	1
ясным отныне	1	1
и сама	1	1
как в	5	5
и я	1	6
не случайно	3	2
степени смещается	1	1
и не	22	12
критерием художественности	1	3
слово как	1	1
авангардистского самоутверждения	1	1
ощущение исчерпанности	1	1
авангардистское письмо	1	2
со всеми	2	1
может позволить	1	1
наш взгляд	1	5
сознании преобразуя	1	1
жизни в	4	1
