4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part6_wordlist_4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part8_wordlist_4gram
заключается в том что	1	1
в эпоху рабле в	1	1
в большинстве случаев в	1	1
начала и до конца	3	1
как мы уже говорили	1	3
и до наших дней	1	1
уже говорили в другом	1	1
проводятся совершенно иначе чем	1	1
как мы уже сказали	1	3
пантагрюэль схватил его за	1	1
с начала и до	3	1
тела и телесной жизни	1	2
до сих пор еще	4	3
публицистики на народно-площадной основе	1	1
явлениями проводятся совершенно иначе	1	1
и явлениями проводятся совершенно	1	1
разъятое на части тело	1	2
и до настоящего времени	2	1
эпизоде с лимузинским студентом	1	1
в той или иной	1	1
на самом же деле	1	1
с одной стороны и	1	2
мы полагаем что для	1	1
говорит о том что	1	1
и в романе рабле	2	1
рабле выступает прямо как	1	1
говорили в другом месте	1	1
можно сказать что в	1	1
большей или меньшей степени	3	2
можно прямо сказать что	1	2
в то же время	10	5
границы между вещами и	2	1
дело в том что	2	1
и до сих пор	2	1
и т.п то есть	1	1
в другом месте романа	1	1
в эпизоде с лимузинским	1	1
мы уже говорили что	5	2
в большей или меньшей	3	2
схватил его за горло	1	1
в третьей книге гл	1	1
и с гротескным реализмом	1	1
в настоящее время в	1	1
но в то же	2	1
между вещами и явлениями	3	1
мы уже говорили в	1	1
