3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram
развития понятия в	1	1
школьного обучения в	1	1
ином отношении к	1	1
в современной психологии	1	1
для того чтобы	8	5
развитие научных понятий	6	5
в частности научных	1	2
на то что	4	4
проделываемого научными понятиями	1	1
этой точки зрения	1	4
мы видим в	2	2
что иное как	1	1
на первый план	1	4
и отношений последовательности	1	1
на самом деле	1	1
могли бы сказать	2	2
становится непонятным каким	1	1
вопрос о том	1	1
не только не	2	5
как и в	1	1
и в силу	1	1
наличии соответствующих программных	1	1
чем в житейских	1	1
усваивает слово цветок	1	1
с помощью которого	1	2
если принять во	2	1
которые могут быть	1	1
не иначе как	4	1
первый из них	1	2
что и в	1	1
развитие спонтанных понятий	1	1
мы видели что	3	2
мы могли бы	9	9
в зависимости от	5	1
одного и того	4	5
в том смысле	2	2
нуждается в пояснении	1	1
этим понятием в	1	2
их синтеза и	1	1
том что мы	2	1
в том что	19	31
которые существуют между	2	1
развития ребенка в	2	1
том что развитие	1	1
и от частного	2	1
естественно возникает вопрос	1	1
и научного понятий	1	1
области научных понятий	3	1
ступень в развитии	4	3
показывает что в	1	1
возрастном этапе показал	1	1
слово цветок чем	1	1
так же как	6	5
по своему значению	1	3
отношение слова к	2	1
на этой стадии	2	1
том что те	1	1
более сложных и	1	1
раньше чем он	1	1
в отличие от	1	2
не совпадают друг	1	1
в процессе развития	1	1
ребенок приходит к	1	2
на каждой возрастной	1	1
созревающих чем категория	1	1
научного понятия и	1	1
частного к общему	2	2
мы видим таким	1	4
в спонтанных понятиях	2	1
приводят нас к	1	1
но так как	1	2
том числе и	1	2
житейских и научных	6	2
со спонтанными понятиями	1	1
в собственном смысле	1	7
каждой возрастной ступени	1	1
с самого начала	7	1
в самом деле	1	6
обучения в развитии	1	1
стоят в ином	2	1
в настоящей главе	1	1
сравнению с тем	1	1
в научном мышлении	1	1
таким образом является	1	1
с точки зрения	10	11
может быть в	1	1
системе научных знаний	1	2
в этом смысле	2	8
причинно-следственных отношений и	1	1
самых основных закономерностей	1	1
частности научных понятий	1	1
после того как	1	1
значение слова или	1	1
потому что и	1	1
сохраняет свою силу	2	1
лежащие в основе	1	1
что развитие научных	1	3
высших психологических функций	1	1
и житейских понятий	5	1
что и хотя	1	1
и в отношении	1	2
понятия вообще не	1	1
в детской мысли	1	1
что обучение должно	3	1
пути развития проделываемого	1	1
руки ключ к	1	2
о том как	1	1
в каком отношении	1	1
другой раз в	1	1
остановиться на этом	1	1
опыты показали что	1	1
опережает развитие спонтанных	1	1
что в момент	1	1
только в отношении	1	1
заключается в том	5	14
в развитии мышления	1	1
возникает вопрос в	1	1
как показывает исследование	6	1
нового по сравнению	2	1
на одном возрастном	1	1
это означает что	2	1
в процессе обучения	7	4
не только в	1	1
особенности детского мышления	1	1
и того же	4	5
что в силу	1	1
на каждом шагу	1	6
рабочей гипотезы относительно	1	1
моментов в образовательном	1	1
в детском возрасте	1	2
и научные понятия	3	1
в мышлении ребенка	2	6
именно то что	1	2
спонтанных понятий ребенка	4	1
тот факт что	1	1
с первого взгляда	1	3
ребенка в частности	1	1
на одном и	1	1
в образовательном процессе	1	2
мышления и к	1	1
общего к частному	2	2
когда мы говорим	2	1
же как и	1	4
развития научных понятий	5	8
он пользуется этим	1	1
мышления на его	1	2
в экспериментальном исследовании	1	1
этапе показал что	1	1
в ходе обучения	2	1
понятий у школьника	1	1
на высшую ступень	2	2
понятия стоят в	1	1
в развитии понятий	5	2
понятия усвоенные ребенком	1	1
в свою очередь	1	2
спонтанных и неспонтанных	1	1
не могли не	1	1
обрывающихся на словах	1	1
по отношению к	10	1
с другой стороны	2	8
же ребенка обнаруживают	1	1
ни на один	1	1
это мы видим	2	1
того что ребенок	1	1
нашей рабочей гипотезы	1	3
это приводит нас	1	1
это не может	2	1
в приведенном выше	1	1
и том же	2	1
на словах потому	1	1
или значений слов	1	1
образовательном процессе развитие	1	1
у ребенка по	1	1
и во всех	1	1
научных и житейских	5	2
в ином отношении	1	1
вместо того чтобы	2	1
научных понятий мы	1	1
бы сказать что	2	3
заключается только в	2	1
точно так же	1	3
друг к другу	3	1
ничего принципиально нового	1	1
частному и от	2	1
мы знаем что	3	1
развития понятий в	1	1
том смысле что	2	1
и той же	3	4
образования понятий и	1	1
является как раз	1	1
у одного и	2	2
обучением и развитием	5	2
с тем что	2	3
тех связей которые	1	1
том что в	1	1
и становится непонятным	1	1
от общего к	2	1
не остановиться на	1	1
и отношения между	1	1
на данной ступени	3	1
показал что при	1	1
как бы в	1	1
своеобразного пути развития	1	1
научных понятий для	2	1
обучения и развития	5	4
началу школьного возраста	1	1
по внешнему виду	1	2
словах потому что	1	1
совпадают друг с	1	1
мы вправе рассматривать	1	1
спонтанные понятия ребенка	3	2
не может остаться	1	1
подобно тому как	1	2
развития понятий как	1	1
всей истории умственного	1	1
житейские понятия как	1	1
того что их	2	1
что научные понятия	4	6
неизмеримо более сложные	1	1
что те и	1	2
на известный уровень	1	1
понятие в собственном	1	2
возникает в мышлении	1	1
ребенка можно было	1	1
раньше усваивает слово	1	1
становится возможным только	1	2
мы видели уже	1	1
и тогда когда	1	2
одном возрастном этапе	1	1
в силе и	1	1
понятия не возникают	1	1
в известном отношении	1	1
внимание на то	1	1
что такое брат	1	2
всего нашего исследования	1	1
объяснения этого факта	1	1
не содержит в	1	1
то что в	1	1
к частному и	2	2
понятий не только	1	1
понятий так и	1	1
научных понятий не	2	1
не станем повторять	1	1
научные понятия развиваются	1	1
мы говорили что	1	1
друг с другом	5	7
и то что	2	4
от частного к	2	1
и других понятий	4	2
в том числе	1	2
умственного развития ребенка	2	6
мышления в частности	1	1
научными понятиями по	1	1
друг от друга	1	1
потому что в	1	1
те и другие	1	9
в основе этого	2	2
относится к тому	1	1
пути развития житейских	1	1
процессе развитие научных	1	1
той что давала	1	1
понятий но и	1	1
развития спонтанных понятий	1	1
мы имели возможность	1	2
соответствующих программных моментов	1	1
к тому что	7	1
развития житейских понятий	2	3
при наличии соответствующих	1	1
одной и той	3	4
по сравнению со	1	1
как житейские понятия	1	1
по сравнению с	14	3
не что иное	1	1
мы не станем	2	1
вместе с развитием	1	1
тот момент когда	1	1
в наших экспериментах	1	1
оно может быть	1	2
с помощью других	1	1
но вместе с	1	2
что вместе с	1	1
и ту же	1	1
и как бы	1	1
в связи с	2	3
житейские и научные	2	1
ту же самую	2	1
развитии научных понятий	3	2
связей и отношений	1	2
просто потому что	1	1
и у ребенка	1	1
самом деле как	1	1
на всем протяжении	1	2
во внимание что	1	1
в значении слова	1	1
чем категория причинных	1	1
спонтанных и научных	3	2
нам думается что	5	1
и научных понятий	7	4
научные понятия ребенка	2	2
оба эти процесса	1	1
кто не знает	1	1
с одной стороны	1	9
в уме ребенка	1	4
в этом отношении	3	7
особенности детской мысли	2	3
как мы видели	4	2
не видит того	1	1
что с помощью	1	1
то в чем	5	1
и т.д и	1	1
в житейских понятиях	1	1
первую очередь в	1	2
на этот раз	1	1
непонятным каким образом	1	1
категория противительных отношений	1	1
понятий научные понятия	1	1
едва ли не	1	1
как мы показали	1	1
научных понятий и	2	2
и должен быть	1	1
что при наличии	1	1
более элементарных и	1	1
содержит в себе	1	2
один и тот	1	7
с другом в	1	1
поздно созревающих чем	1	1
то что развитие	1	2
научных понятий опережает	1	1
только в том	1	2
в области научных	3	1
не в состоянии	2	1
научных понятий становится	1	1
то время как	5	1
процесса образования понятий	1	5
давала категория причинных	1	1
в настоящее время	1	2
экспериментального анализа и	1	1
с этой точки	1	4
не может быть	2	1
истории умственного развития	2	2
тогда когда мы	1	1
в развитии понятия	1	1
состоит в том	2	3
более поздно созревающих	1	1
в этой области	2	2
гипотезы относительно своеобразного	1	1
в меньшей мере	2	1
научные понятия не	1	2
особенностей детской мысли	1	2
только то что	2	1
понятий таким образом	1	3
не могут быть	2	2
можно было бы	5	5
мы встречаемся с	1	1
не может не	1	2
исключающих друг друга	1	1
ступени в развитии	2	5
к одному и	1	4
вместе с тем	2	3
мы имеем дело	2	1
