2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part1_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_2gram
все же	5	10
его в	3	6
в царство	4	7
вместе в	1	1
к тем	1	1
теперь к	2	1
связь с	6	4
так например	1	6
только постепенно	1	1
этих случаях	7	2
из возможных	1	1
сейчас увидим	1	1
подобно тому	1	1
дело происходит	1	1
иногда с	2	3
из приведенных	3	1
даже в	2	4
эти материалы	2	2
ни один	2	6
наконец если	3	1
мы имеем	19	13
в иное	1	4
и к	3	1
право на	1	2
это или	1	1
время обряда	1	1
оговорить термин	1	1
получает от	1	1
но здесь	1	1
в могилу	2	2
в наших	2	1
независимо от	2	1
видим не	1	1
мы читаем	1	1
не представляют	2	1
смерти в	3	1
кроме того	1	1
всем его	1	1
волшебного средства	2	2
материалы позволяют	1	1
и всей	1	1
нет но	1	1
мы здесь	4	3
от нее	1	1
то мы	2	4
его и	4	2
связан с	2	1
так и	2	9
вдруг видит	1	1
в другой	4	1
сказок типа	1	1
коня на	1	1
и т	16	25
уже давно	2	1
избушке и	1	1
при таком	1	1
итак мы	1	1
не видать	1	1
ранних стадиях	1	1
и у	3	1
этот лес	1	3
означает что	1	4
то что	7	9
но как	1	1
на землю	2	1
не как	1	3
в каком	1	1
рассматривается как	1	1
этой мысли	1	2
с дарителем	1	1
связи в	3	1
и от	3	2
имеем и	3	1
и пошел	2	1
никак не	1	1
на смерть	3	2
в етот	1	1
историю самсона	1	1
в особенности	2	2
самый факт	1	1
бы думать	1	1
должна быть	1	5
не мотивируется	1	1
в русских	3	1
в одном	2	5
дома чтобы	1	1
имеется и	1	1
иное как	3	1
некоторых местах	1	1
тому же	2	1
попадают в	2	1
ей в	1	1
мы наталкиваемся	1	2
они в	2	1
если бы	6	8
ты знаешь	1	1
связи с	6	4
же деле	1	1
между собой	1	4
то время	2	3
что в	15	12
герой попадает	3	3
нас в	1	2
в сказке	50	44
сад и	1	1
волшебного помощника	1	1
это слишком	1	1
однако в	1	2
в фольклоре	1	1
в начале	1	3
и они	4	1
а как	1	1
за ним	3	1
часто являются	1	1
к сожалению	1	3
в своей	1	1
у австралийцев	1	1
хотя он	1	2
но если	1	2
вход в	1	6
друг с	1	4
наоборот так	1	1
непременная черта	1	1
предпосылки что	1	2
девушка здесь	1	1
они считались	1	1
этом случае	5	1
можно усмотреть	1	1
что она	5	5
она дает	1	2
как правило	2	4
ко мне	2	2
очень часто	3	3
и что	2	10
что родители	1	1
и воскресение	1	1
еще одну	2	2
лесу это	1	1
в стране	2	1
