4gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_4gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_4gram
заключается в том что	4	4
ступень в развитии мышления	1	1
развитии речи от внешней	1	1
как это ни странно	1	1
не то же ли	1	1
речи от внешней к	1	1
в том числе и	1	3
от внешней к внутренней	1	2
в зависимости от этого	1	2
точки зрения биологической эволюции	2	1
точки зрения филогенетического и	1	1
воображаемую действительность или действительность	1	1
мышления и речи в	2	1
и внедряются в его	1	1
не влияет на общее	1	1
не удивительно поэтому что	1	4
наступает лишь после действительного	1	1
и независимо друг от	1	1
себе воображаемую действительность или	1	1
воздерживается от слишком систематического	1	1
с действительностью нисколько не	1	1
по существу дела не	1	1
частичный контакт с действительностью	1	1
т.е деформируются живым существом	1	1
что с точки зрения	1	1
а с другой стороны	2	1
к эгоцентризму большую часть	1	1
изложения и тем более	1	1
за пределы психологии ребенка	1	1
о развитии мышления и	1	1
пиаже полагает что если	1	1
не к установлению истины	1	1
эгоцентрическая речь ребенка не	1	1
именно в этом пункте	1	1
систематического изложения и тем	1	1
из того что нам	1	1
что эгоцентрическая речь ребенка	4	2
мышления и речи мы	1	1
в том что в	1	1
с точки зрения биологической	2	1
не хотим вовсе сказать	1	1
установление того факта что	1	1
которой мы говорили выше	1	1
часть характерных черт детской	1	1
мы не хотим вовсе	1	1
в полном согласии с	1	1
тем более от всяких	1	1
независимо друг от друга	1	2
мышлением и речью в	1	1
зрения филогенетического и онтогенетического	1	1
более от всяких обобщений	1	1
все более и более	2	1
в наших опытах мы	1	1
если бы мы хотели	1	1
большую часть характерных черт	1	1
отдельных весьма специальных технических	1	1
действительностью нисколько не влияет	1	1
между мышлением и речью	2	5
но этот мимолетный частичный	1	1
с одной стороны и	1	2
общее направление его мысли	1	1
филогенетического и онтогенетического развития	1	1
к установлению истины а	1	1
и с точки зрения	1	1
и тем более от	1	1
свести к эгоцентризму большую	1	1
как если бы он	1	1
той ситуации в которой	1	1
из того что в	1	1
приходит к выводу что	3	1
нас сейчас может интересовать	1	1
для того чтобы с	1	1
от слишком систематического изложения	1	1
мышления в собственном смысле	2	1
весьма специальных технических случаях	1	1
его мысли и не	1	1
слишком систематического изложения и	1	1
выходящих за пределы психологии	1	1
того чтобы показать что	1	1
эгоцентризму большую часть характерных	1	1
действительность или действительность сновидения	1	1
он приходит к выводу	1	1
показать что эгоцентрическая речь	1	1
то же ли бывает	1	1
его внутренней речи и	1	1
стремится не к установлению	1	1
по своей природе и	1	1
корни мышления и речи	1	1
с точки зрения филогенетического	1	1
мы постараемся показать ниже	1	1
мы видим таким образом	3	1
характерных черт детской логики	1	1
она не может быть	1	1
установлению истины а к	1	1
внедряются в его собственную	1	1
с точки зрения теории	1	2
как другая сторона луны	1	1
в собственном смысле слова	1	3
к выводу что все	1	1
влияет на общее направление	1	1
в развитии речи от	1	1
создает сама себе воображаемую	1	1
ассимилируются т.е деформируются живым	1	1
черт детской логики с	1	1
дело в том что	1	1
она стремится не к	1	1
контакт с действительностью нисколько	1	1
после действительного приема пищи	2	1
о развитии детской речи	1	2
речи для того чтобы	1	1
лишь в отдельных весьма	1	1
а к удовлетворению желания	1	1
с биологической точки зрения	1	2
для того чтобы показать	2	1
в том что он	1	1
развитии мышления и речи	2	2
проблема мышления и речи	2	1
он как уже сказано	1	1
лишь после действительного приема	2	1
указывает на то что	2	1
направление его мысли и	1	1
в развитии мышления и	1	1
генетические корни мышления и	1	1
мысли и не то	1	1
с генетической точки зрения	3	1
в его собственную субстанцию	1	1
как мы постараемся показать	1	1
слушать что они говорят	1	1
который в отличие от	1	1
о которой мы говорили	1	1
этот мимолетный частичный контакт	1	1
же ли бывает у	1	1
то что пиаже утверждает	1	1
мимолетный частичный контакт с	1	1
мышления и речи которые	1	1
ответ на этот вопрос	2	1
или во всяком случае	1	2
от аутизма к логике	1	1
только для того чтобы	1	1
сама себе воображаемую действительность	1	1
в психологическом развитии ребенка	1	1
и не то же	1	1
в пользу того что	2	1
истины а к удовлетворению	1	1
всяких обобщений выходящих за	1	1
сомнений в том что	1	1
на общее направление его	1	1
анализа для того чтобы	1	1
нисколько не влияет на	1	1
от всяких обобщений выходящих	1	1
когда мы говорим об	1	1
заключающееся в том что	1	1
обобщений выходящих за пределы	1	1
в отдельных весьма специальных	1	1
в развитии детского мышления	2	5
заключается в том чтобы	1	3
в психологическую субстанцию ребенка	1	1
с точки зрения развития	1	1
