4gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_4gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_4gram
и свой последний смысл	1	1
но тем не менее	1	1
тон и свой последний	1	1
из уст в уста	1	1
слово героя и слово	2	1
человека с человеком а	1	1
к себе самому он	1	1
установка по отношению к	1	1
то же время не	2	1
с точки зрения его	1	1
свой тон и свой	1	1
как мы уже говорили	1	1
на тему о себе	1	1
тему о себе самом	1	1
на свой предмет и	1	1
слово о себе героя	1	1
его за живое и	1	1
уже сама по себе	1	1
ведь и сам знаю	2	3
и слово рассказа в	1	1
в той или иной	2	3
героя к себе самому	1	1
между этими двумя пределами	1	1
себе и своему предмету	4	1
достоевского как мы уже	1	1
диалога с самим собой	2	1
только себя и свой	1	1
в пределах одного сознания	1	1
налегли друг на друга	1	1
диалогически обращен к герою	1	1
большей или меньшей степени	1	1
далеко не исчерпали всех	1	1
том и в другом	1	1
одно и то же	1	2
бы то ни было	4	1
героя и слово рассказа	1	1
в то же время	12	5
боится чтобы не подумали	1	1
как если бы он	1	1
рассказа иногда до жиль-блаза	1	1
не в личном смысле	1	1
чрезвычайно напряженный характер в	1	1
чтобы не подумали что	1	1
мы можем сказать что	1	1
и в том и	1	1
в еще более резкой	1	1
диалог с самим собою	1	1
той или иной степени	1	1
мы уже говорили что	2	2
той или иной форме	1	1
в его внутренний диалог	2	1
двух голосов в одном	1	1
в большей или меньшей	1	1
сухость рассказа иногда до	1	1
в том и в	1	1
не подумали что он	1	1
с самим собою и	3	1
но в то же	3	3
я ведь и сам	2	3
и сам знаю что	2	3
себя и свой предмет	1	1
не может до конца	2	1
в произведениях достоевского нет	1	1
носит чрезвычайно напряженный характер	1	1
