2gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_2gram
а напротив	1	1
его в	3	1
все же	4	2
никем не	1	1
от всех	1	1
эстетического отношения	1	1
собственное слово	1	1
никого не	1	1
что ему	3	1
подобно тому	2	2
природного бытия	1	1
[] во	1	1
не от	1	1
общего с	2	1
между я	3	3
мира []	3	1
литературного письма	2	1
даже в	2	4
этом как	3	1
ко всему	2	2
писал что	1	1
мы имеем	1	1
конечном счете	4	5
право на	1	3
реабилитация художественности	1	1
к труду	1	1
власти коммуникативная	1	1
художественное творчество	1	1
всеединая основа	1	1
как явление	1	1
до последнего	1	1
эстетического субъекта	9	3
один в	1	1
мыслит себя	1	1
зрителя слушателя	3	1
в историческом	1	1
булат окуджава	1	1
в концовке	1	1
восклицает о	1	1
борис пастернак	1	1
из таких	1	1
как теперь	1	1
так и	4	7
писателем и	1	1
и соцреализму	2	1
не является	2	2
быть названа	1	1
при таком	1	1
на другого	2	1
так называемый	2	1
утверждают свое	1	1
для кого	1	2
частных элементов	1	1
личности с	1	1
за пределы	2	1
нашего столетия	3	2
еще и	3	1
традиции как	1	2
он же	1	1
с читателем	2	2
причастностью к	1	1
как сам	1	1
то что	10	7
творческого акта	1	1
но как	1	2
о собеседнике	1	1
тем самым	5	3
во-вторых они	1	1
свобода от	4	1
частное бытие	1	1
элементов а	1	1
и от	1	1
глядит на	1	1
собою когда	1	1
из того	2	2
никак не	1	1
о.э мандельштама	1	1
принадлежит традиции	1	1
врага ветхозаветный	1	1
имитация соцреализма	1	1
или нет?	2	1
и жизни	1	3
творческой рефлексии	5	2
в особенности	1	1
по которым	1	1
не будучи	1	1
хх веке	5	4
должна быть	2	1
бы то	1	1
в одном	1	2
в свою	1	1
но одновременно	2	1
есть культура	1	1
не подавляет	1	1
сознания дискурс	2	2
той же	3	2
а скорее	1	1
мышления и	2	1
неотрадициональной ориентации	1	1
иначе говоря	1	1
стихотворения в	1	1
очерк второй	1	1
субъективности самоактуализация	1	1
от себя	2	1
связи с	6	1
этого сознания	1	1
в годы	1	2
что в	3	4
не поглощает	1	1
враждебное воплощение	1	1
замечает и.п	1	1
этой цели	2	1
однако в	2	6
в начале	1	3
так я	1	1
на единой	1	1
вести о	1	1
в своей	4	1
как раз	4	2
того кто	1	1
русской классической	7	2
в основе	3	2
и адресата	4	1
личность не	2	1
тексте не	1	1
постановка проблемы	1	1
все более	2	1
на наш	5	3
как правило	2	3
нового типа	1	1
себе в	2	1
и что	1	2
по мысли	2	1
отношению ко	1	1
к неотрадиционализму	1	1
у маяковского	1	2
этой книге	2	1
у кого	1	1
потребности в	1	1
как скульптор	1	1
а.а ахматовой	1	1
это мир	1	1
и все	1	1
внутренней свободы	2	2
классицизма в	1	1
них дает	1	1
от всего	1	1
как новый	1	1
я а	1	1
подлинная цель	1	1
[] такого	1	1
в жизнь	1	1
относительно объекта	1	1
и о	1	1
жизни и	3	4
в ранг	1	1
в поэме	1	4
себя и	1	2
в противоположность	1	2
хронотоп крестного	1	1
из которых	1	2
него в	1	1
ничего общего	1	1
в них	1	2
не бывает	1	2
не поддается	1	1
бунт против	1	1
другого новозаветный	1	1
по сути	1	1
искусство это	1	1
с миром	4	1
я из	1	1
сам же	1	1
не может	5	9
могут быть	2	2
и за	1	2
а утверждают	1	1
но лишь	1	3
из ключевых	1	2
полный простор	1	1
то есть	6	5
в индивидуальном	2	1
отнюдь не	2	4
не могло	2	1
произведения искусства	3	2
вместе с	1	5
эстетической реальности	1	1
году проницательно	1	1
отталкиваясь от	4	1
по барту	1	1
в третьем	1	2
такого рода	10	9
культуры маяковский	1	1
а к	1	2
в том	16	10
началу жизни	1	1
в кругозоре	2	3
ветхозаветный хронотоп	1	1
ср у	1	1
в его	7	4
в миропорядке	1	1
и т.п	4	10
барахла культуры	1	1
диалога но	1	1
вокруг себя	1	1
дискурс власти	1	3
сообща и	1	1
мысль о	1	1
и другим	1	1
к читателям	1	1
третьем лице	1	1
приводит к	3	1
и индивидуальный	1	1
о том	2	2
самоактуализация как	4	2
и чужого	1	1
стратегия транстекстуальности	1	2
единой всеобщей	1	1
поэтической традиции	1	1
с творческой	1	2
культуры и	1	1
в виду	3	2
на то	1	1
с позиции	2	1
эстетического дискурса	1	1
культурной политики	1	1
еще в	4	4
во всей	1	1
уже о	1	2
[] в	4	6
искусства было	1	1
[] или	1	1
тайна в	1	1
в.т не	1	2
для этой	1	1
говоря словами	3	1
быть не	1	2
от своего	2	1
как мы	1	1
а потому	2	2
однако не	1	1
как я	1	3
можно указать	1	1
особого рода	2	1
относится к	2	1
может быть	13	17
границы соцреализма	1	1
художественного дискурса	1	1
и его	4	3
то в	1	2
не можем	1	1
он один	2	1
осознавая свою	1	1
поистине как	2	1
жизни впрочем	1	1
в сфере	3	4
художественная деятельность	2	1
х годов	2	3
пока еще	1	1
внутренней маргинальности	2	1
чего бы	1	1
с сыном	1	1
характеристике и.п	1	1
в отношении	1	1
и состоит	1	1
не завладевает	1	1
вовсе не	1	2
вызвать свое	1	1
можно назвать	1	1
есть не	1	1
управлению слов	1	1
человека а	1	1
искусства в	1	1
практически все	1	1
это как	2	2
хронотоп народного	1	1
пока не	1	1
модус сознания	2	1
с тем	1	2
толстой например	1	1
причастность к	2	4
своих стихах	2	2
идеологема врага	1	2
ли не	3	4
который в	1	1
ни было	1	2
я не	7	5
за собой	1	1
из этого	1	1
сознания не	1	1
более не	2	1
свободы от	3	1
а вот	1	1
его сердце	1	1
дискурс ответственности	1	2
во многих	2	1
о себе	4	3
путь к	1	2
писателя в	1	1
гетеролиризм своего	1	1
марина цветаева	1	2
жизненный путь	1	1
и нет	2	2
классической художественности	5	2
говоря уже	2	2
отличие от	5	1
и прежде	3	1
тот же	1	2
во главе	1	1
стихах и	1	1
преодоления уединенности	1	3
и других	1	4
все ту	1	2
со стороны	4	3
мира в	3	2
как он	2	2
иллюстрация может	1	1
процесса в	1	1
обращаясь к	2	3
одно из	3	2
всеми сообща	1	1
в глазах	1	3
культуры в	4	1
авангарда состоит	1	1
во имя	2	2
в частности	15	4
перед ним	1	2
к исторической	1	1
нет ничего	2	1
себя во	1	1
то он	2	1
ты или	1	1
ответ на	1	1
эстетической ситуации	1	2
не дремлет	1	1
и даже	3	8
не было	3	2
творческий процесс	1	1
о жизни	1	1
заодно с	1	1
к рифме	1	1
в своих	4	2
в этой	4	3
в духовной	1	1
другой стороны	1	4
отношению к	2	3
идет о	1	3
то и	2	3
к достижению	1	1
в роли	1	2
стратегия сверхтекста	1	2
все то	1	1
свидетельствует о	1	2
самим собою	2	1
к этому	1	1
когда наконец	1	1
частные элементы	1	1
и вполне	2	1
мир в	4	1
на причастность	1	1
б брехт	2	1
соцреализма а.а	1	1
всеобщей основе	1	1
как в	5	1
и я	6	1
не случайно	2	4
и не	12	11
каждом вызвать	1	1
авангардистского самоутверждения	1	1
текста как	2	1
наш взгляд	5	3
целого а	1	1
со всеми	1	1
традиционализма по	1	1
исключают целого	1	1
таким образом	3	1
не говоря	2	2
жизни в	1	4
индивидуальный талант	1	1
в художественной	1	3
мне в	1	2
время не	1	1
все той	1	1
тем что	2	4
ее развития	1	1
уже в	5	2
трактуется как	1	1
в жизни	6	2
лирическое я	1	4
не только	24	8
нами не	1	1
он не	1	5
и читателя	1	2
в становлении	1	1
наконец в	1	2
все эти	2	1
новейшей русской	1	1
по собственному	1	1
сознания на	1	2
в данном	5	3
как уже	1	2
в пределах	3	1
тем же	3	3
народного пути	1	3
со смыслами	1	1
в литературе	1	1
слова в	1	1
есть свобода	1	1
авангардизм и	1	1
пор пока	1	1
на рубеже	3	1
в-третьих эта	1	1
и.п смирнову	1	1
со своим	1	1
в их	3	3
я люблю	2	1
художественности не	2	1
произведение искусства	8	1
мы чувствуем	1	1
однако с	1	1
этой ментальности	1	1
рецептивного сознаний	1	1
собственной жизни	1	1
к битве	1	1
в себе	7	6
и он	1	3
в единственном	1	2
есть наиболее	2	1
с этого	1	1
самоопределение героика	1	1
жизни по	1	1
в словах	1	1
личности в	1	3
к тому	2	1
не объект	1	1
впервые в	1	1
духовном пространстве	1	1
на основе	1	1
взаимодействующих сознаний	1	2
искусство как	1	1
не оставляет	2	1
творческий акт	1	2
личности автора	1	1
в культуре	3	3
анна ахматова	1	1
автора героя	1	1
одной стороны	2	6
только как	1	1
в соответствии	1	1
пастернака и	1	1
как нам	1	1
от жизни	1	1
из них	4	2
при рассмотрении	1	1
по характеристике	3	2
быть может	1	3
в области	3	4
имеем дело	1	1
мы в	2	1
воспринимающего сознания	1	1
до конца	1	2
но даже	1	1
художественного мира	1	2
после чего	1	1
солидарны между	1	1
м.н эпштейна	3	1
между писателем	1	1
становится для	1	1
в ссср	1	1
сознания состоит	1	1
авторитарного сознания	4	12
не менее	7	6
еще не	4	2
в году	13	5
в программном	1	1
он сам	1	1
романа мать	1	1
не столько	5	3
сознания в	12	3
так в	1	5
т.с элиота	1	1
жизни для	1	1
в конце	4	2
в принципе	3	5
в ситуации	1	2
транстекстуальности онтологизм	1	1
неотъемлемая часть	1	1
к новым	1	1
а в	3	3
для авангарда	2	1
е фарино	1	1
тех или	1	1
вл соловьева	2	1
этом полюсе	1	1
всего в	3	1
в статье	1	1
представляет собой	4	2
дезактуализации идеологема	1	1
в каждом	1	2
как сформулировал	1	1
в русской	10	4
от самого	2	1
в хх	6	4
исключают друг	1	1
и вот	1	1
безумия о.э	1	1
слова []	1	1
творческого поведения	4	5
общим местом	1	1
концепция личности	1	1
эстетической деятельности	4	3
что лирическое	1	1
сверхтекста на	1	1
по преимуществу	4	2
в своем	11	1
ни был	1	1
одного из	3	1
в нашем	1	2
культуры уединенного	5	1
и на	1	6
свое частное	1	1
в ходе	1	1
вплоть до	2	3
для многих	2	1
над языком	1	1
от него	1	1
взаимно полагают	1	1
по крайней	1	2
сверхтекста сублимация	1	1
общественного сознания	3	2
устранение из	1	1
занимающего нас	1	1
эстетического объекта	6	1
и п	1	1
интерсубъективной реальности	1	1
как и	6	10
элиота традиция	1	1
тому как	2	2
потому что	3	2
друг друга	4	2
ему в	1	1
другого в	3	3
в повестях	3	1
в самом	3	1
быть это	3	1
а то	1	1
при всем	3	2
на том	2	1
тогда как	13	9
же время	5	9
как утверждает	1	1
в то	5	9
и то	2	3
и рецептивного	2	1
по отношению	3	4
никогда не	4	3
остальных слов	1	1
этом отношении	2	3
в россии	2	2
что есть	1	1
с.с аверинцева	2	1
и в	8	19
эстетический субъект	3	3
своей героической	1	1
в мире	2	9
под названием	1	2
сознаний позволяет	1	1
искусства то	1	2
своего другого	3	3
не просто	1	1
когда во-вторых	1	1
[] на	2	1
нам представляется	1	2
так как	1	3
и только	2	2
но не	4	5
я это	1	2
и всегда	1	1
одновременно с	1	1
эта всеединая	1	1
и будет	1	1
такой же	1	3
и говорит	1	1
в стихах	1	8
не в	8	4
