2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram
своими словами	2	1
во сне	1	1
мы опять	1	1
все же	5	8
его в	3	3
рассказе а	1	1
которые заставляют	1	1
вытекает из	1	2
это совершенно	3	1
устанавливает те	1	1
все дело	2	1
к фабуле	1	1
имели дело	1	1
подходят те	1	1
роль при	1	1
так например	4	2
от действительности	3	1
те достоинства	1	1
не следует	1	1
нас совершенно	2	3
в одну	1	1
том и	1	2
сейчас увидим	1	1
подобно тому	1	1
достаточно сослаться	1	1
чтобы довести	1	1
его силы	1	1
не от	1	1
произведению и	1	1
второй раз	1	1
и каждый	1	1
одной чрезвычайно	1	1
так точно	1	2
зависимость от	1	1
себе ставит	1	1
даже в	2	1
из него	1	4
в поэтический	1	1
и к	2	3
мы имеем	2	1
перед смертью	1	1
прав когда	2	3
и своим	1	1
кульминационный пункт	1	1
независимо от	1	1
с такими	1	1
мы читаем	2	2
в катастрофе	1	3
которое он	1	1
не находим	1	1
что при	2	1
что часто	1	1
иначе как	1	2
то мы	1	1
нашего исследования	1	1
то здесь	1	1
так и	3	1
в другой	1	1
и т	6	14
не является	2	1
характера и	8	1
уже давно	1	2
имеет ли	1	1
как нельзя	2	1
весь рассказ	4	1
при таком	3	2
действующие лица	1	1
когда мы	6	2
и у	1	1
что зритель	2	1
воздух и	1	1
самый рассказ	1	2
предисловии к	1	1
издевательство над	1	1
тем самым	3	1
то что	44	35
но как	1	2
что тут	1	1
нас станет	1	1
самому рассказу	1	2
она превратилась	1	1
никак не	6	7
еще чаще	1	1
на неустойчивом	1	1
бы это	3	1
имеет в	1	1
нашей эстетической	2	1
следовало бы	1	1
по которым	2	1
согласии с	1	1
в одном	3	8
в свою	1	4
многие критики	1	1
тот факт	1	1
тому же	3	1
так много	1	1
который лежит	1	1
правильнее было	1	1
подходят к	1	1
несмотря на	1	5
той же	4	2
мы найдем	1	2
в обычном	1	1
стояли перед	1	1
иначе говоря	2	5
к которому	1	1
мы получим	3	1
та же	3	3
нет никакого	1	2
и такие	1	1
медлительность и	1	1
ни в	3	3
говорил о	1	2
заключенное в	1	1
же точно	7	2
сослаться на	1	2
и той	2	2
то время	2	2
как не	1	1
что в	21	20
совершенно очевидно	1	1
двух противоположных	2	5
было показать	1	1
но совершенно	4	1
за ним	1	1
о самом	1	1
в своей	4	5
который говорит	3	2
как раз	9	8
хотя он	1	1
противоположное и	1	1
но если	3	4
на глазах	1	1
ход событий	1	1
поэзии на	1	1
и другая	1	1
в основе	3	3
напротив того	2	6
очень легко	4	4
другой раз	1	1
для автора	1	1
с его	2	1
этим двум	1	1
что можно	1	1
совершенно иначе	3	2
как только	2	3
в минуту	1	1
что дело	1	1
что она	10	16
бы если	1	1
в той	3	5
что если	3	4
другом плане	1	3
было совершенно	1	1
смысл в	1	1
и что	25	18
ближе к	1	1
всего этого	1	2
эти три	2	1
этого как	1	2
и все	12	10
соединяются в	1	1
сама собой	1	2
которое мы	1	3
и заключается	1	1
бы мы	3	1
нам кажется	2	1
что на	1	1
и о	4	3
жизни и	4	1
борьбу с	3	1
показать в	1	1
короткое замыкание	1	3
себя и	1	1
сейчас же	16	1
из которых	3	4
психологических планах	1	1
рассказан как	1	1
что эта	6	4
в них	2	3
показывает нам	2	1
а другая	1	1
кажется что	2	1
мы хотим	1	3
только не	2	1
место в	2	3
деле нам	1	1
для понимания	2	1
на деле	1	4
это то	3	1
их бессмыслицу	1	1
от анализа	1	1
те же	2	1
не то	4	4
и ни	1	1
действия и	2	2
и так	4	1
этому рассказу	1	1
что все	11	3
сцене и	1	2
не может	10	7
понятно что	3	1
этом рассказе	2	1
несоответствие между	1	1
в несколько	1	1
впечатлению которое	1	1
там где	1	6
сказать что	13	4
то есть	13	15
следует понимать	1	2
дано в	1	3
действие которое	1	2
наша мысль	1	1
если взять	2	1
вместе с	8	5
в трагедии	10	1
случае а	1	1
так поразительно	2	1
себя как	1	2
критики не	1	1
мы знаем	2	1
в том	21	25
и который	1	2
смотреть как	1	1
в его	10	5
идет от	1	1
в нас	1	4
на две	2	1
даны в	4	1
вступить в	1	1
как они	1	1
мысль о	1	1
из этой	3	1
бы как	1	1
и вызывать	1	1
и может	5	2
с конца	2	1
из всего	1	2
о том	20	6
заставляя нас	2	1
одной только	1	1
между тем	1	7
что самая	2	1
противоречие с	1	2
совершенно точно	1	1
с вот	1	1
он бы	1	1
в виду	2	4
на то	10	16
который мы	1	3
в самой	6	4
к самому	2	2
в музыке	1	1
которых он	1	1
по смыслу	1	2
случаи когда	1	1
обратимся к	3	1
и смысл	2	1
есть только	2	2
утверждал что	1	1
что сам	1	2
его словам	1	2
в некоторых	1	1
быть не	2	2
именно этот	1	1
не все	2	1
главным образом	1	3
как мы	4	7
это верно	1	2
этот новый	1	1
в рассказ	1	1
так чтобы	2	1
двух планах	1	5
относится к	1	1
может быть	22	19
и его	5	6
в одной	2	2
не можем	3	4
служит только	1	1
у читателя	1	3
с таким	2	1
это означало	3	1
однако мы	2	3
уже говорили	1	3
эту мысль	1	1
были бы	1	3
вовсе не	5	8
она не	3	6
мы воспринимаем	1	1
деле она	1	1
между двумя	2	1
есть не	1	1
планах с	1	1
была бы	2	2
ради которых	1	1
этого одного	1	1
противоречие и	1	2
обратное тому	1	1
в тех	2	4
в виде	3	2
с тем	4	8
и первый	2	1
это есть	1	2
какой мере	2	2
прием и	1	1
я не	4	5
только один	1	1
обратиться к	3	4
из этого	5	8
к художественному	1	1
в отдельности	1	1
образом что	2	1
на той	1	1
и сделал	1	1
ни о	1	1
бы в	1	3
и было	1	1
увидим что	3	9
вслед за	3	1
эти два	1	3
оба плана	1	7
можем сказать	1	2
на которых	1	1
она в	1	3
эмоциональная окраска	1	1
тот же	3	3
окончание на	2	2
действий и	1	1
с уверенностью	1	3
разговор с	1	1
и действительно	1	2
это конечно	1	1
и других	4	1
чтобы увидеть	1	5
в такую	1	1
со стороны	2	2
то чтобы	2	1
природы и	1	1
это делает	2	1
что действие	4	1
и между	1	4
вернее сказать	1	1
одно из	2	2
хоть сколько-нибудь	1	1
та и	1	1
именно как	2	1
больше не	1	3
в таком	4	3
противоречие то	1	1
в частности	4	1
над ней	1	1
как говорит	2	1
бы перед	1	1
т п	3	5
сторону от	1	1
для своей	1	1
замыкание двух	1	1
всякий раз	6	3
и даже	1	4
от этой	1	2
того мы	1	2
может не	1	1
нам не	1	2
и очень	1	2
еще раз	3	1
одном акте	1	1
не остается	1	1
того чтобы	22	9
и вместо	1	1
то это	3	2
в своих	3	4
только в	4	4
характера но	1	1
и значение	1	3
ней и	1	1
одна и	2	1
так сказать	1	5
другой стороны	2	5
характера а	1	2
в этой	9	13
не могли	1	4
когда она	1	3
этой сцене	2	1
идет о	3	4
бы что	1	1
все то	12	7
всяком случае	3	2
развернут так	1	1
не зря	2	1
и затем	3	2
противоположных психологических	1	2
к этому	4	3
которые казалось	1	1
психологический закон	1	1
и эта	2	1
но никто	1	1
как в	3	4
и я	1	2
от этого	3	1
во всяком	3	2
и не	13	10
что у	4	7
мы уже	5	7
что до	1	1
и та	2	2
формулировать так	2	1
который он	2	1
лежит в	2	2
и вообще	1	1
речь его	1	1
психологическое значение	1	1
таким образом	13	12
крылова и	1	3
показывают что	1	1
он как	1	1
тем что	3	3
в коротком	1	3
в жизни	4	1
это и	5	1
и дает	2	2
к действительности	1	1
в плане	1	3
не только	7	12
нет вовсе	1	1
заставляет его	4	2
он не	11	6
этой основной	2	1
его жизнь	1	1
он хочет	1	2
что даже	1	2
смысле этого	3	2
которое исходит	1	1
двум различным	1	1
начала и	1	1
все эти	6	4
в самых	3	1
вот что	1	1
не считаясь	1	1
из простого	1	1
в истории	1	2
только обратиться	2	1
рассказ о	1	1
создается впечатление	1	1
ряд очень	1	1
совершенно ясно	8	13
и потому	2	1
противоположных чувств	1	3
это противоречие	1	1
с самого	5	6
в точном	1	1
перед собой	1	2
автор рассказывает	1	1
своем роде	1	2
в их	2	1
т д	2	4
из области	1	3
в себе	6	4
развивается в	1	2
с той	2	4
на примере	2	2
все их	1	1
в рассказе	8	1
на его	1	1
и он	3	1
как на	6	3
в словах	2	1
в гамлете	11	1
к тому	12	6
роль которую	1	1
что одна	1	1
к рассказу	1	1
что вся	1	1
заставляет нас	2	2
и форму	1	1
и этот	3	3
как все	4	2
художественное произведение	1	1
ничего подобного	1	1
в окончательном	1	1
аффективное противоречие	2	3
я только	1	1
перед нами	6	8
в эту	1	2
надо еще	1	1
одной стороны	3	5
он приводит	1	3
бы не	2	3
и те	1	1
из них	4	6
мысли в	1	1
ничем не	2	1
и для	3	4
деле если	1	1
это только	1	3
что только	1	2
с детства	1	1
поднять на	1	1
мы в	3	2
рассказа о	1	1
до конца	7	2
которое имеет	1	2
отличается от	1	1
рассказал нам	1	1
и вместе	1	2
замечательно в	1	1
согласиться с	1	4
в первом	1	1
и уже	4	2
с историей	1	1
и эти	2	2
обрушивается на	1	1
него не	1	1
иначе он	1	1
не потому	2	1
переходит к	1	1
еще не	1	1
заложены в	2	1
знает что	2	1
ни одного	2	1
целый ряд	5	2
перейти к	2	1
не столько	1	1
целым рядом	4	1
большей частью	2	2
представляют собой	1	2
с ним	5	2
и которая	1	2
же самое	6	10
без всяких	1	3
вместо этого	2	1
не могла	1	2
в конце	8	2
и просто	1	1
что составляет	3	1
словами и	1	1
ясно говорит	1	1
а в	4	7
все решительно	1	1
который утверждал	1	1
тому что	6	6
вводится в	1	1
и более	1	2
хотим узнать	1	1
представляет собой	2	2
мы вправе	4	1
отдельных частей	1	1
весь этот	1	3
в русской	2	2
понять это	1	1
эти события	3	2
трагедия не	1	1
неустойчивом моменте	1	1
чтобы он	2	2
уместным и	1	1
и вот	6	2
что сюжет	2	1
действие в	1	1
дело в	1	1
с первого	1	1
в своем	7	5
решение вопроса	1	1
этот характер	2	1
что поэт	2	2
но с	1	1
вся суть	1	1
в которую	1	2
мы условно	3	1
и на	5	6
переживаниях самого	1	1
мы везде	1	5
истинный смысл	2	2
в сторону	3	1
не имеют	1	2
исследования мы	1	1
не по	2	1
для художественного	1	2
от него	1	1
критики считают	1	1
ли это	3	2
нельзя лучше	1	1
это возможно	1	1
самое в	1	5
с которыми	1	1
света на	1	1
или вернее	2	2
наших глазах	1	2
лежащая в	1	1
в двух	4	9
рассказа и	10	2
словесного искусства	1	1
совершенно явно	1	2
для того	23	8
за этой	1	1
мы никогда	3	1
факт что	1	1
как и	5	8
и чем	1	2
а когда	1	1
должен был	3	2
эстетической реакции	1	2
не могу	1	2
но еще	1	1
тому как	2	1
герой был	1	1
потому что	24	14
с такой	2	5
и понимали	1	1
всего того	1	2
которые стояли	1	1
почему он	3	1
что для	5	1
что с	1	4
в самом	12	25
критиков так	1	1
со всяким	1	1
уже совершенно	1	1
в то	3	3
и то	2	8
совершенно ясным	1	1
никогда не	5	4
раз в	7	4
всех этих	3	2
которая ему	1	1
и стоит	1	1
и в	33	38
все время	24	30
так же	13	2
свою особую	1	1
в предисловии	1	1
и самый	1	1
так что	7	8
в корне	1	1
не просто	4	2
а на	2	1
на наших	1	2
все они	2	2
из его	2	1
нас ясно	1	1
с этими	1	1
и только	7	3
но не	3	1
материалом для	1	2
которой мы	3	1
так как	12	6
это будет	1	2
к концу	1	3
и всегда	1	2
и смерти	1	1
такой же	2	2
и говорит	3	1
же один	1	1
героев или	1	1
не в	2	12
трагедии в	2	1
приблизительно так	1	1
и отсюда	1	1
как будто	8	4
для нас	7	8
ход действия	3	1
конечно же	2	2
чем это	1	1
в полном	1	2
везде и	1	1
то как	2	2
поэтому он	1	1
есть в	1	2
совершенно обратное	2	1
нам что	2	1
на этом	3	5
мы должны	6	1
плане и	1	1
и во	1	2
сцены в	1	1
в которых	3	6
по существу	2	2
уже с	2	1
бы он	1	1
для всякой	1	1
обработки в	1	1
и до	3	1
что следовательно	1	1
в житейском	2	1
смысл и	4	4
роль и	1	1
спрашивается почему	3	1
думать что	2	2
в конечном	1	1
до самого	2	2
своей конечной	1	1
исключительно для	1	1
что под	1	3
как она	10	1
у меня	1	1
совершенно прав	1	2
нельзя вывести	1	1
окончательном виде	1	1
как это	14	6
нами в	2	2
который не	2	4
что этот	3	4
с этим	5	8
ему что	1	1
его рассказа	3	1
и ясно	2	1
и глубоко	1	1
относительно того	1	1
мы все	3	4
он спрашивает	1	1
речь идет	3	4
и с	2	1
что всей	1	1
больше чем	2	4
совершенно противоположное	1	5
но это	1	3
дело и	2	1
признать что	1	2
и два	1	1
в противоречие	1	2
все остальные	1	1
во времена	1	1
что задачей	1	1
в сцене	1	1
уяснить себе	1	2
это в	4	1
сам собой	1	2
когда он	7	4
из критиков	1	3
тем в	1	2
полагает что	5	3
ее в	4	4
внутреннее противоречие	1	2
знаем что	4	1
же в	1	2
смыслом может	1	1
конечно не	3	4
он видит	3	2
своим героям	1	1
событий который	1	2
малой степени	1	2
находим мы	1	1
для этого	8	2
рассказывает о	1	3
это все	1	1
в заключение	1	1
это не	6	1
только этой	2	2
чем то	1	1
к таким	2	1
евгении онегине	1	1
и точно	2	1
образом и	1	2
мы припомним	1	1
именно на	1	1
с другой	2	7
может его	2	1
и как	5	8
он все	3	2
совершенно другой	2	3
был не	1	1
здесь в	3	2
сущности говоря	2	7
содержание рассказа	2	2
которую мы	1	4
но он	6	2
должно быть	3	1
и совершенно	5	4
далеко не	3	3
путем и	1	1
это значит	1	1
было бы	12	12
того как	1	3
в чем	1	1
вот эти	2	1
а иногда	1	1
что такое	1	1
к его	1	2
как бы	25	14
бы быть	1	1
смысл его	1	1
мы остановились	1	1
увидеть что	1	7
приглядеться к	2	2
рассказанный в	1	1
от других	1	1
очевидно что	1	2
в глаза	1	2
казалось бы	5	5
дело с	3	1
о его	1	1
указывает на	3	6
точки зрения	6	16
и недаром	2	1
бы дает	1	1
с необычайной	2	3
уже это	1	3
который призван	1	1
а с	2	2
рассказа является	1	1
просто и	2	1
мы всякий	1	1
в теории	1	1
что именно	3	2
тем и	2	1
необычайной ясностью	1	1
своих героев	1	2
решительно ничего	1	1
на это	1	3
у нас	4	2
но и	3	5
с здесь	1	2
и всюду	1	1
в ее	2	7
он может	2	2
именно в	2	1
эти слова	3	2
до сих	3	6
высшей точки	1	1
только то	1	2
которые все	1	1
ясно и	1	2
будто бы	1	1
том чтобы	4	1
мы не	5	5
стоит только	2	3
автора в	1	1
по одному	1	1
или как	1	1
мы можем	5	7
этого рассказа	12	2
прибавим к	1	1
только для	1	3
здесь мы	3	4
самое и	2	1
он хотел	1	1
в результате	2	1
самый этот	1	2
ли в	1	1
на самом	6	2
деле здесь	1	1
когда указывает	1	1
и наконец	2	2
токов в	1	1
с кем	1	1
а под	1	1
этой точки	1	1
для ее	1	1
в целом	5	4
сам себя	2	2
что за	1	2
нами совершенно	1	1
и заставляет	1	3
что не	4	3
и опять	3	1
что эти	2	4
она кажется	1	1
а не	6	7
а та	1	1
этот вопрос	4	1
гораздо более	1	1
с этой	4	2
с одной	3	6
силы и	2	1
он мог	1	1
в этом	28	13
от которых	1	1
если мы	12	6
превращается в	1	1
время как	2	4
конечно только	1	1
и насколько	1	1
все те	2	2
время перед	1	1
со своей	1	2
она была	1	4
бы наше	1	1
что мы	6	1
и ее	2	2
сюжет и	1	1
говорит что	10	8
том как	3	2
одной общей	1	1
он говорит	3	6
в совершенно	1	2
на их	1	2
для трагедии	3	1
будем иметь	2	1
была с	1	1
но по	1	1
совершенно различных	2	1
на него	4	1
оказывается что	2	1
одна из	4	4
же как	3	1
действующих лиц	1	5
из этих	2	3
очень много	1	1
совершенно в	2	2
в общем	1	2
вправе сказать	1	1
этого слова	3	2
все это	13	3
много в	1	1
приема то	1	1
только одно	2	1
степени в	1	1
трагедии и	6	1
в один	1	3
момент который	1	2
едва ли	2	3
и есть	4	1
слова а	1	1
сам автор	2	3
их в	3	2
самом деле	12	21
всей этой	2	1
и когда	2	5
остановились на	1	1
мы будем	5	1
в сюжете	1	1
значение каждого	1	1
могли бы	2	5
сцене гамлета	1	1
мысли и	1	1
нам в	2	2
суть и	1	1
самого конца	2	2
не так	1	3
нашей реакции	1	3
с ее	3	2
ее не	1	3
заключается в	5	7
и другое	2	4
деле в	1	1
только на	1	1
что оно	3	2
например в	3	2
художественной формой	1	1
действительность и	1	3
с гениальной	2	1
то же	9	10
можно с	1	1
мы обнаруживаем	1	1
так то	1	1
самые слова	1	1
этот рассказ	2	3
при помощи	4	4
это было	4	1
могло бы	3	2
на практике	1	1
просто не	1	1
ним и	1	1
и всю	1	1
мы могли	2	4
и дальше	1	2
на доминанте	2	1
бы сказать	2	1
не будет	4	1
совершенно не	4	5
которые не	1	1
и самым	1	1
не весь	1	1
равно как	1	1
имеет перед	1	1
этого нет	1	1
в какой	5	5
эта причина	1	1
перейти от	1	1
образом для	1	1
и если	9	6
благодаря ему	2	1
мы вдруг	1	1
характер и	1	1
из нее	3	2
совершенно противоположным	1	2
дело только	1	1
или не	1	2
либо в	4	2
нас на	1	2
же фразе	1	1
рассказа в	3	1
действия в	1	1
только что	15	2
в такой	2	3
каждого из	1	3
глазах и	1	1
в обратном	2	1
вывести из	1	1
я говорю	1	3
и их	1	1
столь же	2	2
мы видим	6	12
если приглядеться	1	1
рассказ этот	1	1
но мы	2	2
и мы	15	13
и еще	1	1
в которой	4	5
одной и	2	2
мы старались	1	2
этими словами	2	1
много света	1	1
можно сказать	2	1
что ни	2	1
по своим	1	1
ничего не	2	2
почти не	1	1
автор как	1	1
они как	1	1
действие но	1	1
что он	20	11
для развертывания	1	1
в течение	1	4
которая составляет	1	1
легко показать	3	6
мы попытаемся	1	1
если он	2	4
но они	1	2
рассказ об	1	1
говоря мы	3	1
что они	6	4
должен быть	1	3
на эту	1	1
к этой	3	2
в нем	7	4
которых мы	1	6
они ни	1	1
всю ту	1	1
или иначе	1	1
превратилась в	1	2
верно и	2	1
фраза которую	1	1
во всех	2	4
гораздо больше	1	1
рассказ имеет	1	1
что и	3	4
один из	2	6
в действительности	2	1
остается только	1	1
ясно что	5	6
с точки	4	9
