4gram	Potebnia_Myslijsyk_partition_part1_wordlist_4gram	Potebnia_Myslijsyk_partition_part3_wordlist_4gram
человеке и в животном	1	1
даже род произведения остаются	1	1
он вечно создается притом	1	1
заключается в том что	1	1
но тем не менее	2	3
в том смысле что	1	1
согласие в мыслях вместе	1	1
что мысль в слове	1	1
вместе непонимание всякое согласие	1	1
становится чем-то внешним и	1	1
понимание есть вместе непонимание	1	1
уменьшится от того что	1	1
и его связь с	1	1
создается притом так что	1	1
мысль в слове перестает	1	1
так и в языке	1	1
человека ко внешним предметам	1	1
том смысле в каком	1	3
а между тем в	1	1
не только в том	1	1
а в том что	1	2
непонимание всякое согласие в	1	1
в человеке и в	1	1
в одно время с	1	1
или по крайней мере	1	1
по мере того как	3	3
humboldt т с ср	1	2
только в том что	2	4
мы должны бы были	1	1
положение что язык есть	1	1
всякое понимание есть вместе	1	1
по себе не может	1	1
б ее не было	1	1
и в том что	2	1
что в отдельном лице	1	1
не в том что	3	2
и т п мы	1	1
есть вместе непонимание всякое	1	1
не заключает в себе	2	1
но и в том	1	1
основное положение что язык	1	1
лишь в том что	1	1
таких а не других	1	1
то же следует сказать	1	1
с одной стороны и	1	1
своего племени народа человечества	1	1
нужно будет принять что	1	1
и т д не	1	1
вечно создается притом так	1	1
к одной и той	1	1
одной и той же	2	3
остаются неопределенными humboldt т	1	1
не говоря уже о	1	1
таким а не другим	1	1
ребенке только что начинающем	1	1
во всем своем объеме	1	1
в то же время	5	3
в том смысле в	1	3
в то время когда	1	1
об отношении языка к	1	1
произведения остаются неопределенными humboldt	1	1
в слове перестает быть	1	1
по себе еще не	1	1
в ребенке только что	1	1
язык во всем своем	1	1
неопределенными humboldt т с	1	1
и там где нет	1	1
притом так что законы	1	1
мере того как мы	1	1
чем-то внешним и ощутимым	1	1
в том как именно	1	1
всякое согласие в мыслях	1	1
и в каждом отдельном	1	1
из сказанного можно видеть	1	1
заключает в себе все	1	1
если б ее не	1	1
но вслед за тем	1	1
род произведения остаются неопределенными	1	1
по отношению к тому	1	1
посредником между людьми и	1	1
