3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram
у нас в	1	2
а это требует	1	1
одному тому что	1	1
i в полтаве	1	1
обозначающего и обозначаемого	1	1
в том чтобы	1	1
также и то	2	4
для того чтобы	8	1
необходимо сказать что	2	2
о том что	5	3
на то что	8	1
что иное как	2	4
на первый план	1	2
для нее вовсе	1	1
на самом деле	4	2
не только не	3	1
как и в	1	1
с другими соседними	2	1
акте обозначения который	1	1
и тем не	8	3
сих пор мы	2	1
более или менее	3	1
но только с	1	1
а вовсе не	1	2
и как нечто	1	1
сливаются в одно	2	1
может быть и	3	3
той или иной	4	8
одним и тем	1	1
нее вовсе не	1	1
в символе и	1	2
одного и того	2	1
чем иным как	1	1
то или другое	1	1
а потому что	1	1
в том и	1	1
действительности когда мы	1	1
в том что	5	9
конца то есть	1	1
он есть принцип	1	1
символ тоже не	1	1
эта идейная образность	1	5
нам представляется что	1	1
хотя и не	2	2
требует от нас	1	1
по себе она	1	1
бы мы ни	1	1
и модель для	1	1
не имела бы	1	1
так же как	2	1
и то же	1	4
иметь в виду	3	1
но все дело	1	1
понимать как нечто	2	1
в себе никакого	1	1
в смысловом отношении	1	1
не имеет ничего	2	3
что такое знак	1	2
действительности но как	1	1
требует для себя	1	1
в этом понятии	1	2
уже не просто	1	1
идейной образности вещи	1	1
в этих случаях	2	1
и молот не	1	1
символ потому что	2	2
происходит только в	1	1
как мы сказали	1	1
что даже если	1	1
не есть только	1	1
в виде ее	1	1
и является символом	1	1
символ указывает на	1	1
в то же	4	4
мы хорошо знаем	1	1
нет никакой возможности	1	1
вовсе не являются	4	1
что всякий символ	3	2
и что такое	1	1
в самом деле	2	1
с художественным образом	1	1
сама по себе	4	8
в таком случае	6	4
можно сколько угодно	1	1
ни к каким	1	1
с точки зрения	3	2
то или иное	1	2
потому что иначе	1	1
сказано у нас	1	1
сказать что здесь	1	1
как будто бы	1	3
тут перед нами	1	1
хорошо знаем что	1	1
всякий символ обязательно	2	1
взятый сам по	1	2
некоторого рода смысл	1	1
здесь не только	2	1
ровно ничего не	1	2
не обязательна и	1	1
есть принцип конструирования	1	2
но ведь этот	1	1
в нем тоже	1	1
никакого отношения к	1	3
во что бы	1	1
вовсе не на	1	1
нужно сказать и	2	1
мы говорим что	2	1
как родовое понятие	3	1
сами по себе	3	6
самое нужно сказать	2	1
о том как	2	2
не что-нибудь другое	1	1
и художественный образ	1	1
заключается в том	1	3
нами только для	1	1
уже во всяком	1	2
в понятии символа	2	1
т д и	4	4
как бы они	1	1
изображения и его	1	1
не только в	1	2
в конкретном языке	1	1
не есть ни	5	3
мы выше называли	1	1
не в буквальном	1	1
для себя не	1	1
и того же	2	1
себе не содержат	1	1
и может быть	1	1
и тем более	1	2
отграничение символа от	1	1
в реально-исторических произведениях	1	2
и начала xx	2	1
художественное произведение в	1	1
как раз и	7	4
никак не может	1	2
обратить внимание на	1	1
должны сказать что	1	3
есть некоторого рода	1	2
и потому что	1	1
есть также и	2	2
это в виду	1	1
художественность в аллегории	1	1
с первого взгляда	1	3
тех или других	1	1
то есть чисто	1	1
что в нем	3	1
содержащий в себе	1	1
в их конкретности	1	1
не делать этого	2	1
не есть символ	5	4
когда мы говорим	2	3
же как и	1	2
может быть даже	2	3
сказать и о	3	1
и если мы	3	2
есть порождающая модель	1	2
если мы возьмем	1	2
но даже и	1	4
такое общее которое	1	1
жизни и тем	1	1
уже перестанет быть	1	1
с другой стороны	3	5
таким образом в	1	1
всегда есть нечто	1	2
то что здесь	1	1
о самом акте	1	1
мы находим в	1	2
общего с тем	2	2
с большим трудом	1	1
он есть также	1	1
несет с собой	2	1
не имеют ничего	4	1
прочих структурно-семантических категорий	1	1
то ни стало	1	1
того и другого	1	1
есть не что	2	4
в себе закон	1	1
это вовсе не	2	4
химической формуле воды	1	1
если же мы	1	1
себе закон для	1	1
к тому же	1	1
и только в	1	2
сознания с которыми	1	1
точно так же	4	3
тем что он	1	1
в каком случае	3	2
того или иного	2	3
мы ровно ничего	1	1
хотя и в	1	1
не значит что	1	2
то что обычно	1	1
с самой вещью	1	1
что бы то	1	1
с тем что	2	1
уже по одному	1	1
так или иначе	2	1
из наблюдаемых нами	1	1
xix и начала	2	1
дело в том	3	3
и тем же	1	1
уже видели что	1	1
самом акте обозначения	1	1
тому или иному	1	1
не имеют никакого	1	2
необходимо обратить внимание	1	1
каком случае не	2	1
вовсе не является	3	2
но если мы	2	1
ровно нет ничего	1	1
конца xix и	2	1
а не просто	4	3
то естественно что	1	1
есть нечто более	1	2
в художественном образе	1	1
самом же деле	1	4
что тут перед	1	1
а может быть	2	1
идейно-образная сторона вещи	1	1
д и т	3	4
и т д	10	13
просто сам по	2	1
что мы выше	2	1
все такого рода	1	2
что подпадает под	1	1
действительно есть ее	1	1
т д все	1	1
петра i в	1	1
к тому или	1	1
то это значит	1	2
не что-нибудь иное	1	1
том что всякий	1	1
вовсе еще не	3	1
чего нет в	1	1
во всяком случае	3	6
и это общее	1	1
как мы это	1	1
но еще и	1	1
и это вовсе	1	2
той или другой	1	4
отнюдь не есть	2	1
никогда не является	1	1
отнюдь не всякий	1	1
указанные у нас	1	1
и то что	2	7
не только то	1	1
если не считать	1	1
так как они	2	1
образ указывает на	1	1
являются здесь только	1	1
а еще и	1	1
серп и молот	4	1
которое мы находим	1	2
но для такого	1	1
на самом же	1	4
они сливаются в	1	1
к тому что	1	1
и в этом	2	6
и в его	1	3
вовсе не есть	6	8
никак не связан	1	1
когда мы начинаем	1	1
же деле это	1	1
символа и если	1	1
нечто более общее	1	1
не что иное	2	4
то есть по	2	1
другое то есть	1	1
то что мы	6	1
по одному тому	1	1
так как иначе	1	4
это не символ	1	1
но как мы	2	1
то что вовсе	1	1
в таких случаях	2	2
к каким другим	1	1
только тем что	1	1
знака прежде всего	1	1
есть прежде всего	1	1
смысле слова мы	1	1
и как бы	2	2
в связи с	4	7
но отнюдь не	3	1
по крайней мере	2	5
нам хотелось бы	1	1
бы то ни	1	4
сам по себе	7	6
в школьных учебниках	1	1
мы видели выше	1	1
но уже во	1	1
указывает на нечто	4	2
символа с другими	1	1
ни об его	1	3
то есть он	1	2
хотя символ здесь	1	1
то даже и	1	2
так и в	1	1
от всего прочего	1	1
как мы видели	1	2
едва ли кто-нибудь	1	1
только потому что	2	2
и если они	1	1
он уже перестанет	1	1
то в чем	1	1
так же и	3	1
мы сразу же	1	1
обозначаемого и обозначающего	2	1
есть не просто	1	1
на этот раз	2	3
мы до сих	1	1
или когда мы	1	1
взятые сами по	2	4
имел в виду	2	1
всякий символ есть	2	2
имеют никакого отношения	1	2
знак есть символ	1	1
или попросту говоря	1	1
они вовсе не	2	1
таком случае не	1	1
ее порождающим принципом	1	1
себе может быть	1	1
потому что оно	2	1
в чем же	1	1
содержит в себе	7	3
и ни о	1	1
если бы он	1	1
то что символ	3	1
что же касается	3	4
тому что в	1	1
ничего символического в	3	1
пор мы рассматривали	1	1
ни о каком	1	2
есть в нем	1	2
существенно а не	1	1
символического в себе	3	1
что же такое	1	3
как специфическую структуру	1	1
и нет ничего	1	1
обязательна и не	1	1
то время как	1	4
символ здесь и	1	1
одно и то	1	3
нечто иное чем	1	1
в настоящее время	3	2
потому что все	1	1
это значит что	1	2
не может быть	2	5
не чем иным	1	1
он является в	1	1
еще не есть	4	2
имеют ничего общего	4	1
даже и в	1	2
только то что	4	2
потому что для	1	1
же в таком	1	1
мы говорили выше	2	1
можно было бы	2	3
теории символа ведь	1	1
у нас выше	2	2
в этом случае	2	5
по себе может	1	1
мы должны сказать	2	3
а то что	1	2
только в виде	1	1
нельзя сказать что	1	1
в первую очередь	1	3
на нечто иное	2	1
таким образом что	1	1
в результате этого	1	1
то и другое	2	1
вовсе не так	1	1
везде и во	1	1
понятии символа мы	1	1
на первый взгляд	1	2
и нераздельное целое	1	1
даже и не	2	4
искусства и литературы	1	1
имеет значение не	1	1
с которыми мы	1	1
по себе но	3	1
ряд отдельных единичностей	1	1
и вовсе не	4	4
и это не	1	1
