4gram	Potebnia_Myslijsyk_partition_part1_wordlist_4gram	Potebnia_Myslijsyk_partition_part4_wordlist_4gram
заключается в том что	1	1
в том смысле что	1	1
но тем не менее	2	3
в действительности язык развивается	1	1
одного и того же	1	2
том виде в каком	1	1
согласие в мыслях вместе	1	1
связанная с ним мысль	1	1
человек впервые пришел к	1	1
вместе непонимание всякое согласие	1	1
понимание есть вместе непонимание	1	1
лицом к лицу с	1	1
требуют дополнения со стороны	1	1
на то же выйдет	1	1
тем не менее в	1	1
том смысле в каком	1	3
сказать несколько слов об	2	1
потому что как же	1	1
в том и другом	1	2
а в том что	1	2
непонимание всякое согласие в	1	1
и т д то	1	1
мы в то же	1	1
по мере того как	4	3
несколько слов об отношении	1	1
что бы они ни	1	1
слова не было бы	1	1
только в том что	1	4
все более и более	2	2
всякое понимание есть вместе	1	1
и в том что	1	1
понимание было бы невозможно	1	1
не что иное как	2	2
выше мы видели что	1	1
не в том что	1	2
есть вместе непонимание всякое	1	1
не заключает в себе	1	1
но и в том	1	1
действительности язык развивается только	1	1
только в обществе и	1	1
то же следует сказать	1	1
развивается только в обществе	1	1
или что на то	1	1
к одной и той	1	1
слова подобно тому как	1	1
одной и той же	1	3
в то же время	3	3
в том смысле в	1	3
и т п и	1	1
в то время когда	1	1
мнения о сознательном изобретении	1	1
только в том смысле	1	2
дело в том что	1	2
но самое это слово	1	1
и то и другое	1	1
что на то же	1	1
всякое согласие в мыслях	1	1
лишь по мере того	1	1
уже по этому одному	1	1
язык развивается только в	1	1
в том виде в	1	1
возможно только тогда когда	1	2
