2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram
есть как	1	1
все же	9	2
его в	6	2
времени и	1	4
платон в	1	1
и тоже	1	2
вся эта	1	2
чем иным	2	2
этой трагедии	3	1
не худо	1	1
обратно на	1	1
в значительной	2	2
он теперь	1	1
и каждый	1	2
среди этих	1	1
даже в	1	1
на душе	2	1
но тогда	1	1
мы имеем	2	6
и к	4	3
к другому	1	1
человеческой истории	1	1
как о	4	3
мы читаем	6	2
таком случае	2	1
кроме того	2	4
некоторого рода	4	2
глубоко и	1	3
от нее	1	1
то мы	1	2
так и	7	10
чем не	1	1
только еще	3	1
что символика	1	1
и т	1	4
когда мы	1	5
еще и	4	3
и у	5	1
с зевсом	4	1
предисловии к	1	1
тем самым	1	4
то что	18	15
этой жизни	1	1
сейчас в	1	1
не как	1	1
и от	1	6
с разными	1	1
не прямо	2	3
никак не	8	4
думал что	1	1
превращения ее	1	1
эти мифологические	1	1
от всякого	1	1
отвлечься от	1	1
бы то	2	1
появляется у	1	2
в одном	3	4
в свою	2	1
цивилизации в	1	1
иное как	3	2
тому же	1	2
нет никакой	3	4
несмотря на	6	4
i мало	1	1
нет никакого	3	3
это уже	2	3
связи с	7	3
космоса и	2	2
ни в	4	17
из двух	1	1
типа в	1	1
необходимо сказать	4	3
то время	3	2
что в	5	3
он с	1	2
прометей как	8	1
нас в	4	1
однако в	3	2
однако подобного	1	1
в начале	3	3
за ним	1	2
в своей	22	4
как раз	5	4
уже и	2	3
входить в	1	1
все в	3	3
на первый	1	1
чтобы был	1	1
всякого человека	1	1
и миф	1	1
с его	1	2
этого счастья	1	1
символ здесь	2	1
что она	1	4
бы и	1	3
примеров мы	1	1
что если	1	1
обратить внимание	3	1
о чем	1	1
себе в	1	3
и что	6	2
от страха	1	1
которые как	1	3
и все	9	8
то только	1	2
этого анализа	1	1
никто не	1	2
которое указывает	1	1
о подлинном	1	1
человеческой жизни	2	5
представляет собою	2	1
в ночь	1	1
поскольку однако	1	1
и о	5	5
уже вполне	1	1
жизни и	2	5
в поэме	2	1
ему и	1	1
в противоположность	3	1
и притом	5	2
из которых	1	3
в мировой	1	1
что эта	1	1
в них	2	5
для искусства	1	3
и весь	1	3
при изучении	1	1
этому поводу	2	1
мере не	1	5
и так	1	1
раз только	1	1
не то	2	2
сам же	3	1
а он	1	1
не может	5	5
сомневается в	1	1
могут быть	1	1
человеком а	2	1
если не	4	3
и видение	1	1
сказать что	9	7
лишь с	1	1
то есть	21	27
отнюдь не	4	10
находил в	1	1
того или	1	3
других областях	1	1
вместе с	7	5
слова но	1	3
символ человеческого	1	1
такого рода	2	7
в том	12	20
здесь говорится	2	1
все прочие	1	1
в его	12	3
это время	2	1
это просто	1	1
этот образ	2	1
и прочие	2	1
разного рода	4	1
говорится о	4	1
о том	12	5
xx в	1	1
отношение к	2	1
символом человеческой	1	1
в виду	3	6
на то	2	1
который мы	1	1
в самой	3	4
да и	2	5
большинстве случаев	1	1
уже о	1	1
в черном	1	1
кратчайшей форме	1	1
есть только	3	2
которая не	1	3
мы и	2	1
здесь вообще	1	1
эта картина	1	1
является символом	2	6
не все	2	1
как мы	2	3
однако не	1	4
так чтобы	1	2
это ясно	1	2
к которым	1	1
может быть	7	9
и можно	1	5
то в	1	2
и его	6	10
всего мира	1	1
правда в	1	3
в отношении	3	4
были бы	1	3
этого стихотворения	1	1
вовсе не	8	21
который является	1	2
себя самого	2	1
он прекрасен	1	1
была бы	2	2
искусства в	1	1
в виде	10	22
не на	1	1
с тем	5	4
а после	1	1
здесь нет	1	3
стороны это	2	1
настоящее время	3	1
прометея как	17	1
который в	9	1
ни было	1	2
из этого	4	3
том смысле	1	2
этот символ	1	3
в символе	2	6
здесь не	7	7
даже если	1	3
о себе	2	3
той или	1	14
от тех	1	1
ни о	1	4
бы в	1	1
и нет	2	1
иным как	2	2
говоря уже	1	2
тот же	3	2
для них	3	2
сравнении с	3	2
то чтобы	1	1
тем как	2	1
ею и	1	1
мы встречаемся	1	1
стихотворении н	2	1
в таком	2	6
но является	1	3
в частности	4	2
что здесь	2	6
качестве символа	1	1
здесь символ	1	1
менее в	1	1
то он	1	2
на этой	1	2
вот тут-то	1	1
и даже	14	9
не было	1	3
третьестепенное значение	1	1
и очень	1	5
и тем	3	7
значительной мере	2	2
того чтобы	2	2
и при	1	1
в своих	1	1
только в	9	23
в смысле	4	5
в античной	2	1
тоже не	2	1
больше всего	1	1
другой стороны	6	6
с ними	1	2
в этой	10	4
из тех	2	1
живые существа	1	1
не могли	1	2
то и	2	5
необходимо будет	1	1
всяком случае	2	4
античной мифологии	2	1
свидетельствует о	2	2
веры в	1	1
тут-то и	1	1
мыслить и	1	1
есть самый	1	1
и вполне	4	5
но для	2	1
и сама	2	3
символики это	1	1
как в	2	5
во всяком	2	8
говорит не	1	1
и не	12	28
верить в	1	1
себе а	2	1
со всеми	2	2
и вообще	9	6
и бессмертных	2	1
таким образом	13	8
тем более	1	4
близка к	1	1
не говоря	1	3
жизни в	4	2
вместе со	1	1
и слишком	1	1
разве только	1	1
тем что	2	3
не думает	1	1
уже в	2	4
образ этот	1	1
с теми	1	1
и после	3	1
трактуется как	1	3
это и	1	4
образ самого	1	1
и самих	1	1
для получения	1	1
и общественной	1	1
не только	18	24
и полной	1	2
указать хотя	1	1
он не	3	2
отличать от	1	1
которые тоже	1	2
все эти	2	16
вот что	1	1
только путем	1	1
есть он	1	1
гесиода и	1	1
это был	1	1
в данном	2	6
здесь вовсе	1	1
в атмосфере	2	1
ряд своих	1	1
хотя уже	1	1
тем же	3	1
нас и	2	1
в литературе	1	2
и потому	1	7
содержит в	1	8
с самого	1	1
здесь конечно	2	2
в их	1	1
т д	1	3
мы находим	7	2
мира и	2	1
достаточно глубоко	1	1
в себе	4	12
и он	4	2
в рассказе	1	1
на его	2	2
именно он	1	1
к тому	2	3
на основе	1	1
которые у	1	1
здесь мыслится	2	1
перед нами	1	13
одной стороны	3	1
на всю	1	1
бы не	3	1
и те	1	1
из них	2	3
для их	1	1
и для	6	4
жизни это	1	1
это только	1	1
в области	2	3
для человека	1	1
в сравнении	3	2
до конца	1	1
до степени	1	1
ужасен он	1	1
но даже	4	4
вообще и	2	1
начала до	1	1
и вместе	1	1
этот же	1	1
по себе	2	11
гесиод и	1	1
даже и	4	13
и является	2	3
не менее	5	10
и страшной	1	1
еще не	3	7
и этого	1	1
смешиваются в	1	1
на первом	3	1
в году	5	1
с ним	3	4
страха и	2	1
заметим что	1	3
к его	1	3
но на	1	1
в конце	8	2
имеем в	1	3
не вполне	1	2
а в	6	4
тому что	1	1
эта последняя	1	1
и зевс	3	1
тех или	2	4
и более	2	3
первый взгляд	1	1
и тогда	2	2
весь этот	1	2
в непрерывном	1	1
просто художественное	1	1
а во-вторых	1	1
и вот	1	1
дело в	2	2
поэтому и	2	1
в своем	11	3
солнца и	1	4
в нашем	1	12
за то	2	1
и без	2	6
жизни они	1	1
и на	6	3
был символ	1	1
вплоть до	1	3
человеческого стремления	1	1
бы на	2	1
есть уже	1	1
по крайней	4	6
или вернее	3	2
и понятия	1	2
в одно	1	6
для тех	1	1
вообще не	1	3
на земле	9	2
нем и	1	1
для того	3	3
жизни с	1	1
нужно считать	1	1
все такого	1	2
с теорией	1	1
как и	7	6
потому что	13	15
числе и	1	1
и всех	1	2
нуждается в	1	1
или иную	1	1
в бесконечный	2	14
что для	1	1
ему в	1	2
работ в	1	1
удивительно что	1	1
в самом	5	2
убедимся в	1	1
только и	3	5
по этому	2	2
дается в	1	1
смысле что	1	1
в то	4	4
поэтому в	1	1
и то	5	2
никогда не	7	1
при его	2	1
верит в	2	2
всех этих	1	6
можно ли	1	3
конца xix	1	1
и в	30	20
все время	3	2
в эпоху	3	1
так же	5	5
поскольку она	1	1
всего космоса	2	1
и самый	1	1
без всякого	2	4
