2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_2gram
а напротив	2	2
его в	3	1
все же	4	4
художественную реальность	1	2
печорина в	1	3
от луки	2	1
эстетического отношения	3	8
связь с	2	1
словами гегеля	1	1
между которыми	1	1
и всякого	1	1
не следует	1	4
субъективной стороной	1	1
текста полностью	1	1
часть третья	1	2
подобно тому	3	3
не от	2	1
известном смысле	1	1
при известии	1	1
даже в	2	3
этом как	2	1
покойного ивана	4	1
а от	1	1
мы имеем	5	6
и к	4	3
и четвертой	1	1
эстетической модальности	5	1
с языком	1	1
конечном счете	2	4
не становится	1	2
в притче	4	1
независимо от	1	1
таком случае	1	3
текста но	1	3
автора не	1	1
его и	1	2
быть признано	1	1
так и	14	4
евангелия от	2	1
этому пути	1	1
целого как	2	2
не является	5	2
как было	1	1
за пределы	1	2
и авторской	1	1
один и	1	1
определенного типа	1	1
которыми располагается	1	1
анализ текста	1	2
в известном	1	1
тем самым	4	7
как сам	2	1
я с	2	1
на всех	1	1
но как	3	1
то что	2	6
во-вторых они	1	1
не как	2	1
всякое высказывание	2	1
произведения то	1	1
и от	2	1
и фактически	1	1
как единого	1	2
художественности и	1	1
было показано	1	1
составляет своего	1	2
соответствующую ей	1	1
возвращение в	1	1
его как	3	1
в особенности	3	1
искусства слова	1	1
в точке	2	1
в одном	4	1
в свою	5	1
этой второй	1	1
из первых	1	1
фазы обособления	1	1
иное как	1	5
тому же	3	4
в коммуникативной	1	1
целого или	1	1
несмотря на	2	2
той же	5	2
личность и	1	1
от себя	1	3
если бы	1	3
иначе говоря	2	9
та же	1	1
связи с	1	1
может иметь	1	2
полного текста	1	1
между собой	1	2
и той	2	1
текста с	4	1
что в	9	5
тексте но	1	1
модуса художественности	3	1
однако в	5	3
в начале	6	2
произведением в	1	1
в своей	1	6
как раз	7	1
к числу	2	1
было и	1	1
в основе	1	6
не должно	3	1
эстетический объект	1	6
с его	8	3
читателя не	1	3
этих двух	1	1
речевого общения	1	1
и адресата	1	2
адресата и	1	1
в состав	1	3
как правило	5	4
на наш	2	6
случае его	1	1
в той	2	8
о чем	4	1
по мысли	1	3
себе в	1	2
зависимости от	1	1
произведения со	1	1
ибо он	1	1
фиксации и	1	1
восходящая к	3	2
коммуникативным событием	2	1
и все	2	3
> и	1	1
личности как	1	1
особенности же	1	1
о подлинном	1	1
с иными	2	1
бы мы	1	1
осмеяние и	1	1
фаза обособления	1	1
чего она	1	1
еще одно	1	1
и о	1	2
жизни и	1	1
с целым	1	1
себя и	1	4
ему и	1	1
в противоположность	2	2
и слушающих	1	1
из которых	1	4
в них	2	1
только не	3	2
евангельской притчи	1	1
в.т >	1	1
место в	1	3
заключительной стадии	1	1
типов высказывания	1	1
не есть	4	8
произведение оно	1	1
те же	2	1
основного действия	1	1
сознания с	1	1
без исключения	3	1
не может	2	22
могут быть	2	4
креативная компетенция	5	1
иметь дело	2	1
первых двух	1	1
состоит не	2	1
то есть	10	11
отнюдь не	4	15
того или	1	3
вместе с	2	4
такого рода	5	5
и одновременно	1	3
лиминальная фаза	1	3
в том	9	27
с текстом	1	3
молодого человека	1	1
втором случае	1	1
в его	7	13
но от	1	1
к анекдоту	2	1
полной мере	1	3
и т.п	5	5
в акте	1	2
его речи	1	1
этой эстетической	1	1
мысль о	3	2
и может	1	1
текстом и	1	2
разного рода	1	3
в диалоге	1	1
организации текста	1	3
и смыслом	1	2
о том	6	5
речевых жестов	1	1
между тем	5	5
отношение к	1	2
в текст	1	3
являет собой	3	1
непрямого говорения	1	1
с деньгами	1	1
культуры и	1	1
который и	1	1
эстетического дискурса	1	10
в самой	1	1
к самому	1	1
да и	2	1
во всей	1	1
уже о	1	1
мы и	1	1
природе своей	1	2
утверждал что	1	1
раз во	1	1
говоря словами	2	1
мире тоже	1	1
не все	1	2
как мы	1	2
от своего	1	2
как я	1	1
этой части	1	1
иного рода	1	2
может быть	9	29
не должен	2	2
данного художественного	1	4
художественного дискурса	2	1
то в	2	2
и его	13	5
не можем	1	1
внешнего мира	1	2
научному описанию	1	1
вследствие этого	1	3
основе своей	1	2
были бы	3	1
со мною	2	1
вовсе не	1	2
может выступать	1	2
человеческого я	2	2
себя самого	1	1
есть не	2	8
будет никогда	2	1
сколько в	1	1
с тем	2	1
я не	1	1
который в	3	2
три стороны	1	1
из этого	1	1
смысл произведения	1	3
к художественному	1	1
время они	1	1
здесь не	3	2
о себе	2	1
в глубине	2	1
каждый из	1	2
той или	3	6
границах литературного	1	1
вслед за	1	1
а о	1	1
говоря уже	1	1
отличие от	2	6
речевой акт	1	1
собой один	1	1
произведения так	1	1
которого до	1	1
тот же	1	1
это путь	1	1
со стороны	9	2
ингредиентов целого	1	2
стороны коммуникативного	1	1
тем как	1	1
к тексту	2	2
этой причине	1	1
в таком	1	3
читатель может	1	1
по бахтину	1	2
нас к	1	1
в частности	12	19
как говорит	3	2
мира эст	2	1
и испытаний	1	1
само произведение	2	2
не было	3	1
и даже	8	1
вопроса о	2	3
нам не	2	1
как предмет	1	4
того чтобы	1	3
в своих	1	1
только в	2	6
в этой	6	5
другой стороны	5	2
который поспешно	1	1
или иного	1	3
отношению к	7	5
приобщения к	2	1
всяком случае	2	1
самим собою	1	1
не принадлежат	1	1
служить и	1	1
видеть в	2	1
человеческая ценность	1	1
целое как	1	1
высказывания в	1	1
от нас	1	1
как в	3	1
самсона вырина	2	1
не случайно	8	3
во всяком	2	1
и не	12	21
мы уже	1	1
наш взгляд	2	6
текста как	1	1
и ожил	1	1
от своей	2	1
целого а	1	1
их внутреннюю	1	1
произведение не	1	2
таким образом	4	3
тем более	1	2
первой части	1	1
по своему	2	1
полагал что	1	1
не говоря	1	2
жизни в	1	1
собой лишь	1	1
поспешно принимает	1	1
он как	1	1
персонажа в	2	1
искусства как	1	1
не только	22	15
его частей	1	1
он не	6	3
объекта и	1	3
наконец в	1	1
все эти	2	2
внимание к	1	1
жизненной позицией	1	1
быть ни	1	1
канонической жанровой	1	1
особенно в	1	2
в данном	4	2
как уже	2	2
в пределах	4	2
одну из	2	1
не снимает	1	1
может и	1	1
но о	1	2
высказывания и	1	1
искушений и	1	1
в литературе	1	4
и потому	2	2
частности ни	1	1
слова в	1	1
случае не	1	2
в их	6	5
со своим	1	1
меня к	1	1
произведение искусства	4	9
однако с	3	1
мира и	2	1
жанровая стратегия	3	1
в себе	2	11
наличии у	1	1
все их	1	1
на примере	2	2
события как	1	1
старик в	1	1
и того	3	5
на его	2	2
по этой	1	1
между ними	1	1
эстетических модальностей	1	1
как известно	1	3
личности в	3	3
к субъекту	1	1
к тому	6	7
встреча с	1	1
трех фундаментальных	1	1
значении этого	1	7
и становится	1	1
в восприятии	1	1
таким же	1	1
и систематизации	1	1
художественное произведение	1	5
в культуре	2	3
перед нами	4	1
по рассуждению	1	2
одной стороны	2	3
как если	1	1
бы не	1	2
его автора	2	1
слово о	1	1
в соответствии	2	1
как нам	5	1
жизни героев	1	1
именно такова	1	1
при рассмотрении	1	3
и для	2	1
не более	2	4
равнопротяженных тексту	1	1
в новом	2	2
не вызывает	1	1
имеем дело	4	4
с художественной	1	1
воспринимающего сознания	3	5
немецкими картинками	3	1
литературных произведений	3	1
из виду	1	2
художественного мира	1	2
в первом	2	2
произведение есть	1	1
ивана петровича	10	1
одного и	3	2
по пути	4	1
по себе	4	4
и является	1	2
не менее	4	1
еще не	6	3
в году	3	1
он сам	1	1
однако все	1	1
с ним	1	4
не столько	3	2
целым рядом	1	1
к его	1	1
слова как	1	1
в принципе	2	8
и приводит	1	1
текста даже	1	2
все еще	1	1
а в	10	9
из евангелия	2	1
представляет собой	5	16
литературоведческий анализ	1	2
в станционном	4	1
и тогда	1	2
своей природе	1	1
с самим	2	1
и должно	1	1
цикла к	1	1
по преимуществу	2	1
ни единого	1	1
его собственной	1	1
является в	1	1
ни был	1	1
одного из	1	2
и на	4	5
в ходе	1	3
вплоть до	2	1
не имеют	1	1
лиминальной фазой	1	1
от него	1	1
петровича белкина	8	1
ролевую границу	1	1
по крайней	4	1
отношения не	1	1
был мертв	1	1
эстетического объекта	2	11
по его	3	1
для того	1	4
первом случае	1	2
дело уже	1	1
высказывания или	1	1
как и	14	13
тому как	2	3
всех последующих	1	1
потому что	1	2
нуждается в	2	8
состоит лишь	1	1
этого персонажа	1	1
в самом	5	6
по этому	1	1
тогда как	20	14
же время	3	6
всего текста	1	1
возникает в	2	1
в то	3	9
по отношению	7	6
никогда не	5	2
партнерства в	1	1
этом отношении	3	2
всех этих	1	1
можно читать	2	2
слова не	1	1
и в	18	18
в мире	5	8
литературного дискурса	1	1
по природе	1	3
так что	1	1
произведения не	1	1
нам представляется	2	1
или идее	1	1
все они	2	1
не сводится	1	2
и только	1	1
но откровение	1	1
но не	7	10
проиллюстрируем сказанное	1	1
герой в	1	1
хотя в	2	1
мирового археосюжета	1	2
до полного	1	1
же году	1	1
субъекта и	2	4
не в	6	14
эстетическая модальность	2	1
в колпаке	2	1
в пушкинском	2	1
человека как	1	1
при анализе	1	1
обряда инициации	1	1
прощается с	1	1
говоря о	1	2
т.д в	1	1
как будто	1	3
для всех	2	1
восходит к	3	1
в полном	1	1
сводится к	2	5
есть в	1	1
мы должны	1	1
не могут	1	3
на заключительной	1	1
сторона дискурса	1	1
художественного письма	1	2
равной степени	1	2
приобщение к	1	1
белкина изданные	3	1
дистанции между	1	1
смерть и	1	1
и до	1	2
текста в	6	12
в конечном	2	4
мог быть	1	1
и иных	1	1
и множеством	1	1
как это	3	1
который не	2	1
сознания однако	1	1
в круге	1	1
лишь в	5	5
символической смерти	1	1
в полной	1	3
более чем	2	4
перед лицом	1	6
каждый компонент	1	1
речь идет	1	1
весьма часто	1	1
благословение и	1	1
я и	3	6
но это	1	1
всего лишь	8	4
художественного содержания	1	1
в составе	2	2
мере в	2	3
объекта в	1	1
самого произведения	2	2
тем в	1	1
события что	1	1
целое то	3	1
участников коммуникативного	3	1
ее в	1	1
этого текста	4	2
же в	2	1
по воле	3	1
произведение является	1	1
при одном	1	1
поскольку произведение	1	1
и самого	6	2
фазой обособления	1	2
для этого	1	2
и т.д	2	1
встречи с	1	2
художественного текста	1	12
это не	2	6
за скобки	1	1
столько в	1	1
к истории	1	1
фактов в	1	1
с другой	7	4
в художественном	1	3
и др	1	1
исторически сложившихся	1	1
и как	4	5
самому в	1	1
в равной	1	3
принадлежит к	4	1
оказывается в	1	2
требует от	1	1
бы ни	1	2
сущности говоря	1	1
и был	1	1
должно быть	1	2
себя конструктивную	1	1
при обращении	1	1
купчихи трюхиной	1	2
далеко не	4	6
дело не	3	3
жизненного поведения	1	1
было бы	3	2
данного текста	2	2
в случае	5	6
как бы	10	5
произведений как	1	1
бы быть	1	3
из перечисленных	1	1
и знаменательна	1	1
какой бы	1	2
остается вне	1	1
от других	1	1
такого знания	1	1
не обязательно	1	1
может выглядеть	1	1
дело с	3	4
прежде всего	5	6
обращении к	1	1
о его	2	1
сомнений не	1	1
точки зрения	3	6
я во	1	2
чужой стране	1	1
всех своих	1	1
не наступает	1	1
а перед	1	1
а с	1	3
не предполагает	2	2
двух основных	1	1
повести покойного	3	1
но и	13	17
на фоне	1	2
в ее	3	1
а затем	1	1
именно в	3	4
до сих	1	1
не знает	1	1
референтную компетенцию	1	1
я на	1	1
очевидным образом	2	1
остается в	1	1
в зависимости	1	1
включая и	1	1
мы по	1	1
и дело	1	1
самим собой	1	2
будто бы	1	3
мы не	3	1
коммуникативное событие	1	6
том чтобы	1	7
кто говорит	2	1
себя в	4	6
до тех	1	1
всей своей	1	1
культурной значимости	1	1
художественной литературы	2	1
мешок с	1	1
во всем	3	1
и соответствующую	1	1
различного рода	1	2
для данного	1	2
здесь мы	1	1
в результате	5	1
одежду и	1	1
роль в	3	2
на самом	1	2
присутствия я	3	1
героев но	1	1
или напротив	1	1
с указанием	1	1
неотъемлемое звено	1	1
коммуникативной стратегии	4	1
художественного высказывания	2	2
субъекту и	1	1
с позиций	1	2
ключевая роль	1	1
времени не	1	1
в целом	3	5
видел в	1	1
целостности человеческого	1	1
эстетическом дискурсе	1	1
текстопорождения и	3	1
данного коммуникативного	1	1
что не	3	3
в чужой	1	1
реальности и	1	2
не что	1	4
а не	9	17
тех пор	2	1
все что	1	1
крайней мере	4	1
упоминаемые в	1	1
с этой	1	1
с одной	2	3
эст в	1	1
в этом	14	13
художественного целого	6	10
известии о	1	1
за рамки	1	1
превращается в	1	1
со своей	8	1
факторов художественного	1	6
собственного текста	1	1
частей целого	1	1
одного сознания	1	1
говоря языком	1	1
что мы	2	3
и ее	2	1
или даже	1	1
текста по	1	1
жанровой стратегии	2	1
фаза преображения	1	2
мертв и	1	1
для себя	1	2
на него	1	1
произведения с	1	2
к статусу	1	1
и целым	1	1
одна из	2	1
иными словами	1	1
собой и	1	1
из этих	3	2
совпадает с	1	2
поскольку в	1	1
это по	2	1
этого слова	2	7
состоит в	4	11
ролевая граница	1	1
только одно	1	1
в качестве	12	31
жизненной позиции	2	2
как формулирует	1	1
едва ли	3	2
и есть	1	3
ведет к	1	3
обряд инициации	1	1
самом деле	2	2
герой не	1	1
мы будем	1	1
по своей	2	6
в сюжете	1	1
могли бы	2	2
в категориях	1	2
он и	3	1
что касается	3	1
если в	3	3
хотя и	2	1
экзистенциального присутствия	1	1
не способен	1	1
заключается в	1	1
они не	1	1
под этим	1	1
коммуникативной ситуации	2	1
например в	2	1
> в	1	3
введено в	1	1
то же	3	9
единого художественного	1	2
художественное целое	6	1
трюхиной и	1	1
если вдуматься	1	1
могло бы	1	1
принимает на	1	1
проявляется в	1	1
героя в	1	2
далека от	1	1
не редкость	1	1
неотделима от	1	1
художественной реальности	3	14
не будет	3	3
совершенно не	2	1
этом смысле	1	1
