2gram	Losev_DialektikaMifa_partition_part1_wordlist_2gram	Losev_DialektikaMifa_partition_part3_wordlist_2gram
диалектики и	2	1
когда они	1	1
была всегда	1	1
мифа должна	1	1
даже –	1	1
все же	3	5
его в	1	1
не вижу	1	1
значит? это	2	1
скажу что	1	1
обе стороны	2	3
об отношении	1	5
они только	1	1
понятие и	1	1
себе не	1	5
пришли к	1	1
науки xvii–xix	1	1
тут именно	1	1
она есть	10	5
о мире	1	1
непосредственное и	1	1
есть для	1	2
итак миф	2	2
что идея	1	1
даже в	1	3
этим я	2	1
мы имеем	1	2
и к	5	1
нему можно	1	1
к другому	1	1
виду что	1	1
не становится	1	1
от этих	1	1
как о	4	2
того и	2	1
кроме того	6	1
закон падения	1	1
быть –	1	1
не отличалось	1	1
только гипотеза	1	3
фикция и	1	1
то мы	1	2
так и	5	9
сознание и	3	1
– больше	2	1
вещи и	1	2
и т	24	21
уже давно	1	1
падения тел	1	1
когда мы	2	1
не нужна	1	1
еще и	2	3
вещь не	2	2
и у	2	2
или химии	1	1
имеет как	1	1
есть нечто	23	10
говорим что	1	2
не наука	3	2
я с	1	1
то что	14	13
но как	2	2
мифе как	1	1
быть настоящим	2	1
не как	1	2
повторяю это	1	1
тем самым	3	1
что тут	1	2
мифа в	2	1
в каком	3	8
и от	3	2
материи и	1	1
тогда она	1	1
мифе и	1	1
мифологии но	1	1
из того	2	2
никак не	2	6
именно то	1	1
и жизни	6	4
его как	3	1
в особенности	7	5
не будучи	1	2
должна быть	6	3
а главное	1	2
о разных	2	1
иное как	6	1
тому же	2	2
нет никакой	4	1
или на	1	2
убежден в	1	1
несмотря на	2	10
той же	3	1
но например	1	1
от себя	4	1
если бы	6	12
та же	1	3
живыми людьми	1	1
связи с	1	1
в мифе	13	12
ни в	9	15
ясным и	1	1
кто не	1	1
пусть миф	1	1
то время	4	1
и той	1	1
как не	2	2
он с	1	1
– итак	1	2
всеми ее	1	1
что в	7	13
имеет никакого	1	3
или она	2	1
наука тут	1	1
собственно говоря	4	4
идея не	1	1
тоже суть	1	1
что их	2	2
но совершенно	2	1
а как	1	1
может ли	3	1
и они	2	1
как раз	7	4
не указывает	1	1
или же	3	1
уже и	3	3
но если	6	5
того кто	3	2
все в	1	1
и вещи	1	1
на первый	4	1
в основе	3	3
миф есть	12	4
эти же	1	1
материи материя	1	1
этих двух	1	1
как только	1	2
приведу еще	1	1
страшного суда	1	1
не знаем	1	1
и больше	4	2
что она	9	7
бы и	1	2
что если	2	2
могу быть	1	1
этот закон	1	1
о чем	1	2
природу в	1	1
и что	15	12
вещи не	1	1
сознание не	1	1
в мифологии	1	4
есть совершенно	1	1
и все	6	3
ни от	4	2
мы говорим	2	4
есть тоже	1	2
или менее	1	3
никто не	2	2
указать на	1	1
бы мы	1	1
сказали что	1	2
и о	3	3
жизни и	5	3
мифе нет	1	3
раз навсегда	2	1
и –	6	14
где есть	2	1
что миф	7	12
и стало	1	2
если наконец	1	1
этом его	1	1
и притом	5	4
природы есть	1	1
что эта	1	4
в них	5	3
а просто	1	2
или нет	5	3
место в	1	1
не зависит	1	1
для понимания	1	1
иметь в	2	3
не есть	54	40
и философии	1	2
и так	1	2
хаос а	1	1
не то	1	6
и ни	3	6
что все	14	1
очень мало	2	2
не может	19	12
– не	7	11
могут быть	2	3
если не	3	1
но лишь	1	4
сказать что	4	10
себе т	1	1
не свойственна	1	2
реален и	1	1
то есть	1	1
отнюдь не	10	9
того или	3	1
но тут	1	1
вместе с	1	1
всех вместе	1	1
сознания и	4	3
мало ли	1	2
и значит	3	3
мифическому сознанию	1	1
в том	5	9
существует особая	1	1
происходит в	1	1
образ и	1	4
в его	2	3
все равно	2	3
но от	1	1
на почве	1	1
в нас	1	1
даны в	1	1
живой и	1	2
не существует	10	7
для мифического	2	6
и может	1	2
действовать и	1	1
бытия но	1	1
науке и	1	1
говоря не	1	2
о том	6	4
от того	4	1
нас самих	1	1
ему только	1	1
его не	2	6
есть ли	5	1
что мир	7	2
в виду	7	5
учение об	1	3
я вижу	3	1
на то	3	5
конечно это	1	1
да и	1	6
явлений это	1	1
есть только	12	5
и позитивизм	2	1
имеется в	3	1
которая не	1	2
должны быть	3	1
мы и	4	2
и мифология	1	5
полная и	1	2
именно так?	1	1
живых личностей	1	2
от своего	2	1
вещи ни	1	1
а потому	1	1
как мы	2	4
но его	3	1
как я	2	1
в видимом	1	1
может быть	13	17
и можно	2	1
в каких	1	1
то в	2	7
ничто не	2	3
и его	5	1
не можем	2	1
вероучением и	1	1
на ту	1	1
что как	1	2
то самое	1	1
или его	1	2
только тогда	3	2
есть реальность	1	1
в отношении	1	5
мифе о	1	1
были бы	1	2
которую не	1	2
вовсе не	13	7
она не	3	6
тогда не	2	1
миф сам	2	2
же тут	4	3
и определенная	1	1
и показывает	1	1
есть не	9	3
была бы	3	3
к ним	1	2
или наоборот	1	2
не больше	3	2
для мифа	3	2
об их	1	1
в виде	8	2
она –	1	3
я не	6	5
это есть	8	9
какими бы	1	1
ни было	1	2
только один	1	1
и идею	1	1
из этого	2	1
здесь не	1	1
даже если	2	3
как миф	2	1
о себе	2	1
той или	2	7
бы в	2	3
ни о	3	5
эти два	1	2
абсолютная необходимость	1	1
он –	7	18
сами не	1	2
нем нет	1	3
миф от	3	1
символом с	1	1
движется и	1	1
сновидений и	1	1
что нет	4	1
это конечно	1	2
сравнении с	3	1
религии и	1	3
со стороны	2	2
свою собственную	1	1
состоит из	1	3
как факт	1	2
вы не	6	1
– и	4	3
существует без	1	1
что мифическое	1	1
самого мифического	1	2
выходе из	1	1
в таком	14	1
именно как	3	2
при чем	1	2
что вы	1	1
вместе и	1	1
в частности	2	2
мифа что	1	1
общества и	1	1
было ни	2	1
учения о	2	2
ибо иначе	3	2
стороны –	1	1
то он	1	2
что законы	2	1
помнить что	1	2
показывает что	2	1
вот тут-то	1	1
и даже	13	13
не было	3	6
и очень	1	1
вопроса о	1	1
чтобы не	1	2
и тем	2	1
и при	1	2
то это	9	4
только в	5	3
жизнь со	1	1
одна и	1	2
могут не	1	1
другой стороны	2	4
кто его	1	2
и всякие	1	1
само по	5	5
т е	48	25
после этого	1	1
что уже	1	2
больше ничего	6	3
история и	6	1
когда она	1	1
существует что	1	1
то и	3	2
науку на	1	1
уже было	1	1
всяком случае	2	2
его с	1	3
ибо не	1	1
о такой	1	1
не сама	1	1
мифа как	1	2
из чего	2	1
и эта	1	2
реальности в	1	1
мир в	3	1
но для	2	1
и я	3	1
нет ни	2	2
что например	1	1
во всяком	2	4
верить в	2	1
и не	27	30
что у	2	1
в сером	1	1
мы уже	3	1
от этого	1	3
и та	1	3
со всеми	2	1
дает для	1	1
говорить и	2	1
и вообще	2	4
таким образом	13	1
тем более	3	2
своего предмета	1	1
действительно есть	2	1
понятий и	1	1
если же	8	1
а миф	1	2
и догмат	1	1
как мифология	2	2
существует ни	1	1
я должен	4	1
все –	2	1
сознания миф	1	1
– одно	2	2
одно и	5	4
различные моменты	1	1
чтобы убедиться	1	1
трактуется как	1	1
это и	7	4
такое же	1	1
у вас	1	1
не только	23	13
объекта и	1	2
он не	5	3
