3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part3_wordlist_3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_3gram
и в этой	2	1
из того что	1	1
е вовсе не	1	1
понимают формалисты и	1	1
все без исключения	2	3
в поэтическом произведении	1	1
и пр и	4	1
у формалистов в	1	1
тема фабула и	1	1
т е именно	1	1
они исходили из	1	1
но при этом	1	1
и теперь эта	1	1
для создания нового	1	1
во всяком случае	5	6
внеположной сознанию данности	1	2
линии т е	1	1
в пределах индивидуального	1	1
мы полагаем что	1	1
материал и прием	3	2
ничего не останется	1	2
в других областях	1	1
как данность внеположная	1	1
времени исполнения и	1	2
метод в истории	1	1
вместе с тем	4	3
в высшей степени	4	2
для того чтобы	3	4
а не как	1	1
в этом случае	1	1
их учения о	1	1
более того можно	1	1
на первый план	2	1
в большинстве случаев	3	4
на самом деле	3	12
при этом не	1	1
в виду что	1	1
что тристрам шенди	1	1
подвести под эту	1	1
процессе этого становления	1	1
общем можно сказать	1	1
в его целом	1	1
как и в	1	1
установка на выражение	1	1
учением формалистов о	1	1
как сделана шинель	4	1
в этом романе	1	3
а вовсе не	1	4
социального общения произведение	1	1
не была бы	1	1
он был бы	1	1
в одной плоскости	1	3
язык как система	1	1
и в то	3	2
в руках эпигонов	1	1
мы имеем в	1	1
к тому что	2	2
в зависимости от	3	5
вот как определяет	3	2
иметь место в	1	1
в истории формального	1	1
элемент художественной конструкции	1	1
реальном времени исполнения	1	2
только в целом	1	1
в его первоначальном	1	1
неразрывной связи с	1	1
первый период развития	1	1
в противном случае	1	1
точки зрения его	1	3
пр и пр	4	1
слово как таковое	1	1
фабула и сюжет	1	2
и не может	3	4
поэтическую конструкцию не	1	1
поэтической конструкции но	1	1
и прием как	1	1
здесь и теперь	4	6
в конкретном единстве	1	1
и поэтическое произведение	1	1
конструкции поэтического произведения	1	1
не могла быть	1	1
с тем же	1	3
это не так	1	1
нам кажется что	1	2
в том что	2	3
лежит в основе	1	1
конструкции и в	1	1
как мотивировка приема	1	3
смысл и звук	1	1
и с помощью	1	1
в художественном произведении	1	3
в нем должна	1	1
но отсюда отнюдь	2	1
формального метода основным	1	1
произведении в его	1	1
в конструкции поэтического	1	1
художественного произведения в	2	1
речи заторможенной кривой	1	1
то же время	5	7
в первый период	5	1
характерно следующее заявление	1	2
и т п	9	5
в конструкцию произведения	1	1
так сказать в	1	1
тем не менее	1	2
бы в конструкцию	1	1
только тем что	1	1
в художественную конструкцию	3	1
зависимости от характера	1	1
в связи с	10	4
слова и предложения	1	1
иметь в виду	1	1
равно как и	1	2
этой мотивировки и	1	1
бы то ни	1	4
в поэтическую конструкцию	2	2
с другой стороны	3	5
элементы художественной конструкции	1	1
совершенно очевидно что	1	1
в данное время	1	1
как мотивировку для	1	2
в отличие от	2	2
отсюда отнюдь не	2	1
было бы наивно	1	1
сам по себе	3	1
данность внеположная сознанию	1	1
можно говорить лишь	1	1
отвлечься от этих	1	1
при этом условии	1	1
истории формального метода	2	1
школ и направлений	1	1
т е вовсе	1	1
ее т е	1	1
и не имеющих	1	1
поэтическое произведение как	2	1
создаются новые формы	1	1
но оно не	1	1
и для всех	1	1
п в основе	1	1
их в той	1	1
всяком случае в	1	2
на выражение как	1	1
чем же является	2	1
смысле этого слова	1	2
она не может	1	1
одной из своих	1	1
в данном случае	1	4
формальный метод в	2	1
поэтической конструкции в	1	1
но все же	2	1
пределах индивидуального организма	1	1
в реальном времени	4	3
для них символ	1	1
именно в этом	1	1
в той же	1	1
произведения как внеположной	1	1
один из моментов	1	1
в ней и	1	1
перестал бы быть	1	1
так и в	3	2
самом деле ведь	1	1
суть вовсе не	1	1
в такой же	1	1
как его понимает	1	1
допустимо лишь в	1	1
с одной стороны	1	1
с установкой на	1	2
представляется нам в	1	1
если же мы	1	1
эйхенбаума как сделана	3	1
не есть литература	1	1
и тот же	1	1
т п в	1	2
в то же	5	7
со всею полнотою	1	1
в этом отношении	7	3
только в связи	1	1
т е поэтическая	1	1
спрашивается что же	1	1
поэтической конструкции и	2	2
т е в	1	1
как мы видели	4	2
отнюдь не следует	2	1
на этом фоне	1	2
обратную пропорциональность смысла	1	1
языка и его	5	1
самой поэтической конструкции	1	1
схемой для понимания	2	1
