4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part1_wordlist_4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part5_wordlist_4gram
в эпизоде воспитания гаргантюа	1	1
нас в том что	1	1
в значительной мере и	1	1
принадлежит к самой природе	1	1
в их неразрывном единстве	1	1
в том числе и	2	7
в области мысли и	1	1
в условиях буржуазной культуры	1	1
и в известной мере	1	1
взглянуть на мир другими	1	1
в конце xv века	1	1
шута и дурака как	1	1
как мы уже сказали	1	3
и в эпизоде с	1	1
тела и телесной жизни	1	1
до сих пор еще	2	3
играют существенную роль в	1	1
в той или иной	1	5
во всей мировой литературе	1	1
на самом же деле	1	3
xii и xiii веков	1	1
но дело в том	1	1
адама де ля аля	1	1
века и в эпоху	1	2
точки зрения на мир	2	1
в то же время	9	1
на мир другими глазами	1	1
дошедших до нас рукописей	1	1
и в значительной степени	1	1
области мысли и мировоззрения	1	1
еще и сегодня в	1	1
средние века и в	1	2
между телом и миром	1	1
дело в том что	2	2
пафосом смен и обновлений	1	1
в резком противоречии с	1	1
количество дошедших до нас	1	1
мы уже говорили что	1	2
на котором мы остановимся	1	1
той или иной форме	1	4
в средние века и	1	2
чтобы взглянуть на мир	1	1
зрения на мир от	1	1
нужно сказать что и	1	1
на народных языках и	1	2
но в то же	5	1
пир на весь мир	2	1
переплетаются друг с другом	1	1
