4gram	Ircho_Komedia_partition_part1_wordlist_4gram	Ircho_Komedia_partition_part3_wordlist_4gram
из чего следует что	1	1
с этой точки зрения	1	1
и к тому же	1	1
в то время как	2	4
к тому же не	1	1
состоит в том что	1	1
фр добавим к этому	1	1
чем когда бы то	1	2
iii в н э	1	1
в до н э	1	1
мы встречаем в комедии	1	1
можно сделать вывод что	1	1
не говоря уже о	1	2
бы то ни было	2	2
в то же время	4	4
не выражал ни малейшего	1	1
к одному и тому	1	1
когда бы то ни	1	2
при марафоне и саламине	1	1
одному и тому же	1	1
обращает на себя внимание	1	1
то же самое касается	2	1
ни малейшего намека на	1	1
