4gram	Vygotskiy_Psychologia_partition_part1_wordlist_4gram	Vygotskiy_Psychologia_partition_part5_wordlist_4gram
заключается в том что	4	3
не могут иметь никакого	1	1
одного и того же	2	1
указывает на то что	2	3
с этой точки зрения	1	4
в том что по	1	1
в то время как	1	5
что это действительно так	1	1
с и в самом	1	1
состоит в том что	2	1
в конце концов только	1	1
но вместе с тем	1	1
мы никогда не найдем	2	1
что в применении к	1	1
никак не могут быть	1	1
образом мы видим что	2	1
нас в сущности говоря	1	1
никак не может быть	1	2
сами по себе не	1	1
вступить в противоречие с	1	1
именно в силу того	1	1
таким образом мы видим	1	1
относится к содержанию как	1	1
и в том случае	1	1
не что иное как	2	1
с психологической точки зрения	1	3
с одной стороны мы	1	1
искусства совершенно очевидно что	1	1
что всякое художественное произведение	1	2
формы и содержания и	1	1
с такого же мнения	1	1
которые никак не могут	1	1
в собственном смысле слова	1	2
с одной стороны и	1	1
мы примем во внимание	1	1
с так же точно	1	1
одной и той же	2	3
так же как и	1	1
о том что она	1	1
составные части но не	1	1
одно и то же	3	1
так же точно и	1	1
и в самом деле	1	2
можно легко показать что	2	1
двух планах с одной	2	1
что с точки зрения	1	1
один и тот же	1	1
в том или ином	1	1
дело в том что	1	1
до тех пор пока	2	1
в том что мы	1	1
не в полной мере	1	1
в силу того что	1	2
и для того чтобы	1	1
и исходя из этого	1	1
если принять во внимание	1	1
несмотря на то что	1	2
мы видели что в	1	1
заключается в том чтобы	1	3
роль которая выпадает на	1	1
на то что все	1	1
планах с одной стороны	2	1
одним и тем же	3	1
в двух планах с	2	1
