2gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_2gram
а напротив	1	1
его в	1	3
все же	2	4
никем не	1	1
от всех	1	1
эстетического отношения	1	1
собственное слово	1	1
никого не	1	1
что ему	1	3
подобно тому	2	2
природного бытия	1	1
[] во	1	1
не от	1	1
общего с	1	2
между я	3	3
мира []	1	3
литературного письма	1	2
даже в	4	2
этом как	1	3
ко всему	2	2
писал что	1	1
мы имеем	1	1
конечном счете	5	4
право на	3	1
реабилитация художественности	1	1
к труду	1	1
власти коммуникативная	1	1
художественное творчество	1	1
всеединая основа	1	1
как явление	1	1
до последнего	1	1
эстетического субъекта	3	9
один в	1	1
мыслит себя	1	1
зрителя слушателя	1	3
в историческом	1	1
булат окуджава	1	1
в концовке	1	1
восклицает о	1	1
борис пастернак	1	1
из таких	1	1
как теперь	1	1
так и	7	4
писателем и	1	1
и соцреализму	1	2
не является	2	2
быть названа	1	1
при таком	1	1
на другого	1	2
так называемый	1	2
утверждают свое	1	1
для кого	2	1
частных элементов	1	1
личности с	1	1
за пределы	1	2
нашего столетия	2	3
еще и	1	3
традиции как	2	1
он же	1	1
с читателем	2	2
причастностью к	1	1
как сам	1	1
то что	7	10
творческого акта	1	1
но как	2	1
о собеседнике	1	1
тем самым	3	5
во-вторых они	1	1
свобода от	1	4
частное бытие	1	1
элементов а	1	1
и от	1	1
глядит на	1	1
собою когда	1	1
из того	2	2
никак не	1	1
о.э мандельштама	1	1
принадлежит традиции	1	1
врага ветхозаветный	1	1
имитация соцреализма	1	1
или нет?	1	2
и жизни	3	1
творческой рефлексии	2	5
в особенности	1	1
по которым	1	1
не будучи	1	1
хх веке	4	5
должна быть	1	2
бы то	1	1
в одном	2	1
в свою	1	1
но одновременно	1	2
есть культура	1	1
не подавляет	1	1
сознания дискурс	2	2
той же	2	3
а скорее	1	1
мышления и	1	2
неотрадициональной ориентации	1	1
иначе говоря	1	1
стихотворения в	1	1
очерк второй	1	1
субъективности самоактуализация	1	1
от себя	1	2
связи с	1	6
этого сознания	1	1
в годы	2	1
что в	4	3
не поглощает	1	1
враждебное воплощение	1	1
замечает и.п	1	1
этой цели	1	2
однако в	6	2
в начале	3	1
так я	1	1
на единой	1	1
вести о	1	1
в своей	1	4
как раз	2	4
того кто	1	1
русской классической	2	7
в основе	2	3
и адресата	1	4
личность не	1	2
тексте не	1	1
постановка проблемы	1	1
все более	1	2
на наш	3	5
как правило	3	2
нового типа	1	1
себе в	1	2
и что	2	1
по мысли	1	2
отношению ко	1	1
к неотрадиционализму	1	1
у маяковского	2	1
этой книге	1	2
у кого	1	1
потребности в	1	1
как скульптор	1	1
а.а ахматовой	1	1
это мир	1	1
и все	1	1
внутренней свободы	2	2
классицизма в	1	1
них дает	1	1
от всего	1	1
как новый	1	1
я а	1	1
подлинная цель	1	1
[] такого	1	1
в жизнь	1	1
относительно объекта	1	1
и о	1	1
жизни и	4	3
в ранг	1	1
в поэме	4	1
себя и	2	1
в противоположность	2	1
хронотоп крестного	1	1
из которых	2	1
него в	1	1
ничего общего	1	1
в них	2	1
не бывает	2	1
не поддается	1	1
бунт против	1	1
другого новозаветный	1	1
по сути	1	1
искусство это	1	1
с миром	1	4
я из	1	1
сам же	1	1
не может	9	5
могут быть	2	2
и за	2	1
а утверждают	1	1
но лишь	3	1
из ключевых	2	1
полный простор	1	1
то есть	5	6
в индивидуальном	1	2
отнюдь не	4	2
не могло	1	2
произведения искусства	2	3
вместе с	5	1
эстетической реальности	1	1
году проницательно	1	1
отталкиваясь от	1	4
по барту	1	1
в третьем	2	1
такого рода	9	10
культуры маяковский	1	1
а к	2	1
в том	10	16
началу жизни	1	1
в кругозоре	3	2
ветхозаветный хронотоп	1	1
ср у	1	1
в его	4	7
в миропорядке	1	1
и т.п	10	4
барахла культуры	1	1
диалога но	1	1
вокруг себя	1	1
дискурс власти	3	1
сообща и	1	1
мысль о	1	1
