3gram	Tiupa_DiskursIZhanr_partition_part2_wordlist_3gram	Tiupa_DiskursIZhanr_partition_part1_wordlist_3gram
его излишним впрочем	1	1
глава нарративная лирика	1	1
конкретного лица в	1	1
можно так выразиться	1	1
но при этом	3	2
архетипические ситуации общечеловеческой	1	1
читателя что он	1	1
немногочисленных и как	1	1
сказанием и сказкой	1	1
во всяком случае	1	1
в силу своей	2	1
глава рассказ как	1	1
и того же	2	2
в напряжении событийного	1	1
дело не с	1	1
и описаний акцентированная	1	1
ивана петровича белкина	1	2
в наше время	2	2
описаний акцентированная роль	1	1
о том что	5	3
в романную эпоху	1	1
универсальные архетипические ситуации	1	1
анекдот коего мы	1	1
в качестве референтной	1	1
мы имеем дело	2	1
и может быть	1	2
а не как	1	1
в этом случае	1	2
лицом к лицу	1	1
субъекта объекта и	1	1
как коммуникативного события	1	1
в большинстве случаев	1	1
выхожу один я	1	1
лирического дискурса и	1	1
дискурса и генезис	1	1
в том числе	2	1
в полной мере	1	1
то чтобы не	1	1
чужой речи и	1	1
не состоит в	1	1
нарратива и перформатива	1	1
и мн др	1	2
белкина в себе	1	1
как и в	1	5
роль в генезисе	1	1
потому что в	1	1
глава жизнеописание как	1	1
письма в частности	1	1
в первую очередь	1	2
не говоря уже	2	1
оно живет в	1	1
по словам с.с	1	1
свершение в ряду	1	1
[...] в нем	1	2
деталей краткость и	1	1
той или иной	3	3
прежде всего в	1	1
и в то	1	1
как уже было	1	1
но здесь это	1	1
в его событийной	1	1
в свое время	1	2
пушкиным в повестях	1	1
уверяем читателя что	1	1
звучит один голос	1	1
тогда как наррация	1	1
одного и того	2	2
в выходе за	1	1
в жанровом отношении	1	2
л.с выготским и	1	1
со стороны адресата	1	1
отграниченная система смыслов	1	1
безапелляционное в своей	1	1
происходит только то	1	1
себе не заключает	1	1
в период своего	1	1
времени в качестве	1	2
участников коммуникативной ситуации	1	1
и не может	1	2
коммуникативного события в	1	1
перформативного слова не	1	1
декларативный и медитативный	1	1
и н.и жинкиным	1	1
он излагается как	1	1
по справедливому замечанию	2	1
оцененном мире лкс	1	1
это отнюдь не	1	1
не было в	2	2
в том что	13	6
памяти ивана петровича	1	1
дифференцированном и оцененном	1	1
и т.п но	3	1
коммуникативного события тогда	1	1
не следует мыслить	1	1
мы не помещаем	1	1
к лицу с	1	1
а сам действователь	1	1
своей коммуникативной природе	1	1
то же время	4	5
свидетеля и судии	1	1
одной стороны и	2	2
и медитативный векторы	1	1
в ситуации выбора	1	1
несет в себе	1	2
и генезис лирических	1	1
в новом качестве	1	1
исследовавшейся л.с выготским	1	1
тем не менее	1	1
жанровая форма авторства	1	1
событием самого рассказывания	1	1
в соответствии с	2	2
и прежде всего	1	2
состоит в напряжении	1	1
роль в становлении	1	1
один голос [...]	1	1
и как бы	3	2
и то же	1	2
внутренней речи исследовавшейся	1	1
сводится ни к	1	2
в равной степени	1	1
по крайней мере	2	1
то есть в	2	1
строгость композиции неразвернутость	1	1
по отношению к	9	4
в конечном счете	1	1
оказывается в ситуации	1	1
с другой стороны	3	1
на передний план	1	1
коммуникативной ситуации рассказывания	1	1
речевыми автопрезентациями поскольку	1	1
ситуации выбора между	1	1
в отличие от	4	12
ситуации общечеловеческой жизни	1	1
как в притче	1	1
помещаем полагая его	1	1
в строгом значении	2	2
на мой взгляд	2	2
роль немногочисленных и	1	1
излагается как прецедент	1	1
и строго отграниченная	1	1
значении данного термина	1	1
словам с.с аверинцева	1	1
один из важнейших	1	1
следует анекдот коего	1	1
в повестях белкина	1	2
как построманный нарратив	1	1
сказания или анекдота	1	1
он ничего предосудительного	1	1
ряду всех подобных	1	1
в русской словесности	1	1
в данном случае	2	6
человека иначе говоря	1	1
ни о чем	1	1
о чем не	1	1
то что и	1	1
xix столетия анекдот	1	1
состоит в смене	1	1
в основе своей	2	2
прецедент первое свершение	1	1
стабильно дифференцированном и	1	1
литературы нового времени	1	1
существенную роль в	3	1
полагая его излишним	1	1
речи и т.п	1	1
не сводится к	2	2
так и в	1	3
можно сказать что	2	1
с одной стороны	9	4
упускать из виду	1	1
голос [...] оно	1	1
завершенная и строго	1	1
том числе и	2	1
каждый из них	1	1
согласно удачной формулировке	1	1
в одно и	1	1
интрига нарративного высказывания	1	1
в то же	3	4
по своей жанровой	1	1
в этом отношении	1	4
в этом жанре	1	1
на самого говорящего	1	1
в готовом стабильно	1	1
тем что он	1	1
принято рассматривать как	1	1
глава перформативность лирического	1	1
того или иного	1	1
по аналогии с	1	1
коего мы не	1	1
в ряду всех	1	1
если можно так	1	1
объекта и адресата	1	1
готовом стабильно дифференцированном	1	1
укрупненных деталей краткость	1	1
в себе не	1	1
генезис лирических жанров	1	1
с самого начала	1	1
несут в себе	1	1
ничего предосудительного памяти	1	1
выходе за пределы	1	1
[...] оно живет	1	1
данного речевого жанра	1	1
по природе своей	5	2
речи исследовавшейся л.с	1	1
композиции неразвернутость характеристик	1	1
нем звучит один	1	1
как протороманный нарратив	1	1
же время и	1	1
лично для себя	1	1
состоит в придании	1	1
о блудном сыне	4	3
весьма существенную роль	1	1
уже было сказано	1	1
что он ничего	1	1
том что в	2	1
являются речевыми автопрезентациями	1	1
дело в том	1	2
с точки зрения	1	2
по сути дела	2	1
в тексте как	1	1
по слову бахтина	1	1
что он излагается	1	1
акцентированная роль немногочисленных	1	1
речь идет о	1	1
которое может быть	1	1
говоря уже о	2	1
пределы человеческого сознания	1	1
том что ни	1	1
значении этого термина	2	1
не помещаем полагая	1	1
впрочем уверяем читателя	1	1
что в них	1	1
содержит в себе	1	2
притчи о блудном	1	2
жанровые стратегии биографического	1	1
что же касается	2	2
субъект перформативного слова	1	1
однозначности [...] в	1	1
предосудительного памяти ивана	1	1
в нем звучит	1	1
всех подобных ему	1	1
как будто бы	1	1
рассказ как построманный	1	1
высказывания состоит в	1	2
один я на	1	1
стратегии биографического дискурса	1	1
и оцененном мире	1	1
перформативность лирического дискурса	1	1
строго отграниченная система	1	1
я на дорогу	1	1
по своей природе	2	1
или иной жанровой	1	1
излишним впрочем уверяем	1	1
жизнеописание как протороманный	1	1
за пределы человеческого	1	1
краткость и точность	1	1
в значительной степени	2	1
одно и то	1	2
подобно тому как	2	2
здесь как и	1	1
рассказчика и слушателей	1	1
характеристик и описаний	1	1
бы укрупненных деталей	1	1
художественного письма но	1	1
возможна только в	1	1
притчи может быть	1	1
не может быть	3	3
не в том	3	1
писал бахтин имеет	1	1
как в сказании	2	1
безымянный человек некий	1	1
живет в готовом	1	1
в целом и	1	1
стремится к однозначности	1	1
не сводится ни	1	2
не то чтобы	1	1
из виду что	1	1
точность словесного выражения	1	1
неразвернутость характеристик и	1	1
события тогда как	1	1
автопрезентациями поскольку субъект	1	1
до известной степени	1	1
напряжении событийного ряда	1	1
состоит в том	2	2
восприятия со стороны	1	1
лаконичная строгость композиции	1	1
места времени и	1	1
строгом значении этого	1	2
поскольку субъект перформативного	1	1
первое свершение в	1	1
с той или	1	1
назидательное безапелляционное в	1	1
как бы укрупненных	1	1
выготским и н.и	1	1
не более чем	2	2
в рамках которого	1	1
времени и пространства	1	1
что и должно	1	1
и вследствие этого	1	1
собственно жизнеописания в	1	1
а с другой	3	1
петровича белкина в	1	1
только то что	1	1
как прецедент первое	1	1
