3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram
но оказывается что	1	1
несмотря на всю	1	1
не только в	1	4
символ человеческого стремления	1	1
то ни было	1	1
можно было бы	1	4
во всяком случае	2	4
также и то	2	1
для того чтобы	2	2
в других областях	1	1
необходимо сказать что	4	3
как это мы	1	1
а также и	1	2
всякого рода страстей	1	1
и то что	3	1
на то что	2	1
ужасен он в	1	1
о том что	9	3
что иное как	3	2
начала до конца	1	1
вместе с тем	3	3
мы должны сказать	1	2
на самом деле	1	3
в том числе	2	1
как в символе	1	1
вопрос о том	1	1
не менее в	1	1
это и есть	1	1
и вместе с	1	1
как раз и	1	1
а еще и	1	1
ни в какой	1	4
никак не может	2	1
обратить внимание на	3	1
в этом произведении	1	1
не говоря уже	1	2
должны сказать что	1	1
уже и сама	1	1
то и другое	2	3
и потому что	1	1
той или иной	1	11
но ясно что	2	1
этой точки зрения	1	1
так что в	1	1
по себе а	1	1
иным как именно	1	1
в том смысле	1	2
разложение в бесконечный	2	1
на первый взгляд	1	1
чем иным как	2	2
в это время	2	1
то есть как	1	1
в стихотворении н	1	1
и в целях	1	3
на эту тему	1	1
и в частности	3	2
является символом человеческой	1	1
не что иное	3	2
достаточно глубоко и	1	1
в том что	8	8
в то время	3	2
для искусства в	1	1
смысле слова но	1	3
еще и потому	1	1
одной стороны это	1	1
и не в	2	1
нам представляется что	1	2
указать хотя бы	1	1
хотя и не	1	2
это свидетельствует о	1	1
однако подобного рода	1	1
тем не менее	5	10
но даже и	2	4
находит для себя	2	1
зевса на земле	1	1
и как бы	1	1
в связи с	7	3
по крайней мере	4	6
равно как и	2	1
то есть в	1	6
бы то ни	2	1
символа который мы	1	1
с другой стороны	5	6
времени и пространстве	1	1
хотя бы на	1	1
сам по себе	1	6
в нем и	1	1
как и его	1	1
в новое время	3	1
том что он	2	1
в бесконечный ряд	2	14
в данном случае	2	5
женщина в черном	1	1
и без всякой	1	1
но все же	2	1
бросается в глаза	1	1
к другому и	1	1
то есть он	1	1
в значительной мере	2	2
так и в	1	1
же в конце	1	1
вполне сознательно и	1	1
с одной стороны	3	1
в своей поэме	1	1
том числе и	1	1
в качестве символа	1	1
или по крайней	1	2
в то же	1	2
к тому же	1	2
точно так же	3	3
порождает из себя	1	1
искусства и не	1	1
только потому что	1	1
мы читаем в	1	1
на первом плане	3	1
данном случае только	1	1
том смысле что	1	1
с самого начала	1	1
бесконечный ряд своих	1	1
потому что он	2	2
тех или иных	2	3
трактуется как символ	1	1
до сих пор	2	1
здесь вовсе не	1	1
сама по себе	1	2
свидетельствует о том	1	1
говорит о себе	1	1
уже по одному	1	2
в таком случае	2	1
дело в том	2	1
с точки зрения	8	11
сознательно и намеренно	1	1
говоря уже о	1	1
так что его	1	1
в этом смысле	3	3
от страха и	1	1
всего космоса и	1	1
содержит в себе	1	8
как будто бы	3	2
не просто художественное	1	1
достаточно указать хотя	1	1
есть в смысле	1	1
те или другие	1	1
ни в чем	1	1
и платон в	1	1
крайней мере в	1	1
в конце концов	6	1
то время как	3	2
здесь перед нами	1	5
то есть только	1	1
здесь не в	1	2
в настоящее время	3	1
что в результате	1	1
и тогда получится	1	1
по этому поводу	2	1
с начала до	1	1
в символе в	1	1
как мы его	1	1
с этой точки	1	1
не чем иным	2	2
не то чтобы	1	1
для нас не	2	1
здесь в виде	1	1
в предисловии к	1	1
о том как	1	1
и т д	1	3
сказать что он	1	1
если не прямо	2	1
все такого рода	1	2
ту или иную	1	1
в чем не	1	1
вот тут-то и	1	1
человеческой жизни в	1	1
жизнь и как	1	1
в сравнении с	3	2
