4gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_4gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_4gram
заключается в том что	1	1
имеет в своем составе	1	1
мы имеем дело с	1	1
в самом наличии определенных	1	1
а в том под	1	1
в тех случаях когда	1	1
есть не что иное	1	1
определенных языковых стилей социальных	1	1
сопоставлены или противопоставлены в	1	1
имеем дело не с	1	1
особенно в сочетании с	2	1
каким диалогическим углом они	1	1
диалогическим углом они сопоставлены	1	1
мы имеем дело не	1	2
или противопоставлены в произведении	1	1
произведения как эстетического объекта	1	1
не что иное как	1	1
в рамках одного текста	1	1
не в самом наличии	1	1
не может быть признано	1	1
они сопоставлены или противопоставлены	1	1
под каким диалогическим углом	1	1
самом наличии определенных языковых	1	1
внимательно взглянула на меня	1	1
языковых стилей социальных диалектов	1	1
в то же время	2	3
в каждом отдельном случае	1	1
по крайней мере в	1	2
наличии определенных языковых стилей	1	1
стилей социальных диалектов а	1	1
социальных диалектов а в	1	1
диалектов а в том	1	1
том под каким диалогическим	1	1
углом они сопоставлены или	1	1
героя нашего времени не	1	1
в том под каким	1	1
дело не в самом	1	1
лишь в самом начале	1	1
