2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part3_wordlist_2gram
и сами	2	1
и тех	2	1
в последнее	1	1
все же	6	3
его в	7	3
что отдельные	1	1
от всех	4	3
к литературе	1	1
так например	1	3
от действительности	1	2
не следует	3	1
формалисты не	2	1
она есть	3	2
формы оно	1	1
не от	2	2
менее всего	4	2
что смысл	1	1
на какой-то	1	1
как совокупность	2	1
литературного факта	2	1
других идеологических	1	3
к одной	2	1
процессе их	2	1
а от	1	1
прав когда	1	2
своей изолированности	1	1
художественных форм	1	2
виду что	2	2
самое понятие	3	2
происходило в	1	1
независимо от	5	4
в данной	2	1
как о	2	4
ряд важнейших	1	1
кроме того	1	1
это понятие	2	1
что при	1	1
двоякая ориентация	2	1
зрения своей	1	1
и несет	1	1
этической оценки	1	1
художественную конструкцию	1	2
его и	3	2
так и	21	18
конструкции в	2	2
дело идет	3	3
и т	11	12
не является	5	1
реальной действительности	3	1
при таком	1	4
для формалистов	3	1
период развития	1	1
эстетики и	1	2
за пределы	2	2
у них	2	3
один и	1	1
в последнем	2	1
социологической поэтики	1	15
врагов и	1	1
момент этой	1	1
то что	8	8
тем самым	1	3
не как	2	4
действительности и	6	3
связи в	1	1
и от	11	7
не останется	2	1
часто и	1	2
элементы художественной	1	3
или для	1	2
как таковым	1	2
всех сторон	2	1
завершенность и	1	1
бы то	4	3
должна быть	3	7
в точке	1	1
в одном	1	2
творчества и	3	1
художник не	1	1
индивидуальное сознание	2	2
от обычных	1	1
или на	2	2
в искусствоведении	1	3
в высшей	2	1
направления в	1	6
произведения а	1	2
той же	3	1
самой литературе	2	1
лишь для	5	2
если бы	12	4
та же	1	1
к которому	2	2
сама литература	1	1
связи с	5	3
же деле	2	1
построения и	1	1
важная проблема	1	1
ни в	8	2
к одному	1	1
сами эти	2	1
формах в	1	1
между собой	4	1
что в	8	4
ложного предположения	1	1
общностью и	2	1
не поддаются	1	1
он является	2	1
вне этих	1	2
же является	2	1
в своей	6	11
как раз	8	2
материале литературы	1	1
все в	1	2
совершается с	1	1
е самое	1	1
тем существеннее	1	1
в основе	3	3
с его	2	4
не выходит	1	2
и нисколько	1	1
значения как	1	1
искусства ведь	1	1
коллектива в	1	1
все более	1	2
в той	3	1
бы и	3	1
в отвлечении	2	1
себе в	1	1
смысл в	1	1
зависимости от	5	3
и что	3	2
экспрессивной интонации	1	1
всего этого	1	2
тематической проблеме	1	1
взяли мы	1	1
и творчеством	1	1
социально и	1	1
и все	8	6
и влияние	1	1
от всего	1	1
и этическую	1	1
целом и	1	4
произведении как	2	3
и речи	2	1
художественная конструкция	1	2
нам кажется	2	1
развития литературы	5	1
его действительности	1	1
в западноевропейской	1	1
конкретное разрешение	1	1
и о	1	1
жизни и	4	7
единства и	3	2
но отнюдь	1	1
громадное значение	1	3
осуществления как	1	1
средств и	2	1
настойчиво подчеркивают	1	1
приводит и	1	1
и притом	2	1
ни взяли	2	1
ориентации в	4	1
очень остро	1	1
в них	3	3
пр являются	1	1
бы о	1	1
это положение	1	1
только не	2	2
для искусства	1	1
входя в	2	1
место в	10	7
в роман	4	1
может стать	3	1
на лингвистику	1	1
не есть	4	2
пределы в	1	1
или иное	2	1
без исключения	5	1
не может	24	16
могут быть	4	1
язык и	1	1
там где	7	1
связано с	2	1
от идеологического	3	1
от идеологической	1	1
мы видели	4	2
лишь с	2	1
действительности в	3	2
отнюдь не	8	6
сказать что	3	1
того или	1	2
проблема и	2	1
не могло	2	5
произведения искусства	1	3
вместе с	6	2
справедливо и	2	1
формалистами совершенно	1	1
сознания и	2	1
возможностей и	1	1
экономическим бытием	1	1
в том	7	6
мы знаем	4	1
конкретных форм	1	1
и событие	1	1
не утрачивает	2	1
с чисто	1	1
в его	7	23
всех без	1	1
образ и	1	1
на почве	2	13
это время	1	1
к следующему	1	1
даны в	1	1
их взаимоотношений	1	1
этот образ	1	2
определяется в	1	1
науки об	1	12
не входит	1	1
е к	1	1
и может	1	4
и смыслом	1	1
является конечно	1	2
от того	2	2
в изобразительных	1	1
между тем	7	2
вкусов и	1	1
совершается в	3	2
всякого искусства	1	2
и понимание	5	1
