2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_2gram
когда они	1	1
эпоса и	1	1
все же	6	6
его в	3	6
времени и	10	1
мнимые смерти	2	1
от всех	1	1
начиная от	2	1
в человеческой	1	1
выражение в	2	1
и события	2	1
в значительной	2	1
менее всего	1	1
и каждый	1	1
слова и	2	3
и имеет	1	2
ни один	1	1
и освещается	1	1
этим пересечением	1	1
определяются особенности	1	1
за пределами	1	1
в античном	1	5
как нет	1	1
новое значение	1	1
действие романа	1	1
и к	2	2
мы имеем	1	2
виду что	1	1
не становится	1	1
позже то	1	1
но здесь	1	2
того и	2	1
кроме того	4	3
глубокий и	1	1
нет но	2	1
своей специфической	1	1
в историческом	1	2
у всех	1	2
будем говорить	1	1
жизненной формы	1	1
связан с	1	1
так и	12	7
чем не	3	2
существенную роль	2	1
вещи и	1	2
время лишено	1	1
и т	8	14
не является	2	3
плутовского романа	2	1
и особую	1	1
когда мы	1	1
влияние на	4	2
этом мире	2	6
iv проблема	1	1
и у	5	5
у них	2	2
еще и	2	1
в последнем	1	2
до нас	5	1
поэтому все	2	1
прямой и	1	1
рыцарский роман	1	5
то что	6	7
этой жизни	1	1
но как	1	1
он действует	1	1
на землю	1	2
не как	2	1
добродетели и	1	1
и от	1	2
времени а	1	1
часто и	2	1
из того	1	1
испытание героев	1	1
эту черту	1	1
освоения времени	2	1
наряду с	5	2
в особенности	9	6
человек был	3	1
иной характер	2	1
всех сторон	1	1
все его	3	4
в одном	3	7
в свою	2	1
самому своему	1	1
имеется и	2	1
не похож	1	2
имеет существенное	3	1
другие герои	1	1
всю картину	1	1
та же	1	3
миру и	1	1
если бы	5	1
нет никакого	1	1
важный момент	1	2
это уже	1	1
связи с	6	8
биографической жизни	2	1
нового хронотопа	1	1
ни в	8	1
и которые	1	1
и разновременностей	1	1
между собой	4	1
то время	4	1
лежат в	2	1
в авантюрном	5	2
что в	5	5
них и	1	1
момент при	1	1
протяжении всего	1	2
в фольклоре	1	2
в быту	3	1
а как	3	1
и они	1	3
в своей	2	1
и существенного	1	1
для раскрытия	2	2
друг с	1	4
и вещи	1	1
в хронотопе	4	1
все в	1	2
частной жизни	23	1
в основе	5	6
на первый	1	3
шута дурака	1	1
с его	9	1
пространстве под	1	1
на материале	2	1
как только	1	1
этом случае	1	2
других жанров	2	1
все более	1	1
казни и	1	1
в той	4	2
времени но	1	1
бы и	1	1
о чем	1	3
к греческому	1	1
авантюрном времени	5	3
хронотоп в	5	1
всего этого	2	1
борьба и	1	1
и все	6	6
дается и	1	1
у мариво	1	1
специфической логикой	2	3
и речи	5	1
указать на	1	1
человеческой жизни	6	4
дается описание	1	1
дается как	1	2
всем этим	3	1
жизни и	8	8
от природы	2	1
но когда	1	1
громадное значение	1	5
себя и	3	3
авантюрном романе	1	1
в них	4	7
в преисподнюю	1	1
место в	2	4
всех событий	1	1
последующей истории	5	2
эта особенность	1	1
полностью но	1	1
на одном	1	1
в основу	3	1
в европейском	1	1
те же	2	6
в роман	4	2
этого романа	4	2
и ни	1	1
у лесажа	1	1
часы и	2	1
что все	2	2
романа у	1	2
не может	6	2
могут быть	5	2
пределами романа	1	1
случая и	2	1
если не	1	2
там где	2	2
уже сказали	2	3
частную жизнь	3	1
сказать что	3	1
то есть	33	10
отнюдь не	5	4
здесь еще	2	3
единство человеческого	1	1
в трагедии	2	1
вместе с	3	9
в том	9	10
v рыцарский	1	1
в его	13	8
это время	7	1
и т.п	4	2
здесь они	1	2
похож на	1	2
разных эпох	1	1
не входит	2	1
с нею	1	1
о том	1	4
большого эпоса	2	1
отношение к	2	3
роман в	4	2
эти особенности	2	1
в виду	3	3
ряду с	1	1
богов или	1	1
и верности	3	1
другом месте	1	2
да и	3	1
в самой	2	2
с помощью	2	3
герой и	1	1
и смысл	1	1
должны быть	1	1
и франсион	1	1
нормального хода	2	1
в некоторых	2	2
как мы	14	6
однако не	1	1
этот новый	1	1
типу в	1	1
может быть	11	7
и его	16	12
в средние	1	3
ни с	2	1
правда в	1	1
уже за	1	1
и силы	1	1
уже говорили	3	4
и последовательная	1	1
вследствие этого	3	1
как его	1	2
приходит к	1	1
в отношении	3	2
вовсе не	13	13
она не	1	2
есть не	3	1
одинокого человека	1	2
к ним	2	2
жанр не	1	1
его от	2	1
в тех	1	1
громадное влияние	3	1
не на	1	3
с тем	3	2
на развитие	2	3
средние века	1	3
мы встречаем	2	1
сюда в	1	1
публично-риторические формы	2	1
по всему	1	3
событие в	1	1
здесь не	4	2
примыкают и	1	1
той или	2	1
в сатирах	1	1
доклассового фольклора	2	3
бы в	1	1
и раскрыть	1	1
где и	2	1
самой жизни	1	3
и проч	4	1
временем в	1	3
отличие от	2	1
его к	1	1
на корабле	1	1
сравнению с	2	1
и прежде	2	3
романе и	4	3
тот же	1	3
романа и	3	1
этому ряду	1	1
и подслушивания	4	1
и самое	1	4
могло быть	4	1
на которые	1	1
и других	3	2
мира в	3	3
как он	2	2
характер носит	1	4
уже на	2	1
функции плута	1	1
переживает метаморфозу	1	1
быть лишь	1	1
в таком	3	1
места для	1	1
в частности	6	5
с которой	1	1
может раскрыться	2	1
всего романа	1	2
входят в	1	1
т п	8	11
на этой	4	1
для своей	1	1
не было	7	3
и даже	2	3
о жизни	1	1
например у	3	1
всех ее	1	1
значительной мере	1	1
почти вовсе	2	2
того чтобы	5	8
только в	4	11
в этой	1	2
точках разрыва	1	1
богов и	1	1
авантюрно-бытового романа	4	1
так сказать	7	7
в вине	1	1
видения и	2	2
получают значение	1	1
еще вернемся	1	3
в присутствии	4	1
то и	1	1
идет о	1	1
отдельных авантюр	3	2
его с	1	1
сами герои	2	1
здесь дается	3	2
европейском романе	1	1
самим собою	3	2
явления природы	1	1
с большой	2	2
к этому	3	3
и всему	1	1
романа в	5	2
смертей и	1	1
оказали громадное	1	1
были созданы	1	1
сомнений и	1	1
мир в	2	4
и сама	1	1
как в	6	4
последнем счете	1	2
от этого	2	2
во всяком	3	2
греческих романов	6	2
и не	14	9
мы уже	11	9
лишь на	1	1
здесь же	1	1
со всеми	3	2
и вообще	2	1
сказать в	1	1
таким образом	11	3
тем более	1	3
по своему	1	2
видение и	1	1
борьбе с	2	2
жизни в	8	4
века и	1	2
основе этих	1	1
связанные с	1	5
они с	2	1
а вовсе	1	1
тем что	2	3
одно и	3	1
уже в	2	4
у гете	1	1
самосознание здесь	1	1
с тождеством	1	2
по самому	2	1
нужно отнести	1	1
отдельных романов	1	1
человеческая жизнь	1	1
не только	9	11
авантюрно-бытовом романе	1	2
он не	5	5
в основном	5	8
тому времени	1	1
его жизнь	1	1
что даже	1	1
один или	2	1
чтобы затем	1	1
наконец в	1	2
все эти	9	5
внутреннего человека	1	1
жизни где	1	1
особенно в	1	2
в данном	2	2
в пределах	5	5
в истории	2	4
одну из	1	1
тем же	1	2
с исключительной	2	1
рядом с	2	2
в литературе	16	2
и потому	3	2
в литературу	1	2
в их	6	3
с самого	2	1
в точном	2	1
все стороны	1	2
о времени	1	1
было в	1	1
не были	2	2
из самых	1	2
того в	1	1
основе этого	1	1
момент метаморфозы	2	1
в себе	3	4
и того	6	1
между ними	3	2
и он	1	4
в пространстве	5	5
истории романа	5	3
нашего анализа	1	1
очень резко	1	1
к тому	3	3
основу его	1	1
и момент	2	1
на основе	2	3
жизнь с	2	1
одной стороны	2	1
бы не	1	1
и те	3	1
из них	1	8
и для	4	9
с другом	1	4
первый план	1	2
