4gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part1_wordlist_4gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_4gram
до конца может развить	1	1
по отношению к герою	3	1
друг с другом в	1	1
и не входит в	1	1
и не потому что	1	1
по отношению к нему	1	1
идет не об обычной	1	1
в литературе о нем	1	1
в то время как	1	1
в этом смысле глубоко	1	1
что дело идет не	1	1
в том и другом	1	1
позиция автора по отношению	2	1
то же время не	1	2
видения и понимания мира	1	2
но потому что она	1	1
в одной плоскости с	3	1
точку зрения на мир	1	1
самом и о своем	1	1
ивана карамазова и других	1	2
и в этом смысле	1	1
с авторским словом и	1	1
в пределы одного сознания	2	1
в полифоническом романе достоевского	2	2
дело идет не об	3	3
о себе самом и	1	3
с самого начала все	1	1
о том что все	1	1
не совпадает с самим	1	1
и человек из подполья	1	1
полном смысле этого слова	1	1
потому что у вас	1	1
так же как и	2	1
достоевского в этом смысле	1	1
в то же время	3	7
бы он ни был	1	1
себе самом и о	1	2
дело в том что	1	1
человека из подполья и	1	1
автора по отношению к	2	1
подобно тому как в	1	1
принципом видения и понимания	1	1
потому что она не	1	2
отношению к герою в	3	1
позицию по отношению к	1	1
что в мире достоевского	1	1
уже в первом произведении	1	1
в полном смысле этого	1	1
героя о себе самом	1	3
том и другом случае	1	1
но с другой стороны	1	1
не значит конечно что	1	2
но в то же	3	2
это не значит конечно	1	2
в едином объективном мире	1	1
романа в его целом	3	1
раскольникова ивана карамазова и	1	2
