4gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_4gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_4gram
заключается в том что	4	4
зрения развиваемой нами гипотезы	1	1
в том числе и	1	1
с которым мы сталкиваемся	1	1
состоит в том что	3	3
но вместе с тем	1	1
то же самое время	1	1
на первом месте должно	1	1
в самом деле если	1	1
и связанное с ним	1	1
всем протяжении школьного возраста	1	1
по мере развития ребенка	1	2
речи по сравнению с	1	1
не что иное как	1	1
месте должно быть поставлено	2	1
заканчивается а только начинается	2	1
строению и способу функционирования	1	1
из того положения что	1	1
одно и то же	1	3
с помощью этого метода	1	1
развития в школьном возрасте	2	1
тот момент когда ребенок	1	1
нам факты из области	1	1
меру того в меру	1	1
в том что в	2	1
с этой точки зрения	4	4
есть не что иное	1	1
в то время как	4	2
в той мере в	3	2
с точки зрения психологической	1	1
для того чтобы понять	1	1
на всем протяжении школьного	1	1
то же самое что	2	2
мы не можем не	1	2
для того чтобы сделать	1	2
вещи к самой себе	1	1
в сущности говоря это	1	1
с одной стороны и	1	3
ничего больше кроме того	1	1
то что эта речь	1	1
одной и той же	1	2
в меру того как	1	1
в меру того в	1	1
привел к тому что	1	1
такой же мере как	2	2
и вместе с тем	1	2
речи исследование показывает что	1	1
подлежащее и относящиеся к	1	1
не заканчивается а только	2	1
той мере в какой	2	2
точки зрения развиваемой нами	1	1
но с точки зрения	1	2
по своей природе и	1	1
мы могли бы сказать	2	2
у нас на глазах	1	1
помощью этого метода мы	1	1
понятия не заканчивается а	1	1
по сравнению с устной	1	1
всех высших психических функций	2	1
а только начинается в	1	1
по своей психологической природе	2	2
для того чтобы изучить	1	1
так же как и	1	1
смысле можно сказать что	1	2
в этом и заключается	1	1
для того чтобы осветить	1	1
в такой же мере	3	3
в той же мере	1	2
в том что он	2	2
известном смысле можно сказать	1	2
своему строению и способу	1	1
известные нам факты из	1	1
прежде чем перейти к	1	2
с точки зрения развиваемой	1	1
только в том что	1	1
все известные нам факты	1	1
только по отношению к	1	1
речи можно сказать что	1	1
и относящиеся к нему	1	1
представление о том что	1	2
развитие смысловой стороны речи	1	3
в ходе развития ребенка	1	1
в то же самое	1	1
на пороге школьного возраста	4	4
после всего сказанного выше	1	1
по своему строению и	1	1
первом месте должно быть	1	1
больше кроме того что	1	1
в известном смысле можно	1	2
письменной речи находятся в	1	1
могли бы сказать что	1	2
того в меру чего	1	1
