4gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part2_wordlist_4gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part1_wordlist_4gram
н м о стиле	1	1
в том что в	2	1
может быть определен как	1	1
в записках из подполья	2	3
в романах достоевского встречаются	1	1
и в то же	1	2
с там же с	2	9
в преступлении и наказании	3	10
м о стиле достоевского	1	1
а не то что	1	1
в униженных и оскорбленных	1	1
с достоевский ф м	1	3
с чирков н м	1	1
достоевского не могут быть	1	1
л п гроссман в	1	1
степанчиково и его обитатели	1	1
см назиров р г	2	1
это не значит что	1	1
г м реализм достоевского	1	1
в то же время	12	7
князь в ф одоевский	1	1
дело в том что	3	1
борьба бога и дьявола	1	1
село степанчиково и его	1	1
чирков н м о	1	1
фридлендер г м реализм	1	1
с см назиров р	1	1
то же время достоевский	1	1
в рассказе скверный анекдот	3	1
сон о забитой лошади	1	1
но в то же	4	1
