3gram	Vygotskiy_Psychologia_partition_part3_wordlist_3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram
все то что	2	6
мы говорили выше	2	1
мы будем иметь	1	1
а когда он	1	1
и показывают что	1	1
можно было бы	3	1
в противоположном направлении	1	1
всякое художественное произведение	1	1
о которых мы	2	5
в том чтобы	2	1
возьмем ли мы	1	1
время как бы	1	2
для того чтобы	19	8
на этом противоречии	1	1
о том что	6	3
этой точки зрения	1	1
как это мы	1	1
на то что	16	12
вместе с тем	3	2
и то что	3	3
мы видим в	2	2
в себе непременно	1	1
с с этим	1	1
никогда еще не	1	1
мы имеем налицо	1	1
не только то	1	1
так как они	1	1
на самом деле	2	2
образом мы видим	2	2
совершенно прав когда	2	2
стоит только обратиться	1	1
могли бы сказать	2	1
если мы рассмотрим	1	1
не только не	4	1
в трагедии мы	4	1
вступить в противоречие	1	1
не есть еще	1	1
потому что в	2	1
для нас совершенно	1	2
потому что они	1	2
более или менее	1	1
замечательно и то	2	1
совпадает с тем	1	1
таким образом что	3	1
обратить внимание на	2	1
никак не может	3	1
в двух противоположных	2	2
именно на этом	1	1
секрет художника заключается	1	1
может быть и	2	1
указывает нам на	1	1
о чем идет	1	1
в басне мы	1	1
мы видели что	1	2
мы могли бы	4	3
к тому что	6	2
в зависимости от	6	1
тот факт что	4	1
и в этом	1	3
в том смысле	1	2
достигает своего апогея	2	1
мы перейдем к	1	1
должен был бы	3	2
имеет дело именно	1	1
той точки зрения	1	1
одной и той	2	1
и в сущности	1	1
которая все время	1	1
в русском языке	1	1
то значение которое	1	1
которых мы говорили	1	2
но он был	1	1
от всех прочих	1	1
в двух планах	3	5
по сравнению с	4	1
двух планах в	1	1
том что оно	1	1
казалось бы если	1	1
в том и	2	1
нам кажется что	1	1
самое видим мы	1	1
что это есть	2	1
том что она	1	1
в том что	14	11
в то время	1	2
в евгении онегине	1	1
и если мы	4	1
одной стороны это	1	1
все время говорим	1	1
и все же	1	1
в целом ряде	1	1
то что тут	1	1
в самом стихе	1	1
и т п	3	5
свое действие и	1	1
показывает что в	2	1
вызывает в нас	3	1
с таким образом	2	1
так сказать в	1	1
для нас важно	1	1
с и в	1	3
то для того	1	1
не кажется ли	1	1
и как бы	4	2
и то же	3	2
в свою очередь	1	2
и мы вправе	1	1
таким образом все	2	1
как раз обратным	1	1
его ни в	1	1
с другой стороны	5	5
читатель все время	1	1
совершенно очевидно что	2	1
вызывая в нас	1	1
в отличие от	2	1
то что в	2	2
по его мнению	2	1
один из критиков	2	2
самом деле если	2	1
прав когда указывает	1	1
что и здесь	1	1
достаточно того что	1	1
мы сейчас увидим	2	1
сейчас увидим что	2	1
смысле этого слова	1	2
бы перед нами	1	1
в данном случае	2	2
в себя и	1	1
время вызывает в	1	1
эти два противоположных	1	1
в основе своей	1	1
он говорит что	2	2
или вернее сказать	2	1
можно сделать чрезвычайно	1	1
что у него	1	2
если мы перейдем	2	1
он указывает что	1	1
можно сказать что	2	1
смерти то есть	1	1
по его словам	1	2
с одной стороны	12	5
аффективное противоречие и	1	1
в противоречие с	1	1
в применении к	1	1
и тот же	1	1
мы увидим что	6	7
в этом отношении	3	1
того чтобы увидеть	1	2
басни и до	1	1
и при этом	1	1
и мы никогда	1	1
это имеет место	1	2
все дано в	1	1
мы не имеем	1	1
то это еще	1	1
мы знаем что	2	1
того или иного	1	1
же самое в	1	5
в силу того	1	1
художника заключается в	1	1
и той же	2	1
таким образом мы	2	1
только обратиться к	1	1
с самого начала	3	6
в том виде	1	1
в самом деле	5	18
потому что он	2	1
же самое видим	1	1
к тому чтобы	1	1
в нас два	1	1
с тем что	3	1
до сих пор	5	5
прав когда видит	1	1
если бы мы	2	1
с точки зрения	2	9
речь идет о	1	3
лучше и отчетливее	1	1
мы не можем	1	2
и мы увидим	2	2
сам собой напрашивается	1	1
было бы назвать	1	1
трудно не заметить	1	1
тенденцию к тому	1	1
и в самом	2	10
и ни о	1	1
один и тот	1	1
в сущности говоря	8	7
противоречие которое существует	1	1
что он не	1	1
обратиться к самому	1	1
мы никогда не	2	1
что в этом	6	1
в том именно	1	1
все время вызывает	1	1
ничего не может	2	2
как бы в	2	1
мы все время	1	2
в лучшем случае	3	2
все время как	1	2
двух противоположных направлениях	2	1
что мы воспринимаем	1	1
если мы припомним	1	1
том и заключается	2	1
которых мы все	1	1
то же самое	3	8
то время как	1	2
по самому существу	1	1
и что в	3	1
никак не могут	1	1
что герой есть	1	1
сохранены и в	1	1
одно и то	3	2
том чтобы формой	1	1
а в том	1	1
совершенно ясно что	5	5
могла бы дать	1	1
сих пор не	1	1
по этому поводу	4	1
указывает на то	2	3
с этой точки	1	1
как если бы	1	3
не может быть	2	1
для эстетической реакции	1	1
другой стороны мы	1	1
ссылается на то	1	1
и заключается что	1	1
не мог бы	1	1
что в этой	1	2
элементов из которых	1	1
в том случае	1	1
том что всякое	1	1
как один из	1	1
может помочь нам	1	1
подготовлен к тому	1	1
состоит в том	2	1
и совершенно ясно	1	1
потому что она	1	1
бы дать повод	1	1
и т д	3	4
мы уже указывали	1	1
это на примере	1	1
во все время	1	1
мы видим что	3	7
мы все же	3	1
легко показать что	2	3
в коротком замыкании	1	3
заключается в том	6	6
не то что	1	2
это только в	1	1
как раз противоположный	1	1
басни и в	1	2
если обратиться к	1	1
настоящий секрет художника	1	1
заключает в себе	4	1
и что все	1	1
все эти три	1	1
и в другом	1	2
он как бы	1	1
чтобы увидеть что	2	5
а с другой	4	1
то что он	3	2
только то что	1	2
в басне и	1	2
одна из двух	1	1
