3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram
на пересечении этих	1	1
и содержания и	1	1
у пушкина мы	1	1
там же где	1	2
не только в	2	1
все то что	2	3
не могут быть	1	1
что всякое художественное	1	2
казалось бы что	1	1
силу того что	1	2
несмотря на это	1	1
роль которая выпадает	1	1
всякое художественное произведение	1	2
нас не существует	1	1
то что она	1	1
в том чтобы	2	7
и того же	2	1
то что художник	1	1
для того чтобы	19	5
о том что	6	7
этой точки зрения	1	5
на то что	16	8
в искусстве и	3	1
вместе с тем	3	2
и то что	3	1
мы видим в	2	1
каждого из нас	1	1
мы имеем дело	1	1
что иное как	2	1
по тому же	1	1
согласно этой теории	1	1
одном из двух	1	1
звуков в стихе	1	1
так как они	1	2
никогда не найдем	2	1
если мы примем	1	1
к содержанию как	1	1
на самом деле	2	2
когда говорит что	2	3
образом мы видим	2	1
вопрос о том	2	1
в полной мере	1	1
произведение искусства с	2	1
не только не	4	3
совершенно понятной та	1	1
это действительно так	2	1
вступить в противоречие	1	1
потому что в	2	1
что все решительно	1	1
составные части но	1	1
более или менее	1	2
никак не может	3	2
так как это	3	1
если принять во	1	1
не могут иметь	1	1
полнотой и ясностью	1	1
же точно и	1	1
именно то что	4	1
о чем идет	1	1
мы примем во	1	1
мы видели что	1	2
что при таком	1	1
одним и тем	3	1
в зависимости от	6	5
и в этом	1	1
что в применении	1	1
одного и того	2	1
которая выпадает на	1	1
относится к содержанию	1	1
к этому присоединяется	1	1
несмотря на то	1	2
могут иметь никакого	1	1
когда утверждает что	1	1
одной и той	2	3
и в сущности	1	1
части но не	1	1
в русском языке	1	2
не только о	1	1
совершенно понятно что	1	1
том что лирика	1	1
и так как	1	3
психологической точки зрения	1	4
для объективной психологии	1	2
и не дает	1	1
эстетической реакции и	2	1
в двух планах	3	1
по сравнению с	4	1
том что мы	2	2
со стороны другого	1	1
из которых складывается	1	1
когда мы говорим	1	1
так же точно	5	3
не что иное	2	1
же как и	1	1
в том и	2	2
том что она	1	3
центральный и периферический	1	1
чувства при этом	1	1
в том что	14	9
лежит в основе	1	1
в то время	1	5
и вот это	1	1
видели что в	1	1
в приложении к	1	1
в евгении онегине	1	2
не в полной	1	1
в художественном произведении	1	3
и если мы	4	2
именно в силу	1	1
сцена прощания гектора	1	1
в целом ряде	1	2
оно может быть	1	1
одной стороны и	1	1
что эта теория	1	2
и т п	3	15
показывает что в	2	2
с таким образом	2	8
три элемента которые	1	1
с и в	1	1
характеры действующих лиц	2	1
совпадают с теми	1	1
но вместе с	1	1
том что по	1	1
и исходя из	1	1
и то же	3	1
могут быть сведены	1	1
приводит к тому	1	1
чтобы показать что	1	3
в свою очередь	1	1
