2gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_2gram
годунова и	6	1
с величайшим	1	1
к пушкину	3	2
его в	2	2
все же	6	8
текстов пушкина	1	7
скажу что	1	1
времени и	4	1
в виду	7	1
нет не	1	1
смотреть на	1	1
всякого внимания	1	1
так например	7	7
на последнем	1	1
краски нашего	1	1
самим пушкиным	1	1
напомню что	1	1
пушкин даже	1	1
упрека в	1	1
бы знать	1	1
общего с	1	3
в числе	2	2
которым говорит	1	1
на основании	1	1
который всегда	1	1
даже в	2	3
работы пушкина	3	2
почему пушкин	1	1
и к	4	1
в рукописи	2	4
работы над	4	1
для установления	1	2
в букву	1	1
которое пушкин	2	1
полное право	2	1
в развитии	1	1
б с	1	1
материал для	3	3
кроме того	4	1
всем его	1	1
самого и	1	1
которое придает	1	1
не хотелось	1	1
и всей	1	1
что при	1	2
отчета в	1	2
издания так	1	2
и далее	1	1
из таких	2	1
так и	9	9
так писал	1	2
чем не	1	1
и т	9	30
не является	3	3
чернышев не	1	6
уже довольно	1	1
еще и	3	2
для кого	1	1
ср в	1	5
одного слова	1	1
за пределы	1	2
этот текст	1	1
очень широко	1	1
в последнем	1	1
в известном	3	1
г и	1	2
я с	1	2
то что	11	18
но как	1	1
рукопись пушкина	1	1
пушкин по	1	2
не как	1	1
так а	1	1
приводит в	1	1
в каком	2	3
и от	1	1
карамзина в	3	1
от издания	1	2
из того	1	2
для публики	1	1
в г	7	3
последнего слова	1	1
бы думать	1	1
начала xix	2	1
бы то	2	1
ознакомление с	1	1
в пушкинское	2	2
в одном	6	1
что писал	2	1
тот факт	4	1
на который	1	2
можно найти	1	2
по рукописям	3	3
несмотря на	2	2
той же	1	5
аргументации в	1	1
разумеется что	4	1
если бы	2	9
жизни пушкина	1	1
к которому	1	4
нет никакого	2	1
как пушкин	2	1
в обоих	3	1
выйти за	1	1
и такие	1	2
ни в	3	3
бориса годунова	74	15
во вторую	1	1
то время	1	2
что в	19	30
стечению обстоятельств	1	1
в руках	1	1
согласно которой	1	1
них и	1	1
строчки и	1	1
из писем	2	1
один общий	1	1
языка не	1	2
в начале	3	3
а как	4	2
в своей	7	6
к сожалению	2	3
как раз	8	4
или же	1	2
но если	1	4
которые являются	1	1
к числу	1	2
в основе	1	3
орфографии в	1	6
языке пушкина	1	1
писал в	1	1
с его	2	1
начале xix	1	1
этих двух	1	3
этом случае	1	2
значения как	1	1
что она	1	4
в той	5	6
обратить внимание	5	1
не говорю	1	2
о чем	5	1
и я	2	3
себе в	1	1
зависимости от	1	1
и что	6	4
и все	1	2
и пушкинского	1	1
в период	2	1
на этот	2	3
и речи	2	2
представляет собою	1	2
что на	3	2
и о	4	1
жизни и	1	5
сомнений в	2	1
именно такой	1	1
после того	4	1
произведений пушкина	1	3
пушкина это	2	4
это положение	1	1
что эта	3	2
в них	2	1
кажется что	3	3
л об	1	2
борисе годунове	32	2
начале г	1	1
место в	1	1
для понимания	1	1
этому поводу	2	2
в основу	1	4
что все	1	2
объяснения в	1	1
пушкина что	1	2
на г	3	1
сам в	1	2
очень мало	2	3
не может	2	8
самостоятельный источник	1	1
если не	2	2
там где	2	5
связано с	1	1
ли можно	1	1
сказать что	2	7
к пушкинским	1	3
тему о	1	1
каких бы	1	1
в значении	4	1
еще до	4	1
издание должно	1	2
не могло	3	1
вместе с	7	1
виде в	1	1
простых и	1	1
такого рода	2	2
в том	27	36
и стиля	1	1
места в	1	2
и который	2	1
о языке	1	1
ср у	3	1
никаких сомнений	1	2
в его	13	9
это время	2	1
себе отчета	1	1
одно дело	1	1
это просто	1	3
вообще можно	1	1
мысль о	1	1
что тот	1	1
не существует	1	3
разного рода	1	1
эволюции пушкина	1	1
морозова или	1	1
до меня	1	1
под его	1	1
о том	17	17
я считаю	1	4
между тем	5	3
указано что	1	1
чем он	2	1
отношение к	1	2
возможно что	1	3
его не	3	1
занимает в	1	2
пушкин и	9	1
на вопрос	3	4
было не	1	2
конечно это	1	2
на то	2	4
то обстоятельство	4	2
отказаться от	1	1
другом месте	2	2
еще в	2	1
да и	1	3
отношений к	1	1
которых он	1	1
уже о	1	5
при жизни	1	1
должны быть	1	3
видеть что	1	1
в некоторых	2	1
быть не	1	1
в литературном	1	2
он писал	3	1
как мы	1	1
чернышев в	1	5
в духе	2	1
от своего	1	1
уже после	2	1
iii стр	1	2
может быть	2	15
не должен	2	1
известно что	1	1
и его	6	8
текст в	1	1
что значит	1	1
разница между	1	2
в одной	2	1
в выборе	1	1
ни с	2	3
рукописями пушкина	2	1
совершенно неправильно	1	1
не верит	1	1
что как	1	2
в отношении	2	9
были бы	1	1
т iii	1	1
стиха в	1	2
так называемым	1	1
вовсе не	6	19
она не	1	2
главы евгения	1	1
от подлинной	1	1
можно назвать	1	2
система которая	1	1
была бы	5	5
в тех	2	3
любопытной чертой	1	1
что поэтому	1	1
не на	2	1
с тем	7	1
я не	7	7
здесь нет	1	1
языка на	1	1
настоящее время	1	1
который в	1	1
из этого	1	1
том смысле	2	2
пишет в	1	1
начать с	1	1
мне хочется	1	1
а другое	1	1
ставит себе	1	3
ни о	1	1
бы в	1	1
б в	2	1
и ему	1	1
говоря уже	1	1
к пушкинскому	1	1
сомнения что	3	1
тот же	1	1
языка пушкинской	1	1
еще что	1	1
для них	1	1
говорит об	2	2
которых в	1	3
являются и	1	1
ему не	2	1
свою собственную	1	2
со стороны	2	6
буква в	1	2
это делает	1	1
как он	2	1
в советское	1	1
вернее сказать	1	1
одно из	1	2
но нет	1	1
пушкина все	1	1
в таком	1	3
при чем	1	6
нас к	1	1
в частности	4	4
как говорит	2	1
могли быть	1	1
пребывания в	2	1
бы предполагать	1	1
т п	3	9
евгений онегин	1	2
уже быть	1	1
является еще	1	1
ответ на	1	3
и даже	3	5
и очень	1	4
ii и	1	2
не было	3	4
советское время	1	1
и тем	1	3
того чтобы	6	11
во внимание	2	1
пушкинскому просторечию	1	1
в своих	1	2
пушкиным и	3	4
только в	2	10
чернышева по	1	1
больше всего	2	1
в этой	2	11
другой стороны	3	7
с того	1	1
отношению к	1	3
т е	10	15
идет о	3	2
пушкина нужно	1	3
бы что	1	2
русского языка	3	2
всяком случае	3	6
пушкина при	1	1
