2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part3_wordlist_2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_2gram
и сами	1	2
и тех	1	2
в последнее	1	1
все же	3	6
его в	3	7
что отдельные	1	1
от всех	3	4
к литературе	1	1
так например	3	1
от действительности	2	1
не следует	1	3
формалисты не	1	2
она есть	2	3
формы оно	1	1
не от	2	2
менее всего	2	4
что смысл	1	1
на какой-то	1	1
как совокупность	1	2
литературного факта	1	2
других идеологических	3	1
к одной	1	2
процессе их	1	2
а от	1	1
прав когда	2	1
своей изолированности	1	1
художественных форм	2	1
виду что	2	2
самое понятие	2	3
происходило в	1	1
независимо от	4	5
в данной	1	2
как о	4	2
ряд важнейших	1	1
кроме того	1	1
это понятие	1	2
что при	1	1
двоякая ориентация	1	2
зрения своей	1	1
и несет	1	1
этической оценки	1	1
художественную конструкцию	2	1
его и	2	3
так и	18	21
конструкции в	2	2
дело идет	3	3
и т	12	11
не является	1	5
реальной действительности	1	3
при таком	4	1
для формалистов	1	3
период развития	1	1
эстетики и	2	1
за пределы	2	2
у них	3	2
один и	1	1
в последнем	1	2
социологической поэтики	15	1
врагов и	1	1
момент этой	1	1
то что	8	8
тем самым	3	1
не как	4	2
действительности и	3	6
связи в	1	1
и от	7	11
не останется	1	2
часто и	2	1
элементы художественной	3	1
или для	2	1
как таковым	2	1
всех сторон	1	2
завершенность и	1	1
бы то	3	4
должна быть	7	3
в точке	1	1
в одном	2	1
творчества и	1	3
художник не	1	1
индивидуальное сознание	2	2
от обычных	1	1
или на	2	2
в искусствоведении	3	1
в высшей	1	2
направления в	6	1
произведения а	2	1
той же	1	3
самой литературе	1	2
лишь для	2	5
если бы	4	12
та же	1	1
к которому	2	2
сама литература	1	1
связи с	3	5
же деле	1	2
построения и	1	1
важная проблема	1	1
ни в	2	8
к одному	1	1
сами эти	1	2
формах в	1	1
между собой	1	4
что в	4	8
ложного предположения	1	1
общностью и	1	2
не поддаются	1	1
он является	1	2
вне этих	2	1
же является	1	2
в своей	11	6
как раз	2	8
материале литературы	1	1
все в	2	1
совершается с	1	1
е самое	1	1
тем существеннее	1	1
в основе	3	3
с его	4	2
не выходит	2	1
и нисколько	1	1
значения как	1	1
искусства ведь	1	1
коллектива в	1	1
все более	2	1
в той	1	3
бы и	1	3
в отвлечении	1	2
себе в	1	1
смысл в	1	1
зависимости от	3	5
и что	2	3
экспрессивной интонации	1	1
всего этого	2	1
тематической проблеме	1	1
взяли мы	1	1
и творчеством	1	1
социально и	1	1
и все	6	8
и влияние	1	1
от всего	1	1
и этическую	1	1
целом и	4	1
произведении как	3	2
и речи	1	2
художественная конструкция	2	1
нам кажется	1	2
развития литературы	1	5
его действительности	1	1
в западноевропейской	1	1
конкретное разрешение	1	1
и о	1	1
жизни и	7	4
единства и	2	3
но отнюдь	1	1
громадное значение	3	1
осуществления как	1	1
средств и	1	2
настойчиво подчеркивают	1	1
приводит и	1	1
и притом	1	2
ни взяли	1	2
ориентации в	1	4
очень остро	1	1
в них	3	3
пр являются	1	1
бы о	1	1
это положение	1	1
только не	2	2
для искусства	1	1
входя в	1	2
место в	7	10
в роман	1	4
может стать	1	3
на лингвистику	1	1
не есть	2	4
пределы в	1	1
или иное	1	2
без исключения	1	5
не может	16	24
могут быть	1	4
язык и	1	1
там где	1	7
связано с	1	2
от идеологического	1	3
от идеологической	1	1
мы видели	2	4
лишь с	1	2
действительности в	2	3
отнюдь не	6	8
сказать что	1	3
того или	2	1
проблема и	1	2
не могло	5	2
произведения искусства	3	1
вместе с	2	6
справедливо и	1	2
формалистами совершенно	1	1
сознания и	1	2
возможностей и	1	1
экономическим бытием	1	1
в том	6	7
мы знаем	1	4
конкретных форм	1	1
и событие	1	1
не утрачивает	1	2
с чисто	1	1
в его	23	7
всех без	1	1
образ и	1	1
на почве	13	2
это время	1	1
к следующему	1	1
даны в	1	1
их взаимоотношений	1	1
этот образ	2	1
определяется в	1	1
науки об	12	1
не входит	1	1
е к	1	1
и может	4	1
и смыслом	1	1
является конечно	2	1
от того	2	2
в изобразительных	1	1
между тем	2	7
вкусов и	1	1
совершается в	2	3
всякого искусства	2	1
и понимание	1	5
его не	2	1
отвлечении от	1	2
об отражении	3	1
что формалисты	2	5
плоскость картины	1	1
особенно отчетливо	1	1
единство и	2	1
учение об	1	1
бы к	1	2
на то	1	1
понимает как	1	2
в самой	2	2
в искусство	1	1
совершенно независимо	1	1
еще в	2	3
с помощью	3	8
большинстве случаев	2	5
из одного	1	2
что между	1	1
разобранной нами	1	1
конструкции мы	1	1
мы и	1	3
