4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part8_wordlist_4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part1_wordlist_4gram
может быть отнесена к	1	1
в том числе и	7	2
связь этих форм с	1	1
с народной культурой и	1	1
всегда включает в себя	1	1
как мы уже говорили	2	1
во всех этих явлениях	1	1
на всех этапах своего	1	1
как мы уже сказали	3	1
в комедии дель арте	1	1
выходит за пределы нашей	2	1
смеховой литературы нового времени	1	1
и т.п все эти	1	1
тела и телесной жизни	1	1
до сих пор еще	3	4
и до настоящего времени	1	2
играют существенную роль в	1	1
и в наши дни	1	1
в той или иной	5	1
на самом же деле	3	1
на протяжении всего средневековья	2	1
народной смеховой культуры в	1	1
и в романе рабле	1	2
большей или меньшей степени	4	3
миросозерцательный и универсальный характер	1	1
в то же время	1	10
в значительной своей части	2	1
дело в том что	2	2
и до сих пор	1	2
той или иной степени	1	1
мы уже говорили что	2	5
за пределы нашей работы	2	1
в большей или меньшей	4	3
но в то же	1	2
на отдельные отрицательные явления	1	1
народной смеховой культуры и	2	1
мы уже говорили в	1	1
