2gram	Losev_DialektikaMifa_partition_part3_wordlist_2gram	Losev_DialektikaMifa_partition_part4_wordlist_2gram
диалектики и	1	2
все же	2	3
отлично от	1	6
его в	1	1
дает в	2	1
подобно тому	4	4
мифа о	1	1
но тогда	1	11
кроме того	2	6
и требует	2	1
и т	17	24
личности с	3	1
и у	1	2
я с	1	1
то что	16	14
оно вообще	1	2
и механизм	2	3
необходимость и	1	2
на первые	1	1
его как	2	3
на такой	1	1
нет никакой	1	4
мы получим	1	1
нет никакого	3	7
связи с	1	1
и которые	1	1
и той	3	1
как не	2	2
знание не	1	1
собственно говоря	2	4
того кто	1	3
на первый	1	4
всего этого	1	2
чудесность как	1	1
веры и	6	4
ни от	2	4
мы говорим	2	2
никто не	2	2
с своими	1	1
я показал	1	1
я покажу	1	1
из которых	3	3
или нет	3	5
не есть	40	54
вечности и	1	1
именно чудо	1	3
могут быть	3	2
– не	5	7
сознания и	3	4
и значит	1	3
в его	4	2
все равно	2	2
в нас	1	1
и знания	4	2
и может	2	1
сам собою	2	3
нас самих	1	1
я вижу	2	3
логика и	1	2
да и	2	1
уже о	4	2
имеется в	3	3
есть только	3	12
всякой иной	2	1
все совершенно	1	1
к спасению	1	1
не можем	1	2
на ту	1	1
то самое	2	1
были бы	1	1
вовсе не	6	13
понятие мифа	3	1
же тут	1	4
из этого	1	2
даже если	1	2
бы в	4	2
ни о	3	3
и нет	3	7
– у	3	1
религии и	1	1
вы не	3	6
религии религия	1	1
становления и	1	1
пределы этой	1	1
учения о	1	2
возможно лишь	2	1
и проявление	2	1
история слово	1	1
есть абсолютное	1	1
чудо не	8	3
чтобы и	1	1
знаем мы	1	1
другой стороны	2	2
кто его	1	1
быть так	1	1
само же	1	1
что уже	2	1
бытие ни	1	1
идет о	1	1
то и	2	3
что чудо	7	5
не сама	1	1
но для	2	2
и сама	1	5
мировоззрение есть	1	1
нет ни	3	2
воззрение можно	1	1
и не	30	27
и та	3	1
таким образом	5	13
тогда когда	5	5
тем что	2	3
одно и	1	5
неизвестно что	1	1
и знать	1	1
сама история	1	1
религии ибо	1	1
все эти	3	3
данная личностная	1	1
в данном	3	2
в точном	1	1
механические законы	1	1
т д	15	23
мы находим	2	1
мира и	1	3
в одинаковой	1	2
личности в	5	2
– что	1	3
и этот	1	1
перед нами	6	3
быть может	1	3
в сравнении	3	3
до степени	1	2
отличается от	1	8
и диалектически	1	2
это учение	2	1
и уже	4	2
но –	8	5
а самое	1	1
же невозможно	1	1
миф говорили	1	1
или просто	1	1
по типу	2	1
самое слово	1	1
как принцип	1	1
субъект есть	1	4
своей и	3	2
когда оказывается	2	1
законы природы	7	5
на них	1	2
миф и	3	3
как картина	1	1
в своем	5	3
стороны и	1	1
но она	1	3
и без	2	3
вы говорите	1	1
по крайней	7	5
ничего нет	1	5
как и	7	7
и богословием	1	1
– ибо	1	1
вещей как	2	1
при всем	1	4
же время	6	3
есть также	2	2
мир есть	1	2
лучшем случае	1	1
прочего то	1	1
раз показывает	1	1
и в	15	24
механистическое мировоззрение	1	1
не видно	2	2
необходимая категория	1	1
теми или	1	1
и будет	2	1
скажут зачем	1	1
субъекта и	5	4
кроме этого	1	1
основу бытия	1	1
жизненном опыте	1	1
объект а	1	1
по существу	1	2
субъект и	1	2
вы думаете	1	1
с этим	3	3
это однако	1	1
то о	1	1
мы о	1	1
но это	4	5
друг другу	1	1
ее в	2	2
есть сама	1	1
просто как	2	1
конечно не	2	4
ибо все	1	1
это не	12	4
чуде как	2	1
а если	3	3
но он	1	1
должно быть	2	3
и совершенно	1	1
научной точки	1	1
того как	2	1
никакого чуда	1	1
это значит	8	24
история это	2	1
прежде всего	11	8
их не	1	2
по этим	1	1
науку и	1	1
же такое	1	2
есть –	1	2
смысле не	1	2
самая история	1	1
есть само	2	2
этот предмет	2	1
все на	3	1
миф сказали	2	1
все будет	1	1
в зависимости	1	2
это тоже	1	1
так одна	1	1
догмат но	1	2
сущность и	1	4
я уже	3	7
в результате	6	1
и наконец	3	1
не что	8	6
если это	1	1
сложнее и	1	1
все что	2	3
с этой	2	5
об этом	3	6
– к	1	1
получается что	1	2
в лучшем	1	1
мира или	1	2
ясным что	1	1
мифического сознания	1	7
и религиозная	1	1
миф не	8	5
есть историческое	1	2
есть мифология	3	2
и объект	1	3
есть бытие	1	2
в общем	1	1
– или	1	3
самого принципа	1	1
чистое мышление	1	1
при условии	2	3
материализм есть	1	3
и есть	19	16
едва ли	3	1
знания и	5	1
хотя и	6	5
и осмысленное	1	1
с своим	1	1
может только	2	1
в какую-нибудь	1	1
то же	9	6
если только	1	4
время есть	2	1
так то	4	1
из сферы	1	1
и бытия	3	1
– абсолютно	2	1
в личности	1	1
другими словами	5	7
есть всегда	3	5
есть тело	2	3
мы могли	1	1
принцип ее	1	1
так миф	2	1
то –	3	1
мифа с	2	1
моменты и	1	1
в чистом	1	1
говорят о	1	1
это –	25	16
если она	2	1
следовательно одно	1	1
тут тоже	2	1
и идейно	1	1
личность ни	1	1
что мне	1	1
черную дыру	1	1
почти не	1	1
в течение	4	1
душе и	1	1
личностная история	2	1
ровно никаких	1	1
мифологии как	1	1
ясно что	11	7
то тем	1	2
отношения к	3	1
с точки	9	14
же и	2	2
можно только	3	4
думаю что	2	1
скажет что	1	1
отпадает необходимость	1	1
которым не	1	1
но в	3	2
плоти и	1	2
то знание	1	1
не имеет	14	11
мир и	4	3
жизнь и	2	4
тем не	2	10
не значит	2	3
то одно	1	1
уж подавно	1	1
сказали мы	5	1
такая же	1	1
на свете	4	3
для своего	1	1
и чтобы	1	2
границы и	1	3
в котором	2	1
природы суть	2	1
о нарушении	1	1
но я	1	1
не о	4	2
д и	3	6
на части	1	1
христианским и	1	1
и это	8	4
мифа и	6	6
чтобы была	1	1
выражена и	1	1
свобода и	1	1
и хорошо	1	1
себе не	2	1
е нечто	1	1
же самый	1	2
такой мифологии	1	1
непосредственное и	2	1
в семени	1	1
и имеет	1	1
как таковые	1	1
говорить не	1	2
виду что	1	1
– воплощение	1	1
от нее	3	1
в нечто	1	3
когда мы	1	2
есть чудо	11	3
себя саму	1	1
вещь или	1	2
и от	1	3
и фактически	1	1
материи и	1	1
из того	1	2
а мы	1	3
одно что	1	1
в одном	4	1
ничего нельзя	1	2
а объект	1	2
иное как	8	6
убежден в	1	1
той же	5	3
от себя	2	4
имеет никакого	2	1
сфер надо	1	1
требует чтобы	1	2
бытие и	1	3
а как	2	1
миф есть	10	12
с его	5	2
как только	5	1
не знаем	1	1
и больше	1	4
бы и	3	1
не имеем	2	1
нужно в	1	1
и все	11	6
от всего	3	6
то для	1	1
сказали что	2	1
мы только	2	1
а знание	1	1
и о	8	3
жизни и	4	5
но когда	1	1
если наконец	1	1
что эта	2	1
в них	2	5
не имея	1	1
но тем	1	1
и так	2	1
и ни	2	3
как чистое	2	2
отнюдь не	4	10
