3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram
перед нами в	1	1
то во всяком	2	2
бы что может	1	1
знака когда мы	1	1
также и то	2	2
для того чтобы	8	2
необходимо сказать что	2	5
о том что	5	14
на то что	8	4
что иное как	2	3
на первый план	1	3
на самом деле	4	2
составляющих ее элементов	1	1
не только не	3	2
и хотели бы	1	1
или как говорят	1	1
и тем не	8	1
сих пор мы	2	1
многие из этих	1	1
более или менее	3	4
самое же главное	1	2
а вовсе не	1	1
что отнюдь не	1	1
может быть и	3	2
той или иной	4	1
и само понятие	1	1
всех подобного рода	1	1
одним и тем	1	1
что он обозначает	2	1
мы здесь не	1	1
знак то и	1	1
между прочим в	1	1
чем иным как	1	1
но ввиду своей	1	1
не является только	1	1
которая хотя и	1	1
то или другое	1	1
знак вещи есть	1	1
мы сейчас назвали	1	1
что не есть	1	1
понятия знака мы	1	1
есть смысловое отражение	1	1
в том что	5	4
не потому что	2	1
требует от нас	1	1
буквальном смысле слова	1	1
знаке и символе	1	1
бы мы ни	1	1
так же как	2	1
и то же	1	1
иметь в виду	3	1
может быть проще	1	1
а иной раз	1	1
не менее он	1	1
стороны однако и	1	1
имеющих общего между	1	1
связи с этим	1	2
не имеет ничего	2	2
на тот или	1	1
теории все эти	1	1
что такое знак	1	5
этих двух предметов	1	1
что нет ничего	1	1
в истории философии	2	1
требует для себя	1	2
мы и хотели	1	1
в математическом смысле	1	1
тоже ведь есть	1	1
тут же выясняется	1	1
вещи и ее	2	1
не существуют в	1	1
в этих случаях	2	1
же выясняется что	1	1
перечислить и которые	1	1
случае не может	2	1
не есть только	1	4
здесь не будем	1	1
в то же	4	4
общего между собою	4	2
нет никакой возможности	1	1
вовсе не являются	4	1
что всякий символ	3	1
и что такое	1	3
ли кто-нибудь станет	1	1
в самом деле	2	2
так же мы	1	1
связаны между собою	1	1
сама по себе	4	4
в таком случае	6	10
вообще не существует	1	1
анализ этого термина	1	1
можно сколько угодно	1	1
то или иное	1	2
но как раз	1	1
это совершенно неверно	1	1
в этом смысле	6	5
которые мы считаем	1	1
ничего не значит	1	1
как будто бы	1	5
все равно это	1	1
мышления в этом	1	1
вопрос что же	1	1
станет утверждать что	1	1
во что бы	1	1
сами по себе	3	2
о том как	2	1
не что-нибудь другое	1	1
какой-нибудь предмет то	1	1
не то что	1	1
заключается в том	1	2
уже во всяком	1	1
без употребления термина	1	1
не только в	1	2
этой последней мы	1	1
казалось бы что	1	1
не есть ни	5	3
как мы уже	1	1
между собою но	1	1
у нас только	1	1
и тем более	1	1
или не существует	1	1
вовсе не для	2	1
как раз и	7	4
тоже не есть	2	1
никак не может	1	2
должны сказать что	1	1
именно то что	3	1
и в то	1	1
с первого взгляда	1	1
и перечислить и	1	1
имеющих ничего общего	1	1
тех или других	1	3
то есть чисто	1	1
что в нем	3	1
а существует только	1	1
когда мы говорим	2	2
же как и	1	1
может быть даже	2	1
и если мы	3	1
ничего не знает	1	2
кто-нибудь станет утверждать	1	1
в буквальном смысле	3	1
если мы возьмем	1	2
но даже и	1	1
с другой стороны	3	5
разговаривать не о	1	1
для нашего сознания	1	1
что здесь кроется	1	1
также и на	3	1
с большим трудом	1	1
здесь идет речь	1	2
несет с собой	2	1
то ни стало	1	1
есть не что	2	3
это вовсе не	2	1
но и вообще	1	1
они все равно	1	1
в языке и	1	4
в известной мере	1	1
и только в	1	1
прежде всего как	1	1
точно так же	4	3
тем что он	1	1
вовсе не существуют	1	1
в каком случае	3	3
того или иного	2	5
в известном смысле	1	1
что бы то	1	1
свидетельствует о том	2	1
предмет обозначения и	1	1
так или иначе	2	6
и тем же	1	1
по себе вовсе	1	2
мы можем и	1	1
что мы сейчас	1	1
он может быть	1	1
в другом случае	1	1
каком случае не	2	2
здесь то что	2	1
вовсе не является	3	3
но если мы	2	2
ничего общего между	4	1
иной раз и	1	1
и ничего не	1	1
а не просто	4	2
нас в этой	1	2
подобно тому как	2	2
по этому поводу	3	2
есть нечто более	1	2
самом же деле	1	1
а может быть	2	2
но в таком	4	3
когда мы что-нибудь	1	1
и т д	10	6
что мы выше	2	1
и до наших	1	1
внимание на то	1	1
предмет а не	1	1
есть единораздельная цельность	1	3
то это значит	1	2
то что в	3	1
далеко не всякое	1	2
вовсе еще не	3	1
во всяком случае	3	10
той или другой	1	4
указанные у нас	1	1
и то что	2	7
что может быть	2	1
данном случае уже	1	1
то нет и	1	1
никак нельзя сказать	1	1
при современном состоянии	2	1
это тоже не	1	1
в человеческом сознании	1	1
на самом же	1	1
и в этом	2	3
и в его	1	1
вовсе не есть	6	10
но то что	1	1
мы не знаем	1	1
нечто более общее	1	1
не что иное	2	3
то есть по	2	1
то что мы	6	7
так как иначе	1	3
с понятием знака	1	1
для знака необходим	1	1
но как мы	2	1
хотя бы даже	1	1
не о чем	2	3
есть прежде всего	1	4
в связи с	4	5
о знаке и	1	1
но отнюдь не	3	1
по крайней мере	2	6
нам хотелось бы	1	2
который вовсе не	2	2
бы то ни	1	2
самого понятия знака	1	1
быть проще того	1	1
но уже во	1	1
знак вещи или	1	1
проще того что	1	1
то есть он	1	1
так и в	1	1
не так уж	1	2
в этом отношении	1	1
не есть нечто	1	1
едва ли кто-нибудь	1	2
только потому что	2	1
тем что они	1	1
к нему ни	1	1
так же и	3	2
вовсе не собираемся	1	1
которая и не	1	2
так и их	1	1
не имеющих ничего	1	1
взятые сами по	2	2
также и в	1	1
или попросту говоря	1	1
о чем мы	1	1
тогда когда есть	1	1
именно тем что	1	1
содержит в себе	7	2
ни о каком	1	1
что же такое	1	4
ли сказать что	2	2
все это есть	2	1
и нет ничего	1	1
то время как	1	1
что в конце	1	1
это заставляет нас	1	1
в настоящее время	3	16
это значит что	1	3
раз и является	1	1
ни одна из	1	1
не может быть	2	3
не чем иным	1	1
сказать что он	1	1
тем или другим	3	1
в этой области	2	3
еще не есть	4	2
он перестанет быть	1	1
только то что	4	3
взятая сама по	4	2
вещи или действительности	1	1
же в таком	1	1
можно было бы	2	2
и уж тем	1	5
вместе с тем	1	1
в этом случае	2	7
мы должны сказать	2	1
а то что	1	1
тем более для	1	1
нельзя сказать что	1	1
таким образом что	1	1
не говоря уже	2	4
то и другое	2	1
это то что	1	4
вовсе не так	1	1
к сожалению однако	1	1
себе вовсе еще	1	1
на том что	2	1
на первый взгляд	1	1
даже и не	2	2
пока еще только	1	1
по себе но	3	1
о чем и	1	1
в какой-то мере	1	1
идет речь не	1	1
и вовсе не	4	4
и не просто	2	5
имеет ничего общего	2	2
в то время	1	1
и во многих	1	1
быть даже и	2	1
только в этом	1	1
что в науке	1	1
другой стороны однако	1	1
тем не менее	18	12
тот или иной	1	4
то есть в	4	2
нечто обозначает и	1	2
или может быть	1	1
ни в каком	3	4
в то или	1	1
символа с его	1	1
по своему смыслу	1	1
уж тем более	2	5
в данном случае	8	5
всякий знак есть	2	5
вовсе не то	1	1
том что это	1	1
можно сказать что	3	3
с тем однако	1	1
в отдельности и	1	1
или по крайней	1	3
едва ли даже	1	1
знак то есть	1	2
а не что-нибудь	1	1
не есть этот	1	1
можно даже сказать	1	1
литературы и искусства	4	1
это было бы	1	1
до сих пор	3	4
ничего общего с	7	2
не есть просто	1	2
об этом тоже	1	1
говоря уже о	1	4
по своему содержанию	2	1
говорить о знаке	2	1
не просто только	1	1
же самое время	4	4
этом смысле и	2	1
в конце концов	4	7
мы еще не	1	2
то же самое	9	5
мы не будем	1	1
более общее чем	1	1
этого термина и	2	1
можно ли сказать	2	2
не возникает никакого	1	1
но когда мы	2	1
здесь и не	1	1
не может считаться	1	1
нечто единое и	1	1
того что мы	1	1
только тогда когда	1	3
знака он не	1	1
и тем самым	3	1
функция вещи или	1	1
даже и в	1	3
