4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part1_wordlist_4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part8_wordlist_4gram
может быть отнесена к	1	1
в том числе и	2	7
связь этих форм с	1	1
с народной культурой и	1	1
всегда включает в себя	1	1
как мы уже говорили	1	2
во всех этих явлениях	1	1
на всех этапах своего	1	1
как мы уже сказали	1	3
в комедии дель арте	1	1
выходит за пределы нашей	1	2
смеховой литературы нового времени	1	1
и т.п все эти	1	1
тела и телесной жизни	1	1
до сих пор еще	4	3
и до настоящего времени	2	1
играют существенную роль в	1	1
и в наши дни	1	1
в той или иной	1	5
на самом же деле	1	3
на протяжении всего средневековья	1	2
народной смеховой культуры в	1	1
и в романе рабле	2	1
большей или меньшей степени	3	4
миросозерцательный и универсальный характер	1	1
в то же время	10	1
в значительной своей части	1	2
дело в том что	2	2
и до сих пор	2	1
той или иной степени	1	1
мы уже говорили что	5	2
за пределы нашей работы	1	2
в большей или меньшей	3	4
но в то же	2	1
на отдельные отрицательные явления	1	1
народной смеховой культуры и	1	2
мы уже говорили в	1	1
