2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram	Potebnia_Myslijsyk_partition_part3_wordlist_2gram
все же	2	1
его в	3	4
восприятий и	4	1
подобно тому	2	2
человека только	1	1
на разных	1	1
взятых из	1	1
с языком	1	2
смысл вообще	1	1
иначе как	1	1
наших языках	1	1
и т	5	7
в ту	1	2
достигается в	1	1
я с	1	1
то что	18	29
с понятием	2	1
его как	1	1
по-видимому только	1	1
для развития	2	1
все его	1	1
с первым	1	1
связи с	2	3
из двух	3	1
и той	2	1
то время	4	1
к познанию	1	1
смысле в	2	1
своему влиянию	1	1
уже и	1	2
на первый	1	1
приведенном выше	1	1
одного происхождения	1	1
когда оно	1	2
же с	6	2
при самом	1	1
на наш	1	1
результат научного	1	1
многие другие	2	1
поэзии есть	1	1
котором нет	1	1
никто не	3	2
должно бы	1	1
нам кажется	2	2
нашей мысли	4	3
не без	1	1
или нет	1	1
забвения внутренней	1	1
эта особенность	1	1
не есть	17	9
через представление	1	1
те же	6	3
могут быть	3	7
между новым	1	1
со значением	2	3
знак символ	1	1
из которого	1	1
сознания и	1	1
сказать о	1	1
значило бы	1	1
в его	4	5
все равно	4	3
ли мы	1	1
в нас	2	3
козьи уши	2	3
мы бы	1	2
и другим	1	3
и может	3	4
готовую мысль	1	1
с нею	2	3
нас самих	1	1
отношение к	2	2
ему только	2	1
не заключает	2	1
да и	1	4
деятельности мысли	1	1
есть только	5	5
понятие о	2	1
существует для	3	1
говоря словами	1	2
что цель	1	1
по мере	4	7
не можем	3	5
останавливаясь на	1	1
то самое	1	1
вовсе не	7	7
полагать что	1	1
к ним	1	2
про себя	1	1
такой степени	2	6
только а	1	1
образом что	1	2
мысли с	1	1
мысли этот	1	1
бы в	2	2
до слова	4	1
и было	1	1
внешняя форма	7	3
языка вообще	1	1
а вместе	1	1
с и	3	2
перед собою	2	2
под условием	2	3
сюда место	1	1
в глазах	1	2
вместе и	5	2
категории причины	1	2
убеждения что	1	1
есть выражение	2	1
в каждой	4	1
человек должен	1	1
этом настроении	1	1
как предмет	1	1
убеждение в	1	1
так сказать	2	5
другой стороны	4	1
отношению к	5	8
этом слове	1	4
то и	6	4
что содержание	5	1
его с	2	1
явления природы	1	1
и какое	1	1
и сама	1	2
до него	1	1
и не	15	18
слово как	5	1
понятий но	1	1
что язык	2	7
и та	2	4
выше мы	2	2
таким образом	14	24
по своему	2	2
разве только	2	1
тогда когда	9	8
собою доску	1	1
имеет свою	1	2
тем что	7	10
мы обозначаем	1	1
смысле этого	7	1
дает нам	3	1
все эти	1	3
которого не	1	1
в данном	1	4
хотя уже	1	1
на словах	1	1
есть новое	1	1
с самого	1	1
этим последним	1	4
т д	3	3
люди не	1	1
на его	2	3
листьев и	1	1
невозможно если	1	1
исходною точкою	1	1
языка в	5	2
перед нами	2	1
зависящее от	1	1
к содержанию	3	1
словом как	1	1
быть может	3	4
сами по	1	2
из виду	2	2
в первом	3	3
предмета но	1	1
таком же	1	1
каких не	1	1
начале языка	1	1
представляет ее	1	1
самое слово	2	4
сказанного ясно	1	1
бы оно	1	1
первый взгляд	1	1
на них	1	1
о влиянии	1	1
мысль которая	1	2
что человек	2	3
например солнце	1	1
вообще как	2	1
то уже	1	2
в своем	5	8
