3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram
не до конца	1	1
стих есть не	1	1
все то что	3	11
не только в	1	1
в этом рассказе	1	2
к этому вопросу	1	1
составлено не мыслью	1	1
как она написана	1	1
ясно что эти	1	1
то что она	1	1
во всяком случае	6	3
в том чтобы	7	3
есть как бы	1	1
для того чтобы	5	19
о том что	7	10
этой точки зрения	5	1
в том как	1	1
на то что	8	6
вместе с тем	2	2
что иное как	1	1
мыслью а чем-то	1	1
сцепление слов в	1	1
можно найти в	1	1
когда говорит что	3	1
на самом деле	2	5
чем-то другим и	1	1
не только не	3	2
это и есть	1	3
мысли об этом	1	1
те же самые	1	2
и вместе с	1	1
вступить в противоречие	1	1
потому что это	1	1
в этом романе	1	1
самой своей природе	1	1
ни в какой	3	1
событий в рассказе	1	1
совершенно верно говорит	1	1
так как это	1	3
никак не может	2	2
в основу этого	1	1
на то чтобы	2	2
именно то что	1	1
что и в	2	1
никогда не поймем	1	1
и в этом	1	3
его рассказа и	1	1
что могло бы	1	1
что в таком	1	1
а чем-то другим	2	1
начинает с конца	1	1
в это время	1	2
одной и той	3	2
и в сущности	1	1
и не было	1	1
можно с совершенной	1	1
совершенно понятно что	1	2
и так как	3	1
психологической точки зрения	4	1
так как она	1	3
и казалось бы	1	1
с совершенной ясностью	1	1
примере легче всего	1	1
в двух планах	1	1
и в частности	1	2
возникает целый ряд	1	1
из которых складывается	1	1
с его формой	1	1
так же точно	3	5
не что иное	1	1
же как и	1	1
в том и	2	1
как нельзя лучше	1	1
том что она	3	1
с но вся	1	1
так как мы	1	2
в том что	9	12
лежит в основе	1	1
в то время	5	2
и вот это	1	1
как бы его	1	2
в приложении к	1	2
в евгении онегине	2	1
в художественном произведении	3	1
на примере легче	1	1
и если мы	2	2
к выводу что	1	1
составляющих его звуков	2	1
сказать что в	3	2
в целом ряде	2	1
оно может быть	1	1
и кажется как	1	1
и т п	15	3
то мы увидим	1	1
с таким образом	8	2
с на примере	1	1
так же как	4	3
в свою очередь	1	1
то есть в	2	1
тому как она	1	1
с другой стороны	5	2
в конечном счете	3	1
совершенно очевидно что	2	1
ни в каком	1	1
что самое важное	1	1
и только после	1	5
мы знаем о	1	1
точном смысле этого	1	2
и если критики	1	1
в согласии с	1	1
и что следовательно	2	1
нашего исследования и	1	1
иметь дело с	1	1
смысле этого слова	2	3
том что он	1	3
формы и содержания	1	1
же самое и	1	2
тому же самому	2	1
звуков а есть	1	1
до тех пор	1	2
звуков так же	1	1
же мнения придерживается	1	1
он говорит что	1	2
замечательно то что	1	1
можно сказать что	1	1
психологи как липпс	1	1
с одной стороны	5	3
не было бы	2	1
в противоречие с	2	1
конце концов только	1	1
вместо того чтобы	1	2
мы увидим что	2	1
с конца с	1	1
что речь идет	2	1
когда он говорит	1	1
конце концов приводит	1	1
приходится иметь дело	1	1
был у него	1	1
к тому же	1	2
бы сказать что	1	1
точно так же	3	3
друг к другу	1	1
нет никакой возможности	1	2
что в сущности	1	1
так же и	1	1
что при помощи	1	1
том что на	1	1
но совершенно верно	1	1
тому что он	1	1
и той же	3	2
с самого начала	1	5
только обратиться к	1	2
в мире в	1	2
его звуков а	1	1
в самом деле	7	7
потому что он	2	2
так просто и	1	1
то что у	3	1
к тому чтобы	3	3
совершенно не то	1	1
д все это	1	1
к этому что	1	1
до сих пор	3	3
сама по себе	2	3
имел в виду	1	1
ровно столько сколько	1	1
в таком случае	2	1
тем же самым	1	1
но что оно	1	1
если бы мы	1	2
и трагедии шекспира	1	1
дело в том	1	1
с точки зрения	2	4
речь идет о	1	2
может быть в	1	1
мы находимся в	1	1
было бы сказать	1	2
бы если бы	1	1
мы не можем	2	1
в этом смысле	2	1
если мы хотим	1	1
и в самом	2	2
как говорит толстой	1	1
в сущности говоря	3	2
в какой мере	3	2
если мы обратимся	1	1
мы никогда не	4	3
что в этом	3	1
так точно мы	1	1
выразить то что	1	1
как бы в	1	1
при таком понимании	1	1
мы все время	1	2
мы приходим к	1	1
по самой своей	1	1
вслед за этим	1	3
то что все	1	1
значение и смысл	1	1
целый ряд очень	1	1
у него в	1	1
если мы припомним	2	1
том или ином	1	1
в конце концов	3	3
то же самое	2	6
то время как	5	2
все дело в	1	1
и в конце	1	2
планах с одной	1	1
имеет в виду	2	1
с психологической точки	3	1
до конца и	1	1
подобно тому как	5	1
совершенно ясно что	14	3
мы обратимся к	1	1
мы вовсе не	1	1
и таким образом	2	1
с этой точки	4	1
не может быть	8	1
вот что говорит	1	1
он как и	1	1
эстетической реакции в	1	1
в том или	1	1
что в этой	1	2
а может быть	1	1
сумма составляющих его	1	1
сами по себе	1	3
с все это	1	1
тех пор пока	1	2
и т д	8	2
несмотря на все	1	1
мы видим что	2	2
точку зрения на	1	1
та же самая	2	1
говорит что в	1	1
легко показать что	2	2
не то что	1	3
заключается в том	6	3
прибавим к этому	1	1
как и всякий	1	1
и в результате	1	1
то что он	1	3
закон и этот	1	1
т д все	1	1
такого же мнения	1	1
только то что	1	1
надо сказать что	3	3
не мыслью а	1	1
этот закон и	1	1
то что в	1	3
