3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_3gram
формального метода не	1	1
и пр и	4	2
независимо от произведения	1	1
т е какие	1	1
и до настоящего	1	1
его форм и	1	1
во всяком случае	5	4
т е как	2	2
в том чтобы	1	2
мы полагаем что	1	2
не выходя за	1	1
метод в истории	1	1
ничего не останется	1	1
вместе с тем	4	1
полнее всего выражает	1	1
в высшей степени	4	1
науки о литературе	1	2
каждый элемент ее	1	1
а не как	1	1
одного без другого	1	1
роковую роль в	1	1
и ни на	1	1
в большинстве случаев	3	2
на самом деле	3	6
при этом не	1	1
занимает очень важное	1	1
или иное значение	1	1
живом взаимодействии с	1	2
в его целом	1	8
таким образом не	2	1
этого прежде всего	1	1
художественной структуры как	1	1
в этом романе	1	1
п одним словом	1	1
как раз и	3	1
более или менее	1	6
всех этих основных	1	1
единстве социальной жизни	1	4
а вовсе не	1	2
не говоря уже	1	1
на то чтобы	1	1
может быть и	3	3
в своей статье	3	3
очень важное место	1	1
прежде всего в	2	3
что и в	1	1
в этом пункте	2	2
и в то	3	1
поэтики должно быть	1	1
язык и поэзия	1	1
как мы увидим	1	2
на их почве	1	1
в зависимости от	3	2
к тому что	2	1
формального метода на	1	1
и в этом	5	2
конкретном единстве идеологического	1	1
первый период развития	1	1
но и в	3	1
особое место в	1	1
в противном случае	1	1
превращения его в	1	1
пр и пр	4	2
и не может	3	2
в литературном произведении	1	2
в конкретном единстве	1	2
до последнего времени	1	1
вне художественной структуры	1	1
конструкции поэтического произведения	1	1
всего может быть	1	1
в том что	2	1
же наивно как	1	1
в художественном произведении	1	2
и пр т	1	1
художественного произведения в	2	2
и не в	2	2
то же время	5	8
в первый период	5	1
основные тенденции их	1	1
и т п	9	4
в широком смысле	1	1
и отчетливости в	1	1
в конструкцию произведения	1	1
лишь в процессе	1	1
имеет значение лишь	1	1
дело идет о	2	2
так сказать в	1	1
роль в истории	1	1
технически служебные и	1	1
тем не менее	1	1
и ее в	1	1
единстве идеологического кругозора	1	1
но даже и	1	1
произведения т е	2	1
в художественную конструкцию	3	1
тех тенденций и	1	1
идеологического кругозора в	1	2
в связи с	10	2
не могло не	1	2
во всех своих	1	1
в свою очередь	1	6
один из возможных	1	1
нас не было	1	1
бы то ни	1	3
с другой стороны	3	1
элементы художественной конструкции	1	1
и здесь не	1	1
в отличие от	2	1
отсюда отнюдь не	2	1
ради нее самой	1	1
связи с этим	3	2
истории формального метода	2	1
в единстве социальной	1	4
направления т е	1	1
поэтика должна быть	1	2
но все эти	1	1
чем же является	2	1
смысле этого слова	1	3
если произведение действительно	1	1
мы видели является	1	1
является конститутивным моментом	1	1
совсем не так	1	1
для этого прежде	1	1
идеологической жизни а	1	1
в данном случае	1	1
и всякое иное	1	1
формальный метод в	2	3
элементы художественной программы	1	1
какого-нибудь литературного направления	1	1
но все же	2	1
и глубже чем	1	1
то ни стало	2	2
только и может	2	2
другими идеологическими явлениями	1	1
в той же	1	1
поэтического языка и	1	1
новое научное направление	1	1
в ней и	1	1
взаимодействии с другими	1	2
методы истории литературы	1	2
так и в	3	4
всех своих моментах	1	1
произведение т е	1	1
чем это казалось	1	1
с одной стороны	1	4
что перед нами	1	1
и хорошо но	1	1
в применении к	2	2
т п в	1	1
в то же	5	8
пр т е	1	1
воздействующий на литературу	1	1
в этом отношении	7	1
но и с	1	1
т е в	1	1
и др однако	1	1
вот как формулирует	1	1
произведение как таковое	1	1
отнюдь не следует	2	1
этом пункте как	1	1
как мы видели	4	2
того или иного	4	2
между этими двумя	2	1
лишь как один	1	1
по аналогии с	1	3
можно говорить о	1	1
его целом ни	1	1
формального метода в	2	4
с самого начала	2	1
и до сих	1	1
в отрыве от	1	1
мы знаем совершился	1	1
в нем как	1	1
к тому чтобы	2	1
с другими идеологическими	1	1
что бы то	1	2
что конструктивное значение	2	1
до сих пор	1	6
ничего общего с	1	1
к основным явлениям	1	1
с тем пониманием	1	1
сама по себе	1	2
развития формального метода	1	2
социальной жизни и	1	2
же время и	1	1
до настоящего времени	1	2
так или иначе	1	1
более и более	1	2
с точки зрения	7	13
на почве самого	1	1
как такового в	2	1
мы ни взяли	1	1
в процессе борьбы	1	1
хотя бы в	3	1
именно в том	1	1
и даже основные	1	1
говоря уже о	1	1
ни взяли мы	1	1
важное место в	1	1
мы не можем	1	2
в этом смысле	2	1
русский формальный метод	2	2
в последнем счете	1	1
это казалось раньше	1	1
раз и навсегда	1	1
в истории литературы	2	2
же время не	1	1
т п одним	1	1
фактор воздействующий на	1	1
и методы истории	1	2
как мы знаем	2	1
и входит в	1	1
все более и	1	2
поэтому мы не	1	1
теории поэтического языка	2	1
но в то	1	2
по теории поэтического	1	1
в настоящее время	1	10
во что бы	1	2
нем как в	1	1
при таком положении	1	2
главным образом на	1	2
не может быть	10	5
становящемуся ряду развития	1	1
изображения и выражения	1	1
конструктивного значения в	1	1
как один из	1	1
постановке методологических проблем	1	1
сами по себе	2	2
методы их разрешения	1	1
в предисловии к	2	1
автор все время	1	1
его конструктивного значения	1	1
формалисты исходили из	1	1
а отчасти и	1	2
и т д	5	8
с другими областями	1	1
заумный язык и	2	1
сводится к тому	1	2
не по принципу	1	1
т д ?	1	1
каждого его элемента	1	1
и тем самым	1	1
и пр являются	1	1
у нас не	1	2
в его специфичности	1	1
менее всего может	1	1
только при соблюдении	1	1
его конкретной полноте	1	1
