2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_2gram
есть как	1	1
и тех	1	1
все же	4	8
его в	3	4
глубины души	2	1
здесь то	2	1
слов о	1	1
так например	1	1
себе не	1	1
том и	1	1
о решении	1	1
для меня	2	1
вся эта	1	1
подобно тому	2	2
определение но	1	1
о мире	5	8
ли она	1	1
менее всего	1	1
он теперь	1	2
каждое лицо	1	2
говорите что	1	1
слова и	1	11
воли но	1	1
мысли о	1	1
даже в	6	5
ни один	3	1
это вовсе	2	1
человека нет	1	1
не хочу	2	4
делая его	1	1
и к	2	12
я вам	1	5
даже с	1	1
для раскольникова	1	1
но здесь	1	1
независимо от	1	1
с такими	2	1
кроме того	1	1
раскольников еще	1	1
своем смысле	1	1
его и	3	3
связан с	2	2
так и	3	8
изображающим словом	1	1
достоевского это	2	3
дело идет	6	3
сознание и	4	2
вовлекается в	1	1
не является	3	1
девушкина и	1	1
в другой	1	1
только еще	1	1
действующие лица	1	1
и у	2	4
за пределы	5	3
конечно в	2	2
есть нечто	1	1
последнее слово	1	4
то что	5	10
но как	2	4
вот все	2	1
не как	6	3
и предвосхищает	1	1
что тут	1	2
и от	3	3
чтобы сделать	1	1
в единый	1	1
как для	1	1
как слово	5	1
им в	4	2
никак не	1	1
не укладывается	2	1
самого героя	2	3
отлично понимает	1	1
в особенности	2	1
чужих слов	2	1
последнего слова	3	1
изображаются они	2	1
все его	3	4
в точке	5	1
слово среди	1	1
в свою	1	1
достоевский и	1	1
в те	1	1
на который	1	1
и изобразить	1	1
можно найти	2	1
иной степени	2	2
тому же	1	3
не скупясь	1	1
неужели вы	1	2
мы обратимся	1	1
в высшей	1	3
той же	1	2
от себя	1	5
если бы	2	1
та же	1	4
в обычном	1	2
с уже	1	2
это уже	1	2
скупясь на	1	1
и главное	1	1
связи с	1	1
голос сони	1	2
человека она	1	1
ни в	2	2
живого человека	1	1
нигде не	6	1
пересекаются с	1	1
то время	1	1
как не	5	1
что в	6	6
бы сказали	1	1
ивана карамазова	4	4
протяжении всего	2	4
друг от	2	1
в начале	2	3
а как	4	2
за ним	1	2
в своей	6	4
может ли	1	1
как раз	6	4
него нет	3	2
уже и	1	2
полемики с	1	1
иногда до	1	1
друг с	2	4
все в	1	1
стоит он	1	3
мы так	1	1
в основе	2	1
со словом	1	3
с его	8	7
и голосов	1	1
с сестрой	1	1
почти еще	1	1
диалоге а	1	1
в районе	1	1
в противоречии	1	1
этом случае	1	1
что дело	1	1
диалогически обращен	1	3
бы и	3	2
в той	3	4
очень часто	1	2
голоса но	1	2
о чем	1	1
ко мне	1	1
знают и	1	2
зависимости от	3	1
и что	2	6
и принципиальным	1	1
всего этого	3	3
эти три	1	1
его внутренней	1	4
самом его	1	1
нему все	1	1
и все	1	15
сливается с	4	4
отойти от	1	1
здесь к	1	1
на этот	1	2
уж не	1	2
нам кажется	1	1
они все	1	1
романа это	1	1
бы они	1	2
всем этим	2	2
что на	1	2
ему и	1	1
себя и	2	8
для чего	1	1
найти в	1	1
я ты	1	1
из которых	2	1
как можно	1	2
его слово	1	4
в них	4	4
кажется что	2	2
стоит на	1	1
него в	1	1
достоевского а	1	1
его лежит	1	1
на одном	1	1
в замысле	2	1
обычном смысле	1	2
может стать	2	1
образом как	1	1
но тем	1	1
в роман	1	2
те же	2	2
и так	1	4
себе вопрос	1	1
и ни	1	2
что все	3	2
и ставит	1	1
не может	24	18
понятно что	1	2
сохраняется и	1	2
которого мы	1	1
глубокой и	1	1
если не	2	1
в чужих	2	2
из которого	2	1
там где	6	7
а прежде	1	1
да я	1	1
функции в	1	1
мы видели	3	2
то есть	50	16
дано в	1	1
им до	1	1
еще до	1	2
ко всем	2	1
души человеческой	2	1
вместе с	1	2
ней в	1	1
его мысли	1	2
всю судьбу	1	1
сознания и	6	4
братьев карамазовых	1	2
сказать о	1	1
достоевского ибо	1	1
в братьях	2	3
в том	8	5
я к	1	2
к героям	1	1
происходит в	1	1
образ и	1	1
в его	22	21
все равно	1	2
его уже	1	1
твердого образа	1	1
и т.п	6	6
разобранные нами	1	1
перенести его	1	1
мы бы	1	1
не входит	2	1
зосимы в	1	1
диалогом с	1	1
в диалоге	3	3
приводит к	1	2
ту сторону	1	1
о том	3	2
меня не	1	4
отношение к	8	6
его идеологическим	1	1
речи как	1	1
особенно отчетливо	1	1
в виду	2	3
бы с	1	2
в самой	3	1
еще в	1	4
да и	1	5
во всей	1	1
к самому	1	5
большинстве случаев	2	2
мире достоевского	6	3
есть только	4	2
среди других	2	2
общения с	1	1
с порфирием	2	1
что сам	1	2
об этих	2	1
в некоторых	2	1
между голосами	1	2
не все	1	1
как мы	8	8
так чтобы	2	4
одном сознании	1	2
еще резче	1	1
здесь существенно	1	1
может быть	18	14
ивана федоровича	1	2
чужой голос	1	6
то в	1	2
и его	8	14
в одной	5	3
себе его	1	1
это я	1	3
правда в	2	1
и себе	1	1
мысли но	1	1
его мысль	1	4
не приводит	1	1
с таким	1	2
уже говорили	2	5
и обратно	1	1
вследствие этого	1	1
как его	2	3
глазами но	1	1
в отношении	1	9
не изображаются	3	1
в устах	1	1
на мир	2	1
вовсе не	7	7
она не	5	1
теперь не	1	2
который является	1	1
произведениях достоевского	4	2
себя самого	1	7
есть не	1	1
человека а	1	1
про себя	3	2
в бесах	1	1
это как	2	3
в виде	1	7
не на	4	1
он бросает	1	1
я не	6	8
обращено к	3	2
федора павловича	1	1
за собой	2	3
установки в	1	1
всего как	1	1
поступков и	1	1
по всему	1	1
пожалуй что	1	1
достоевского мы	1	1
есть человека	2	1
здесь не	2	1
не видел	1	1
о себе	3	17
и голос	2	5
каждый из	1	2
к лицу	1	1
той или	3	4
бы в	5	4
и жизнь	1	1
можем сказать	2	2
отличие от	1	2
нем нет	1	1
и прежде	2	4
она в	1	2
тот же	2	4
достоевского и	2	2
и самое	2	2
и действительно	2	1
сказать что	5	3
это конечно	1	1
и других	3	1
чего тут	1	1
как он	4	2
замысла достоевского	1	1
вы не	1	2
достоевского как	5	2
диалоге с	1	2
именно как	1	1
перед ним	2	1
всего романа	2	2
возможно лишь	1	1
да ведь	2	1
входят в	1	1
в каждой	1	2
нам еще	1	1
к самой	1	1
ответ на	1	1
к слову	1	2
слова мы	1	2
и очень	1	1
но ведь	3	2
и даже	3	5
еще раз	3	1
того чтобы	1	1
или с	1	1
в своих	4	1
только в	9	6
в произведениях	3	2
тоже не	2	1
с ними	4	5
и мир	5	2
другой стороны	1	3
так сказать	7	2
в этой	1	1
достоевского с	1	1
из тех	1	1
чужим словом	1	1
отношению к	8	7
самом содержании	1	1
что еще	2	1
его с	2	5
друг о	2	1
героев достоевского	4	3
ибо не	1	1
резко отличается	1	1
самим собою	1	9
самоубийство ипполита	1	1
к этому	4	1
любви и	1	1
и сочетается	1	1
и эта	3	1
тут надо	1	1
но для	1	2
не оказывается	1	1
внутренний диалог	1	10
как в	4	5
нет ни	3	2
бедных людях	1	1
во всяком	1	4
говорит не	1	1
и не	42	27
что у	4	6
слово как	1	1
мы уже	3	8
здесь же	1	1
и та	1	2
лицом к	1	1
лежит в	2	2
меньшей степени	2	1
таким образом	11	7
тем более	1	1
мире а	1	2
свой предмет	1	2
элементов произведения	1	1
не он	1	1
он как	3	4
оценок и	1	1
время не	1	3
тем что	2	4
же касается	1	1
поэтому слово	1	1
уже в	4	3
героя из	1	3
в жизни	3	2
это и	1	3
вы правы	1	1
высшем смысле	2	1
у вас	2	1
в плане	1	6
диалог в	2	2
не только	16	10
главного героя	1	1
ибо в	1	3
является лишь	1	1
говорит нет	1	1
он не	9	13
в основном	1	1
героя он	1	1
говорит он	1	4
для его	1	2
романа они	1	1
эти голоса	1	1
смысле этого	2	2
для правильного	2	1
в человеке	10	1
но у	3	1
наконец в	1	4
все эти	4	3
внутреннего человека	1	1
что из	1	1
в данном	1	1
в пределах	4	11
романа этот	1	1
смысле и	1	1
рядом с	3	4
и потому	6	1
слова в	4	6
когда уже	1	1
собою в	1	1
о герое	4	1
с самого	1	8
со своим	1	2
в идиоте	1	1
в их	4	1
в кругозор	2	2
его воли	1	1
диалог не	1	2
к герою	5	8
то все	1	2
из области	1	1
не видит	1	1
в себе	5	5
и того	1	2
в большей	1	1
и он	3	2
между ними	4	1
в рассказе	3	2
