3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram
нашей гипотезы мы	1	1
в первом случае	1	3
доказательство того что	1	1
для того чтобы	14	18
но с точки	1	2
о том что	4	4
этой точки зрения	4	4
синтаксис внутренней речи	2	1
речи то что	1	1
что иное как	1	1
на самом деле	1	2
для структурной психологии	1	1
к внутренней речи	2	3
в одинаковой мере	2	1
могли бы сказать	2	2
известные нам факты	1	1
не только не	3	9
и вместе с	1	2
с помощью этого	1	1
этом и заключается	1	1
меру того в	1	1
языка так же	1	1
не иначе как	2	2
той или иной	1	1
мы могли бы	6	4
мы необходимо должны	1	1
на первом месте	1	1
в зависимости от	2	1
сущности говоря это	1	1
так что в	2	1
изучения экспериментальных понятий	1	1
можно было выразить	1	1
в мысли ребенка	2	1
зрения развиваемой нами	1	1
а не произносится	1	1
своей звучащей стороны	1	1
по своей психологической	2	3
письменной речи находятся	1	1
так же точно	1	3
речи для себя	1	10
в том что	11	13
интересующий нас вопрос	1	2
только по отношению	1	1
вообще отношения между	1	1
тем что оно	1	2
сравнению с устной	1	1
показывает что в	1	1
того чтобы понять	1	1
то что ребенок	3	1
вещи к самой	1	1
так же как	7	7
того чтобы сделать	2	2
по своему значению	1	2
и то же	1	3
в отличие от	2	2
кроме того что	1	1
уже в силу	1	1
протяжении школьного возраста	2	1
но все же	2	1
всем протяжении школьного	1	1
осознания и произвольности	1	1
том числе и	1	1
в то же	1	1
большей мере чем	1	1
то что эта	1	1
в собственном смысле	1	3
таким образом мы	1	1
с самого начала	5	7
в самом деле	2	4
относящиеся к нему	1	1
сама по себе	4	1
с точки зрения	9	21
речи находятся в	1	1
мы не можем	1	3
в этом смысле	1	1
совершенно то же	1	1
в силу этого	1	1
речи таким образом	1	2
что в этом	1	2
подлежащее и относящиеся	1	1
в самой постановке	1	1
мере в какой	3	2
мы нашли что	2	3
речь в этом	1	2
но не может	1	1
строению и способу	1	1
не совпадает с	1	3
само по себе	2	1
и связанное с	1	1
всего школьного возраста	1	1
заключается в том	5	4
по нашему мнению	1	1
уже один этот	1	1
как два независимых	1	1
оба эти вопроса	1	1
но при этом	2	1
внутренняя речь есть	1	4
то положение что	1	1
в обоих случаях	1	1
высших психических функций	5	1
развитие есть не	2	1
от до лет	1	1
у нас на	1	1
больше кроме того	1	1
никак не может	1	1
привел к тому	1	1
и что мы	1	1
от внутренней речи	1	1
по своему строению	1	5
того что он	1	1
нас на глазах	1	1
но он еще	1	1
в момент усвоения	1	1
же как и	1	2
этого метода мы	1	1
развития научных понятий	2	2
не может возникнуть	1	1
что мысль ребенка	1	1
развитие смысловой стороны	1	3
ничего больше кроме	1	1
в устной речи	3	3
речи внутренняя речь	1	1
в меру чего	1	1
в свою очередь	3	2
в виду только	1	1
по отношению к	12	5
с другой стороны	2	1
таким образом в	2	2
для новой психологии	1	1
при письменной речи	2	1
мы находим в	1	2
поэтому мы и	1	1
есть не что	1	1
друг другу не	1	1
связанное с ним	1	1
детского мышления и	1	2
вместо того чтобы	3	1
бы сказать что	1	2
друг к другу	1	1
помощью этого метода	1	1
детского мышления как	1	1
по аналогии с	1	1
речь отличается от	1	1
в известном смысле	7	2
так как хотя	1	1
и той же	1	2
ребенка в года	1	1
такой же мере	3	3
мере развития ребенка	1	2
том что в	2	2
тогда когда это	1	1
момент когда ребенок	1	1
того в меру	1	1
плана в план	1	1
по своей природе	1	4
все известные нам	1	1
и ничего не	1	1
подобно тому как	4	1
стадии в развитии	1	1
все эти три	2	2
точки зрения психологической	1	1
меру того как	1	1
в дошкольном возрасте	2	1
из того что	4	2
взрослого таким образом	1	1
нам факты из	1	1
то что с	1	1
что эта фраза	1	1
во всяком случае	1	1
всех высших психических	2	1
речи так же	1	1
письменной речи в	3	1
не имеет места	1	1
ребенка с помощью	1	1
друг с другом	7	2
с которым мы	1	1
в высшей степени	2	1
и то что	2	3
в которой он	1	1
психологического развития в	1	1
в том числе	1	1
к самой себе	1	1
друг от друга	4	2
потому что в	2	1
означает в сущности	2	1
факты из области	1	1
стороны речи и	2	2
имеет дело с	1	1
включает в себя	2	1
к тому что	1	6
ходе развития ребенка	1	1
одной и той	1	2
так как она	2	3
но мы не	1	1
точки зрения является	1	1
и не может	2	1
по сравнению с	5	7
и ко всем	1	2
не что иное	1	1
что оно имеет	1	2
мы не станем	2	1
тот момент когда	2	1
в новой психологии	1	2
мы должны были	1	1
но вместе с	1	1
сам по себе	1	1
самом деле если	1	1
для другого в	1	1
что представляет собой	2	1
на всем протяжении	2	4
благодаря тому что	1	2
из того положения	1	1
именно в этом	2	2
оба эти процесса	1	1
речи по сравнению	1	1
так и в	1	1
в такой же	3	3
с одной стороны	3	5
в этом отношении	5	3
сказывается прежде всего	1	1
тем что ребенок	1	2
как мы видели	2	3
дорогу к объяснению	1	1
что с помощью	1	1
ничего иного кроме	1	1
приводит нас к	2	2
в той мере	3	2
есть ключ к	1	1
речи так как	1	1
есть в сущности	1	1
на вопрос о	3	1
как мы показали	1	2
на пороге школьного	4	4
этих феноменов и	1	1
речь речь для	1	1
и во всяком	1	1
житейских понятий и	2	1
в направлении к	1	2
смысле можно сказать	1	2
в ходе развития	2	7
к мысли взрослого	1	1
в этом и	1	2
того чтобы осветить	1	1
своей психологической природе	2	2
в функциональном отношении	1	1
в лучшем случае	3	2
по самой своей	2	1
только в том	1	1
в этот период	2	2
то время как	4	2
по мере развития	1	4
и что в	1	1
одно и то	1	3
это значит что	4	1
речи можно сказать	1	2
могут быть названы	1	1
с этой точки	4	4
месте должно быть	2	1
не может быть	3	4
известном смысле можно	1	2
той же мере	2	2
всего сказанного выше	1	1
состоит в том	3	3
и способу функционирования	1	1
в этой области	1	1
так точно как	1	1
возможность не только	1	1
же самое что	2	2
что оба эти	1	1
не только для	1	1
не до конца	2	2
не могут быть	1	1
можно было бы	3	1
ступени в развитии	2	1
как это мы	1	1
вместе с тем	2	4
и относящиеся к	1	1
того чтобы изучить	1	1
в этом случае	3	14
своему строению и	1	1
мысль что в	1	1
того положения что	2	1
ребенка к его	1	1
в первую очередь	1	1
точки зрения развиваемой	1	1
чем перейти к	1	2
в школьном возрасте	18	1
целиком и полностью	2	1
то и другое	2	3
пороге школьного возраста	4	4
первом месте должно	1	1
исключает всякую возможность	1	1
же мере как	2	2
как мы увидим	1	1
того факта что	2	1
эти сложные отношения	1	1
которое как мы	1	1
чем в устной	1	1
смысловой стороны речи	1	7
и их развития	1	2
ребенок раньше овладевает	1	1
которым мы сталкиваемся	1	1
слов и их	1	2
в то время	4	2
понятия не заканчивается	1	1
речи как на	1	1
к выводу что	1	2
как мы в	1	1
представление о том	1	2
совершенно иначе чем	1	1
после всего сказанного	1	1
в развитии ребенка	1	1
сказать что в	1	1
одной стороны и	1	3
то что является	1	1
не заканчивается а	2	1
своей природе и	1	1
связаны между собой	3	3
тем не менее	1	3
понятий и их	1	1
в том же	1	1
при переходе от	1	3
в этом заключается	1	1
в равной мере	1	1
только начинается в	1	1
исследование показывает что	3	1
смысле этого слова	1	3
том что он	2	2
было бы неверно	1	1
школьного возраста и	1	1
этого вопроса не	1	1
в той же	2	2
а только начинается	2	1
тех и других	1	1
и вопрос о	1	1
от внешней по	1	1
можно сказать что	5	3
поэтому что не	1	1
функций и в	1	1
что эта речь	1	4
таким образом ребенок	1	1
заканчивается а только	2	1
внутреннее строение и	1	1
внутренней речи является	1	1
развиваемой нами гипотезы	1	3
сказать что оно	1	1
изменяется и отношение	1	1
потому что он	5	2
в заключение на	1	1
до сих пор	3	3
прежде чем перейти	1	2
шаг за шагом	1	1
мы уже говорили	1	1
этот вопрос так	1	1
она представляет собой	1	4
той мере в	3	2
в сущности говоря	4	2
что он не	2	1
он еще не	1	1
в письменной речи	5	1
в меру того	2	3
речи исследование показывает	1	1
развивается у ребенка	1	1
же самое время	1	1
одним из основных	1	1
то же самое	4	5
должно быть поставлено	2	1
и таким образом	1	1
не можем не	1	2
если бы обе	1	1
с письменной речью	1	1
развития в школьном	2	1
того что мы	2	1
речи в какой	1	1
и тем самым	1	4
и состоит в	1	1
но мы должны	1	2
