2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_2gram
есть как	1	1
и тех	1	1
все же	8	4
его в	4	3
глубины души	1	2
здесь то	1	2
слов о	1	1
так например	1	1
себе не	1	1
том и	1	1
о решении	1	1
для меня	1	2
вся эта	1	1
подобно тому	2	2
определение но	1	1
о мире	8	5
ли она	1	1
менее всего	1	1
он теперь	2	1
каждое лицо	2	1
говорите что	1	1
слова и	11	1
воли но	1	1
мысли о	1	1
даже в	5	6
ни один	1	3
это вовсе	1	2
человека нет	1	1
не хочу	4	2
делая его	1	1
и к	12	2
я вам	5	1
даже с	1	1
для раскольникова	1	1
но здесь	1	1
независимо от	1	1
с такими	1	2
кроме того	1	1
раскольников еще	1	1
своем смысле	1	1
его и	3	3
связан с	2	2
так и	8	3
изображающим словом	1	1
достоевского это	3	2
дело идет	3	6
сознание и	2	4
вовлекается в	1	1
не является	1	3
девушкина и	1	1
в другой	1	1
только еще	1	1
действующие лица	1	1
и у	4	2
за пределы	3	5
конечно в	2	2
есть нечто	1	1
последнее слово	4	1
то что	10	5
но как	4	2
вот все	1	2
не как	3	6
и предвосхищает	1	1
что тут	2	1
и от	3	3
чтобы сделать	1	1
в единый	1	1
как для	1	1
как слово	1	5
им в	2	4
никак не	1	1
не укладывается	1	2
самого героя	3	2
отлично понимает	1	1
в особенности	1	2
чужих слов	1	2
последнего слова	1	3
изображаются они	1	2
все его	4	3
в точке	1	5
слово среди	1	1
в свою	1	1
достоевский и	1	1
в те	1	1
на который	1	1
и изобразить	1	1
можно найти	1	2
иной степени	2	2
тому же	3	1
не скупясь	1	1
неужели вы	2	1
мы обратимся	1	1
в высшей	3	1
той же	2	1
от себя	5	1
если бы	1	2
та же	4	1
в обычном	2	1
с уже	2	1
это уже	2	1
скупясь на	1	1
и главное	1	1
связи с	1	1
голос сони	2	1
человека она	1	1
ни в	2	2
живого человека	1	1
нигде не	1	6
пересекаются с	1	1
то время	1	1
как не	1	5
что в	6	6
бы сказали	1	1
ивана карамазова	4	4
протяжении всего	4	2
друг от	1	2
в начале	3	2
а как	2	4
за ним	2	1
в своей	4	6
может ли	1	1
как раз	4	6
него нет	2	3
уже и	2	1
полемики с	1	1
иногда до	1	1
друг с	4	2
все в	1	1
стоит он	3	1
мы так	1	1
в основе	1	2
со словом	3	1
с его	7	8
и голосов	1	1
с сестрой	1	1
почти еще	1	1
диалоге а	1	1
в районе	1	1
в противоречии	1	1
этом случае	1	1
что дело	1	1
диалогически обращен	3	1
бы и	2	3
в той	4	3
очень часто	2	1
голоса но	2	1
о чем	1	1
ко мне	1	1
знают и	2	1
зависимости от	1	3
и что	6	2
и принципиальным	1	1
всего этого	3	3
эти три	1	1
его внутренней	4	1
самом его	1	1
нему все	1	1
и все	15	1
сливается с	4	4
отойти от	1	1
здесь к	1	1
на этот	2	1
уж не	2	1
нам кажется	1	1
они все	1	1
романа это	1	1
бы они	2	1
всем этим	2	2
что на	2	1
ему и	1	1
себя и	8	2
для чего	1	1
найти в	1	1
я ты	1	1
из которых	1	2
как можно	2	1
его слово	4	1
в них	4	4
кажется что	2	2
стоит на	1	1
него в	1	1
достоевского а	1	1
его лежит	1	1
на одном	1	1
в замысле	1	2
обычном смысле	2	1
может стать	1	2
образом как	1	1
но тем	1	1
в роман	2	1
те же	2	2
и так	4	1
себе вопрос	1	1
и ни	2	1
что все	2	3
и ставит	1	1
не может	18	24
понятно что	2	1
сохраняется и	2	1
которого мы	1	1
глубокой и	1	1
если не	1	2
в чужих	2	2
из которого	1	2
там где	7	6
а прежде	1	1
да я	1	1
функции в	1	1
мы видели	2	3
то есть	16	50
дано в	1	1
им до	1	1
еще до	2	1
ко всем	1	2
души человеческой	1	2
вместе с	2	1
ней в	1	1
его мысли	2	1
всю судьбу	1	1
сознания и	4	6
братьев карамазовых	2	1
сказать о	1	1
достоевского ибо	1	1
в братьях	3	2
в том	5	8
я к	2	1
к героям	1	1
происходит в	1	1
образ и	1	1
в его	21	22
все равно	2	1
его уже	1	1
твердого образа	1	1
и т.п	6	6
разобранные нами	1	1
перенести его	1	1
мы бы	1	1
не входит	1	2
зосимы в	1	1
диалогом с	1	1
в диалоге	3	3
приводит к	2	1
ту сторону	1	1
о том	2	3
меня не	4	1
отношение к	6	8
его идеологическим	1	1
речи как	1	1
особенно отчетливо	1	1
в виду	3	2
бы с	2	1
в самой	1	3
еще в	4	1
да и	5	1
во всей	1	1
к самому	5	1
большинстве случаев	2	2
мире достоевского	3	6
есть только	2	4
среди других	2	2
общения с	1	1
с порфирием	1	2
что сам	2	1
об этих	1	2
в некоторых	1	2
между голосами	2	1
не все	1	1
как мы	8	8
так чтобы	4	2
одном сознании	2	1
еще резче	1	1
здесь существенно	1	1
может быть	14	18
ивана федоровича	2	1
чужой голос	6	1
то в	2	1
и его	14	8
в одной	3	5
себе его	1	1
это я	3	1
правда в	1	2
и себе	1	1
мысли но	1	1
его мысль	4	1
не приводит	1	1
с таким	2	1
уже говорили	5	2
и обратно	1	1
вследствие этого	1	1
как его	3	2
глазами но	1	1
в отношении	9	1
не изображаются	1	3
в устах	1	1
на мир	1	2
вовсе не	7	7
она не	1	5
теперь не	2	1
который является	1	1
произведениях достоевского	2	4
себя самого	7	1
есть не	1	1
человека а	1	1
про себя	2	3
в бесах	1	1
это как	3	2
в виде	7	1
не на	1	4
он бросает	1	1
я не	8	6
обращено к	2	3
федора павловича	1	1
за собой	3	2
установки в	1	1
всего как	1	1
поступков и	1	1
по всему	1	1
пожалуй что	1	1
достоевского мы	1	1
есть человека	1	2
здесь не	1	2
не видел	1	1
о себе	17	3
и голос	5	2
каждый из	2	1
к лицу	1	1
той или	4	3
бы в	4	5
и жизнь	1	1
можем сказать	2	2
отличие от	2	1
нем нет	1	1
и прежде	4	2
она в	2	1
тот же	4	2
достоевского и	2	2
и самое	2	2
и действительно	1	2
сказать что	3	5
это конечно	1	1
и других	1	3
чего тут	1	1
как он	2	4
замысла достоевского	1	1
вы не	2	1
достоевского как	2	5
диалоге с	2	1
именно как	1	1
перед ним	1	2
всего романа	2	2
возможно лишь	1	1
да ведь	1	2
входят в	1	1
в каждой	2	1
нам еще	1	1
к самой	1	1
ответ на	1	1
к слову	2	1
слова мы	2	1
и очень	1	1
но ведь	2	3
и даже	5	3
еще раз	1	3
того чтобы	1	1
или с	1	1
в своих	1	4
только в	6	9
в произведениях	2	3
тоже не	1	2
с ними	5	4
и мир	2	5
другой стороны	3	1
так сказать	2	7
в этой	1	1
достоевского с	1	1
из тех	1	1
чужим словом	1	1
отношению к	7	8
самом содержании	1	1
что еще	1	2
его с	5	2
друг о	1	2
героев достоевского	3	4
ибо не	1	1
резко отличается	1	1
самим собою	9	1
самоубийство ипполита	1	1
к этому	1	4
любви и	1	1
и сочетается	1	1
и эта	1	3
тут надо	1	1
но для	2	1
не оказывается	1	1
внутренний диалог	10	1
как в	5	4
нет ни	2	3
бедных людях	1	1
во всяком	4	1
говорит не	1	1
и не	27	42
что у	6	4
слово как	1	1
мы уже	8	3
здесь же	1	1
и та	2	1
лицом к	1	1
лежит в	2	2
меньшей степени	1	2
таким образом	7	11
тем более	1	1
мире а	2	1
свой предмет	2	1
элементов произведения	1	1
не он	1	1
он как	4	3
оценок и	1	1
время не	3	1
тем что	4	2
же касается	1	1
поэтому слово	1	1
уже в	3	4
героя из	3	1
в жизни	2	3
это и	3	1
вы правы	1	1
высшем смысле	1	2
у вас	1	2
в плане	6	1
диалог в	2	2
не только	10	16
главного героя	1	1
ибо в	3	1
является лишь	1	1
говорит нет	1	1
он не	13	9
в основном	1	1
героя он	1	1
говорит он	4	1
для его	2	1
романа они	1	1
эти голоса	1	1
смысле этого	2	2
для правильного	1	2
в человеке	1	10
но у	1	3
наконец в	4	1
все эти	3	4
внутреннего человека	1	1
что из	1	1
в данном	1	1
в пределах	11	4
романа этот	1	1
смысле и	1	1
рядом с	4	3
и потому	1	6
слова в	6	4
когда уже	1	1
собою в	1	1
о герое	1	4
с самого	8	1
со своим	2	1
в идиоте	1	1
в их	1	4
в кругозор	2	2
его воли	1	1
диалог не	2	1
к герою	8	5
то все	2	1
из области	1	1
не видит	1	1
в себе	5	5
и того	2	1
в большей	1	1
и он	2	3
между ними	1	4
в рассказе	2	3
