3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part5_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_3gram
приведем еще один	1	1
не только в	2	2
мы имеем и	1	1
у народов не	1	1
себя в его	1	1
е мы опять	1	1
небу где он	1	1
на двор елены	1	1
ничего не говорит	1	1
в египте в	1	2
бросает их в	1	1
о том что	2	4
в другой сказке	1	2
на то что	3	2
вместе с тем	1	6
мы видим в	1	1
к небу где	1	1
в этом случае	3	7
с представлением о	2	2
можно найти в	1	1
мы опять видим	1	1
вместе с умершим	1	1
в том числе	1	1
бы думать что	1	1
власть над зверем	1	1
такие выражения как	1	2
то здесь мы	1	1
как и в	1	2
здесь мы имеем	1	3
имеем и в	1	1
на себя шкуру	1	1
и вместе с	1	2
он держит в	1	1
происходит потому что	1	1
интересно что в	2	1
царстве в некотором	1	1
елены прекрасной аф	1	1
в сказке с	1	1
может быть речи	1	1
интересен тем что	1	1
на своей спине	1	1
чем перейти к	1	1
в загробный мир	1	1
здесь мы видим	1	1
объясняется тем что	1	1
в сказке в	1	3
в вавилонском мифе	1	1
что и в	1	2
мы опять имеем	1	1
связь которых с	1	1
мы видели что	3	2
умершего в загробный	1	1
как мы увидим	1	3
и этим дает	1	1
в зависимости от	1	1
только после того	1	1
харузин неи в	1	1
на том что	1	2
о которых шла	1	1
но и в	1	2
выдает себя за	1	1
можно наблюдать что	1	2
о превращении в	1	1
и т д.<неи	3	2
со стороны их	1	1
и огонь в	1	1
и в сказке	1	1
подняться на небо	1	1
же как и	4	2
возможно что в	1	1
так как иначе	1	1
его на своей	1	1
чем речь будет	1	1
видели что в	1	1
в то время	1	1
а еще позже	1	1
во время посвящения	1	2
в своей работе	1	1
знает что он	1	1
в иное царство	6	4
но наряду с	1	1
тем не менее	2	4
в русской сказке	2	3
нам необходимо установить	1	1
но вместе с	1	3
мере того как	1	1
и только тогда	2	1
в таких случаях	2	2
так же как	12	3
в связи с	2	4
побежал на двор	1	1
этот случай показывает	2	1
мертвец в эллинской	1	1
это не совсем	1	1
мы увидим ниже	1	3
т д такое	1	1
во время обряда	2	2
указывают на то	1	1
с другой стороны	4	8
целый ряд других	1	1
в некотором царстве	1	1
случай интересен тем	1	1
в одной сказке	2	1
мы и здесь	1	2
в подземный мир	2	1
героя за тридевять	1	1
между героем и	1	1
между двумя мирами	11	1
за тридевять земель	1	3
неи все эти	1	1
хозяйственной и социальной	1	1
в сказке о	3	1
в него а	1	1
и побежал на	1	1
же представление имеется	1	1
этот случай интересен	1	1
это показывает что	1	2
эти случаи показывают	1	1
в данном случае	3	2
чтобы подняться на	1	1
в этих случаях	7	6
но все же	4	4
части его тела	1	1
быть прослежен но	1	1
как в сказке	1	1
к сказке и	1	1
в античности и	1	1
мы можем здесь	1	1
с появлением земледелия	1	1
представление о превращении	1	2
что у него	1	1
мы здесь имеем	1	2
всех этих случаях	1	1
во всех этих	1	1
но так как	1	2
можно сказать что	1	1
уже видели как	1	1
также то что	1	1
основана на том	1	1
это объяснило бы	1	1
boas неи в	1	1
можно бы думать	1	1
зв герой получает	1	1
мы увидим что	2	1
с переходом на	2	1
т е в	3	3
как мы видели	3	1
точно так же	5	1
тем что он	2	2
близки к сказке	1	1
уже выше мы	1	1
более позднее явление	1	1
мы имеем здесь	1	2
у сибирских народов	1	1
мы знаем что	7	4
мы рассмотрим сперва	1	1
аф т е	2	1
и целый ряд	1	1
доказывается тем что	1	1
он садится на	1	1
русская сказка знает	1	2
этом случае мы	1	1
он живет в	1	2
понял что он	1	1
лет тому назад	1	1
они друг друга	1	1
таким образом мы	1	2
мы уже видели	1	1
потому что он	1	2
мы до сих	1	1
с появлением коня	1	1
на задний план	2	1
наиболее архаическую форму	1	1
до сих пор	5	2
героя в иное	3	1
и не только	1	1
неи в этом	1	3
если бы мы	1	2
в царство умерших	1	1
животное в качестве	1	2
о чем речь	2	1
в некотором государстве	1	1
д с другой	1	1
после того как	2	3
н я марр	1	1
но уже в	1	1
т д или	1	2
но для нас	1	1
выше мы видели	2	1
связь с водой	3	1
здесь еще не	1	1
связь с животным	1	1
имеет отношение к	1	1
что он не	1	1
а также то	1	1
в одном случае	3	1
конем и побежал	1	1
и в других	1	1
это происходит потому	1	1
герой превращается в	1	1
совершенно так же	6	1
но мы знаем	2	1
так много что	1	1
то время как	1	1
т е мы	1	1
по мере того	1	1
д или же	1	1
своей работе о	1	1
много лет тому	1	1
и в русской	1	1
в американских мифах	2	1
подобно тому как	1	1
с посвящением в	1	1
в нашей сказке	1	1
указывает на то	1	1
не может быть	4	3
не в том	1	1
некотором царстве в	1	1
мы уже знаем	1	1
т д с	1	1
и тем что	1	1
герой попадает в	1	1
в северной америке	1	1
может быть прослежен	1	1
превращении в животное	1	1
о том как	1	2
превращается в птицу	1	1
служит не только	1	1
явно указывают на	1	1
в некоторых случаях	3	2
мы видим что	1	4
и т д	24	18
даже если бы	1	1
при помощи которой	2	2
на том свете	1	1
двор елены прекрасной	1	1
неи этот случай	1	1
раньше чем перейти	1	1
только тогда когда	1	1
и тем самым	1	1
то что он	2	1
в иной мир	6	6
в царстве смерти	1	1
из синя моря	1	1
в загробном мире	1	1
